time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.752248	0	0	0	0	0	0	0	0	0	0	0	0	-3.37036	0.0112589	-0.782377	-3.41652	-0.0239351	-0.852983	0.791962	1.23093	-0.815951	0.586864	-0.0549727	-1.15165	0	0	0	0	0	0.0728935	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.792116	0	0	0	0	0	0	0	0	0	0	0	0	-3.37036	0.012622	-0.77239	-3.39042	-0.0150586	-0.874921	0.15314	1.27795	0.26121	0.538238	-0.00992863	-1.06977	0	0	0	0	0	0.0670711	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.816966	0	0	0	0	0	0	0	0	0	0	0	0	-3.4772	0.0315803	0.0708778	-3.40596	-0.00539285	-0.746941	0.252016	0.752477	-0.815951	0.364716	0.0397152	-0.63211	0	0	0	0	0	0.0451886	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.854101	0	0	0	0	0	0	0	0	0	0	0	0	-3.4772	0.0181158	0.0708778	-3.41707	-0.000976961	-0.63301	0.201167	-0.372021	-0.390401	0.223006	0.0461951	-0.240627	0	0	0	0	0	0.0451886	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.885324	0	0	0	0	0	0	0	0	0	0	0	0	-3.46268	0.0315803	0.0669485	-3.42336	0.00707026	-0.52634	0.420161	0.563886	-0.390401	0.176162	0.0713083	0.0774275	0	0	0	0	0	0.0506545	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.919477	0	0	0	0	0	0	0	0	0	0	0	0	-3.44073	0.0181158	0.0669485	-3.42241	0.00998742	-0.426586	0.37215	-0.38195	0.338545	0.168596	0.0663303	0.352994	0	0	0	0	0	0.0508178	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.947958	0	0	0	0	0	0	0	0	0	0	0	0	-3.43819	-0.00589152	0.0778163	-3.42339	0.00978031	-0.337335	0.157503	0.265139	0.338545	0.132234	0.0618271	0.573586	0	0	0	0	0	0.0694354	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.986128	0	0	0	0	0	0	0	0	0	0	0	0	-3.43599	-0.0137307	0.0778163	-3.42334	0.00710962	-0.252183	0.11392	-0.359958	-0.14388	0.106029	0.0434438	0.743408	0	0	0	0	0	0.0697462	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.01709	0	0	0	0	0	0	0	0	0	0	0	0	-3.42492	-0.0193013	0.0778163	-3.41977	0.003891	-0.180962	0.341687	-0.0875574	-0.14388	0.130289	0.0269396	0.870258	0	0	0	0	0	0.0791567	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.05278	0	0	0	0	0	0	0	0	0	0	0	0	-3.41395	-0.0193013	0.0654421	-3.4133	0.000958803	-0.116901	0.348097	-0.0889428	-0.324025	0.156198	0.0119502	0.951945	0	0	0	0	0	0.0816253	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.08259	0	0	0	0	0	0	0	0	0	0	0	0	-3.40284	0.00392581	0.0626975	-3.40578	0.0023667	-0.0661448	0.364934	0.116878	-0.082467	0.183212	0.0132123	1.00683	0	0	0	0	0	0.0816253	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.11555	0	0	0	0	0	0	0	0	0	0	0	0	-3.40018	0.00392581	0.0626975	-3.40052	0.00369298	-0.0197447	0.106959	0.137982	-0.082467	0.165916	0.0167857	1.03521	0	0	0	0	0	0.0816253	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.1496	0	0	0	0	0	0	0	0	0	0	0	0	-3.40087	0.00828227	0.062698	-3.39793	0.00559193	0.0211477	-0.0224327	0.148546	0.0745276	0.132832	0.0229621	1.04393	0	0	0	0	0	0.0809892	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.1849	0	0	0	0	0	0	0	0	0	0	0	0	-3.3997	0.00647238	0.103385	-3.3953	0.00600343	0.0633898	0.0740066	-0.25397	0.0745276	0.1241	0.0176745	1.05174	0	0	0	0	0	0.0852088	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.21594	0	0	0	0	0	0	0	0	0	0	0	0	-3.39547	0.0141477	0.103385	-3.39237	0.00861467	0.0948153	0.173513	0.233497	-0.0716546	0.124743	0.0251957	1.04031	0	0	0	0	0	0.0852088	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.24542	0	0	0	0	0	0	0	0	0	0	0	0	-3.37643	0.00647238	0.086019	-3.38529	0.00845511	0.116394	0.130582	-0.259319	-0.265493	0.145193	0.0164983	1.00623	0	0	0	0	0	0.0885828	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.28662	0	0	0	0	0	0	0	0	0	0	0	0	-3.37584	0.00540497	0.0781885	-3.37898	0.00943221	0.141788	0.0817284	0.201092	-0.265493	0.137373	0.0185134	0.951372	0	0	0	0	0	0.0940411	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.31202	0	0	0	0	0	0	0	0	0	0	0	0	-3.37327	0.00540497	0.0706524	-3.37542	0.00959062	0.148114	0.0700868	0.0776638	-0.265493	0.133415	0.0173746	0.894536	0	0	0	0	0	0.0940411	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.34826	0	0	0	0	0	0	0	0	0	0	0	0	-3.3714	0.00753641	0.0706524	-3.37126	0.0103017	0.16029	0.0810257	0.0766321	-0.182934	0.125951	0.0175451	0.829511	0	0	0	0	0	0.0940411	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.37792	0	0	0	0	0	0	0	0	0	0	0	0	-3.36465	0.00753641	0.0782493	-3.36636	0.0105865	0.166347	0.187997	0.00949711	0.158062	0.139705	0.0142745	0.774363	0	0	0	0	0	0.0956217	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
