time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.91136	0	0	0	0	0	0	0	0	0	0	0	0	-2.76273	-0.287819	0.285079	-0.013871	-0.0149894	0.00889832	0	0	0	0	0	-0.0453087	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.952304	0	0	0	0	0	0	0	0	0	0	0	0	-2.76314	-0.288329	0.28534	-0.0133309	-0.0149653	0.0118911	0	0	0	0	0	-0.0453364	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.978608	0	0	0	0	0	0	0	0	0	0	0	0	-2.76314	-0.287465	0.286129	-0.010556	0.0392083	0.00889832	0	0	0	0	0	-0.0467824	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.01468	0	0	0	0	0	0	0	0	0	0	0	0	-2.7635	-0.289944	0.286797	-0.00556022	-0.0682403	0.0185234	0	0	0	0	0	-0.0462732	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.04454	0	0	0	0	0	0	0	0	0	0	0	0	-2.76385	-0.290193	0.286129	-0.0119731	0.0179466	-0.0635363	0	0	0	0	0	-0.0467824	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.08446	0	0	0	0	0	0	0	0	0	0	0	0	-2.76418	-0.290193	0.285693	-0.0199814	0.0011033	0.0185234	0	0	0	0	0	-0.0469136	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11046	0	0	0	0	0	0	0	0	0	0	0	0	-2.76588	-0.290112	0.282532	-0.0119777	0.0179436	-0.142828	0	0	0	0	0	-0.0470391	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.14738	0	0	0	0	0	0	0	0	0	0	0	0	-2.76592	-0.290112	0.280832	-0.00107826	0.00199064	-0.0528907	0	0	0	0	0	-0.0470391	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.17754	0	0	0	0	0	0	0	0	0	0	0	0	-2.76588	-0.2904	0.279659	0.0122759	-0.0398071	-0.0528907	0	0	0	0	0	-0.0467205	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.21277	0	0	0	0	0	0	0	0	0	0	0	0	-2.76561	-0.291619	0.278881	0.0122601	-0.0398412	-0.0528907	0	0	0	0	0	-0.0462906	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.24159	0	0	0	0	0	0	0	0	0	0	0	0	-2.76479	-0.293645	0.274145	0.0122175	-0.0398543	-0.00257309	0	0	0	0	0	-0.0452208	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.27719	0	0	0	0	0	0	0	0	0	0	0	0	-2.76467	-0.293645	0.27407	0.00355921	-0.00267654	-0.149672	0	0	0	0	0	-0.0452208	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.31205	0	0	0	0	0	0	0	0	0	0	0	0	-2.76479	-0.285195	0.268742	-0.036019	0.0127648	-0.149672	0	0	0	0	0	-0.0472925	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.33903	0	0	0	0	0	0	0	0	0	0	0	0	-2.76616	-0.284692	0.263348	-0.0337014	0.238316	-0.149672	0	0	0	0	0	-0.04755	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.38083	0	0	0	0	0	0	0	0	0	0	0	0	-2.76661	-0.282937	0.263348	-0.022994	0.0133812	-0.0205685	0	0	0	0	0	-0.0472925	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.40404	0	0	0	0	0	0	0	0	0	0	0	0	-2.76677	-0.282937	0.262793	-0.0106509	-0.0495019	-0.0205685	0	0	0	0	0	-0.0470432	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.44476	0	0	0	0	0	0	0	0	0	0	0	0	-2.76691	-0.282937	0.256861	-0.00697531	-0.0493288	-0.218107	0	0	0	0	0	-0.0470432	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.46977	0	0	0	0	0	0	0	0	0	0	0	0	-2.76691	-0.284073	0.247981	-0.00700781	-0.0493242	-0.218107	0	0	0	0	0	-0.0463843	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.51381	0	0	0	0	0	0	0	0	0	0	0	0	-2.76729	-0.282086	0.246877	-0.011979	0.0575915	-0.18166	0	0	0	0	0	-0.0465297	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.53802	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.282086	0.238877	-0.0163199	0.0242699	-0.0964141	0	0	0	0	0	-0.0464261	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.57682	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.28148	0.236543	-0.0178578	0.0573187	-0.134218	0	0	0	0	0	-0.046468	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.60244	0	0	0	0	0	0	0	0	0	0	0	0	-2.76768	-0.280513	0.231335	-0.0163199	0.0242699	-0.0964141	0	0	0	0	0	-0.0464261	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.62654	0	0	0	0	0	0	0	0	0	0	0	0	-2.76768	-0.280513	0.231335	-0.0163199	0.0242699	-0.0964141	0	0	0	0	0	-0.0464261	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.63618	0	0	0	0	0	0	0	0	0	0	0	0	-2.76768	-0.280513	0.231335	-0.0163199	0.0242699	-0.0964141	0	0	0	0	0	-0.0464261	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64615	0	0	0	0	0	0	0	0	0	0	0	0	-2.76768	-0.280513	0.231335	-0.0163199	0.0242699	-0.0964141	0	0	0	-0.0877901	0.00872665	-0.0464261	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64875	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.278959	0.231275	-0.00412012	0.0395256	-0.0519542	0	0	0	-0.0877901	0.00872665	-0.0455527	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.65617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.278959	0.231275	-0.00412012	0.0395256	-0.0519542	0	0	0	-0.0893609	0.00715585	-0.0455527	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.66617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.278959	0.231275	-0.00412012	0.0395256	-0.0519542	0	0	0	-0.0907571	0.00593412	-0.0455527	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.67293	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.280513	0.230009	-0.00123271	-0.0608765	-0.0515113	0	0	0	-0.0907571	0.00593412	-0.0454303	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6762	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.280513	0.230009	-0.00123271	-0.0608765	-0.0515113	0	0	0	-0.0916298	0.00541052	-0.0454303	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.68621	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.280513	0.230009	-0.00123271	-0.0608765	-0.0515113	0	0	0	-0.0928515	0.00471239	-0.0454303	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6962	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.280513	0.230009	-0.00123271	-0.0608765	-0.0515113	0	0	0	-0.0945968	0.00383972	-0.0454303	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.70614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76767	-0.280513	0.230009	-0.00123271	-0.0608765	-0.0515113	0	0	0	-0.0959931	0.00314159	-0.0454303	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.70963	0	0	0	0	0	0	0	0	0	0	0	0	-2.76765	-0.278665	0.220364	0.00305977	0.0400624	0.0270453	0	0	0	-0.0959931	0.00314159	-0.0450296	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.71618	0	0	0	0	0	0	0	0	0	0	0	0	-2.76765	-0.278665	0.220364	0.00305977	0.0400624	0.0270453	0	0	0	-0.0968658	0.00279253	-0.0450296	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.72619	0	0	0	0	0	0	0	0	0	0	0	0	-2.76765	-0.278665	0.220364	0.00305977	0.0400624	0.0270453	0	0	0	-0.0980875	0.00244346	-0.0450296	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.73623	0	0	0	0	0	0	0	0	0	0	0	0	-2.76765	-0.278665	0.220364	0.00305977	0.0400624	0.0270453	0	0	0	-0.0993092	0.0020944	-0.0450296	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.74328	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.28132	0.217689	-0.0108638	-0.152877	-0.182331	0	0	0	-0.0993092	0.0020944	-0.0431151	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.74622	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.28132	0.217689	-0.0108638	-0.152877	-0.182331	0	0	0	-0.100705	0.0020944	-0.0431151	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.75622	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.28132	0.217689	-0.0108638	-0.152877	-0.182331	0	0	0	-0.101229	0.0020944	-0.0431151	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.76626	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.28132	0.217689	-0.0108638	-0.152877	-0.182331	0	0	0	-0.102102	0.00226893	-0.0431151	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.77562	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.280286	0.214212	-0.0256046	0.0312842	-0.173101	0	0	0	-0.102102	0.00226893	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.77617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.280286	0.214212	-0.0256046	0.0312842	-0.173101	0	0	0	-0.102625	0.00261799	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.7862	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.280286	0.214212	-0.0256046	0.0312842	-0.173101	0	0	0	-0.102974	0.00296706	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.79622	0	0	0	0	0	0	0	0	0	0	0	0	-2.76683	-0.280286	0.214212	-0.0256046	0.0312842	-0.173101	0	0	0	-0.103149	0.00366519	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.80498	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280286	0.208561	-0.0283627	0.0309327	-0.172851	0	0	0	-0.103149	0.00366519	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.8062	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280286	0.208561	-0.0283627	0.0309327	-0.172851	0	0	0	-0.103323	0.00471239	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.81622	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280286	0.208561	-0.0283627	0.0309327	-0.172851	0	0	0	-0.103149	0.00610865	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.82614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280286	0.208561	-0.0283627	0.0309327	-0.172851	0	0	0	-0.103149	0.00663225	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.83614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280286	0.208561	-0.0283627	0.0309327	-0.172851	0	0	0	-0.102974	0.00785398	-0.0427452	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.84237	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.27924	0.206815	-0.0148802	0.0311418	-0.0679115	0	0	0	-0.102974	0.00785398	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.8462	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.27924	0.206815	-0.0148802	0.0311418	-0.0679115	0	0	0	-0.1028	0.00872665	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.85625	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.27924	0.206815	-0.0148802	0.0311418	-0.0679115	0	0	0	-0.102625	0.0101229	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.86618	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.27924	0.206815	-0.0148802	0.0311418	-0.0679115	0	0	0	-0.102625	0.0106465	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.87509	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.27924	0.206418	-0.0100078	0.0158137	-0.0589338	0	0	0	-0.102625	0.0106465	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.8762	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.27924	0.206418	-0.0100078	0.0158137	-0.0589338	0	0	0	-0.102625	0.0120428	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.88619	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.27924	0.206418	-0.0100078	0.0158137	-0.0589338	0	0	0	-0.102625	0.013439	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.89621	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.27924	0.206418	-0.0100078	0.0158137	-0.0589338	0	0	0	-0.102451	0.0148353	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.90614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.27924	0.206418	-0.0100078	0.0158137	-0.0589338	0	0	0	-0.102451	0.0153589	-0.0430789	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.90657	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.280861	0.204241	-0.00903375	-0.00582414	-0.0681886	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.91612	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.280861	0.204241	-0.00903375	-0.00582414	-0.0681886	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.92616	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.280861	0.204241	-0.00903375	-0.00582414	-0.0681886	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.93614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76739	-0.280861	0.204241	-0.00903375	-0.00582414	-0.0681886	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.94012	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.280861	0.202128	-0.00964072	-0.00659775	-0.135871	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.94613	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.280861	0.202128	-0.00964072	-0.00659775	-0.135871	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.95617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.280861	0.202128	-0.00964072	-0.00659775	-0.135871	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.96613	0	0	0	0	0	0	0	0	0	0	0	0	-2.76731	-0.280861	0.202128	-0.00964072	-0.00659775	-0.135871	0	0	0	-0.102451	0.0153589	-0.0420688	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.96927	0	0	0	0	0	0	0	0	0	0	0	0	-2.76717	-0.280266	0.198534	-0.00928717	-0.00658476	-0.135908	0	0	0	-0.102451	0.0153589	-0.0417525	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
