time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.81918	0	0	0	0	0	0	0	0	0	0	0	0	-2.65521	-0.15515	0.232354	-0.0339247	0.274728	2.61083	0	0	0	0	0	-0.0357949	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.845941	0	0	0	0	0	0	0	0	0	0	0	0	-2.65459	-0.15515	0.233215	0.0237164	-0.0156754	0.0321642	0	0	0	0	0	-0.0357949	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.88812	0	0	0	0	0	0	0	0	0	0	0	0	-2.65481	-0.15515	0.232354	-0.00460797	-0.0166897	-0.0523158	0	0	0	0	0	-0.0357949	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.912674	0	0	0	0	0	0	0	0	0	0	0	0	-2.65481	-0.150192	0.233215	-0.00666189	0.10911	0.0321642	0	0	0	0	0	-0.0379044	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.952992	0	0	0	0	0	0	0	0	0	0	0	0	-2.65481	-0.150192	0.239516	-0.00666189	0.10911	0.261575	0	0	0	0	0	-0.0379044	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.978842	0	0	0	0	0	0	0	0	0	0	0	0	-2.65469	-0.152654	0.244	0.00222505	-0.127639	0.261575	0	0	0	0	0	-0.0371906	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.0149	0	0	0	0	0	0	0	0	0	0	0	0	-2.65452	-0.153634	0.244	0.0096346	-0.127365	-0.0491683	0	0	0	0	0	-0.0366741	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.04638	0	0	0	0	0	0	0	0	0	0	0	0	-2.65455	-0.155895	0.244	0.0013659	-0.0718163	-0.0491683	0	0	0	0	0	-0.0359037	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.08315	0	0	0	0	0	0	0	0	0	0	0	0	-2.65452	-0.153634	0.24401	0.000495124	0.0642277	-0.0491683	0	0	0	0	0	-0.0366741	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11026	0	0	0	0	0	0	0	0	0	0	0	0	-2.65445	-0.154173	0.24401	0.00370699	-0.0233987	-0.0811255	0	0	0	0	0	-0.0365386	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
