time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	gravity
0.921256	0	0	0	0	0	0	0	0	0	-4.0293	0.0894972	0.0268305	-0.0201098	0.0742672	0.207998	0	0	0	-0.0143704	0.0755878	0.207998	0	0	-0.0765628	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.948892	0	0	0	0	0	0	0	0	0	-4.02982	0.0954295	0.0289211	-0.0244092	0.126733	-0.0774179	0	0	0	-0.0143704	0.12826	-0.0774179	0	0	-0.0786973	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
0.987167	0	0	0	0	0	0	0	0	0	-4.02982	0.0989758	0.0289211	-0.0048796	0.138746	-0.0774179	0	0	0	0.00615153	0.138695	-0.0774179	0	0	-0.0794786	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.01523	0	0	0	0	0	0	0	0	0	-4.02959	0.100133	0.0242133	-0.00436852	0.128333	-0.123024	0	0	0	0.00615153	0.12826	-0.123024	0	0	-0.0819519	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.05369	0	0	0	0	0	0	0	0	0	-4.02943	0.10352	0.0239022	-0.00109479	0.0882976	-0.123024	0	0	0	0.00615153	0.0880899	-0.123024	0	0	-0.0821175	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.08041	0	0	0	0	0	0	0	0	0	-4.02943	0.100133	0.0107788	0.0177972	-0.146863	-0.478503	0	0	0	0.00562294	-0.147831	-0.478503	0	0	-0.0825761	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.11762	0	0	0	0	0	0	0	0	0	-4.0295	0.0959971	0.0194711	-0.0150507	-0.0214947	0.266302	0	0	0	-0.0167723	-0.02018	0.266302	0	0	-0.0825761	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.14622	0	0	0	0	0	0	0	0	0	-4.03123	0.0958556	0.0118006	-0.0259582	-0.0223912	-0.268114	0	0	0	-0.027712	-0.02018	-0.268114	0	0	-0.0823508	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.18412	0	0	0	0	0	0	0	0	0	-4.03202	0.0958556	0.0194711	-0.0293699	0.0189443	0.266302	0	0	0	-0.027712	0.021296	0.266302	0	0	-0.0823508	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.21159	0	0	0	0	0	0	0	0	0	-4.03202	0.10252	0.0284364	-0.00535452	0.0209217	0.0802066	0	0	0	-0.00358762	0.021296	0.0802066	0	0	-0.0836555	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.24777	0	0	0	0	0	0	0	0	0	-4.03216	0.110524	0.0284364	-0.0222408	0.22066	0.0802066	0	0	0	-0.00358762	0.221749	0.0802066	0	0	-0.0842757	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.27893	0	0	0	0	0	0	0	0	0	-4.03243	0.107305	0.0236995	-0.0201077	-0.10578	-0.191889	0	0	0	-0.0288762	-0.10373	-0.191889	0	0	-0.0836555	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.3168	0	0	0	0	0	0	0	0	0	-4.03333	0.107305	0.0130591	-0.022939	-0.0726157	-0.191889	0	0	0	-0.0288762	-0.0704656	-0.191889	0	0	-0.0829426	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.34497	0	0	0	0	0	0	0	0	0	-4.03369	0.104636	0.0130591	-0.000949951	-0.104158	0.0860413	0	0	0	-0.00948284	-0.10373	0.0860413	0	0	-0.0820452	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.37968	0	0	0	0	0	0	0	0	0	-4.03369	0.0941507	0.0141481	-0.0028748	-0.0709225	0.0860413	0	0	0	-0.00853617	-0.0704656	0.0860413	0	0	-0.08004	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.41171	0	0	0	0	0	0	0	0	0	-4.03393	0.093025	0.0162846	-0.00545747	-0.0388607	0.0668237	0	0	0	-0.00853617	-0.0383023	0.0668237	0	0	-0.0797552	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.44948	0	0	0	0	0	0	0	0	0	-4.03433	0.093025	0.0141481	-0.0317069	-0.0350894	-0.0615713	0	0	0	-0.034411	-0.0324419	-0.0615713	0	0	-0.08004	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.47711	0	0	0	0	0	0	0	0	0	-4.0389	0.121676	0.0110874	-0.0309957	-0.0411151	0.0668237	0	0	0	-0.034411	-0.0383023	0.0668237	0	0	-0.0859554	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.51091	0	0	0	0	0	0	0	0	0	-4.0389	0.121676	0.0110874	0.0112964	-0.0247772	0.193703	0	0	0	0.00912756	-0.0256555	0.193703	0	0	-0.0859554	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.54663	0	0	0	0	0	0	0	0	0	-4.03843	0.120808	0.0180525	0.0319961	-0.20977	0.193703	0	0	0	0.0139073	-0.211739	0.193703	0	0	-0.0857762	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.57604	0	0	0	0	0	0	0	0	0	-4.03628	0.109827	0.0203472	0.0180559	-0.0494926	0.0780145	0	0	0	0.0139073	-0.0508146	0.0780145	0	0	-0.0826698	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.61338	0	0	0	0	0	0	0	0	0	-4.03628	0.109827	0.0203472	-0.0538272	-0.0554488	0.0780145	0	0	0	-0.0582221	-0.0508146	0.0780145	0	0	-0.0826698	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.63311	0	0	0	0	0	0	0	0	0	-4.03628	0.109827	0.0203472	-0.0538272	-0.0554488	0.0780145	0	0	0	-0.0582221	-0.0508146	0.0780145	0	0	-0.0826698	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.64298	0	0	0	0	0	0	0	0	0	-4.03628	0.109827	0.0203472	-0.0538272	-0.0554488	0.0780145	0	0	0	-0.0582221	-0.0508146	0.0780145	-0.0228638	0.00977384	-0.0826698	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.65045	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.0203472	-0.0519162	-0.0547817	0.0797614	0	0	0	-0.0582221	-0.0508146	0.0780145	-0.0228638	0.00977384	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.65297	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.0203472	-0.0519162	-0.0547817	0.0797614	0	0	0	-0.0582221	-0.0508146	0.0780145	-0.0233874	0.0102974	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.66299	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.0203472	-0.0519162	-0.0547817	0.0797614	0	0	0	-0.0582221	-0.0508146	0.0780145	-0.0244346	0.0111701	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.67298	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.0203472	-0.0519162	-0.0547817	0.0797614	0	0	0	-0.0582221	-0.0508146	0.0780145	-0.0256563	0.0120428	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.67641	0	0	0	0	0	0	0	0	0	-4.04026	0.120076	0.00172828	-0.0296397	0.0189598	-0.0724356	0	0	0	-0.0259966	0.0221141	-0.0729386	-0.0256563	0.0120428	-0.0848727	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.683	0	0	0	0	0	0	0	0	0	-4.04026	0.120076	0.00172828	-0.0296397	0.0189598	-0.0724356	0	0	0	-0.0259966	0.0221141	-0.0729386	-0.0261799	0.0125664	-0.0848727	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.69308	0	0	0	0	0	0	0	0	0	-4.04026	0.120076	0.00172828	-0.0296397	0.0189598	-0.0724356	0	0	0	-0.0259966	0.0221141	-0.0729386	-0.0274017	0.013439	-0.0848727	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.70295	0	0	0	0	0	0	0	0	0	-4.04026	0.120076	0.00172828	-0.0296397	0.0189598	-0.0724356	0	0	0	-0.0259966	0.0221141	-0.0729386	-0.0284489	0.0143117	-0.0848727	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.71297	0	0	0	0	0	0	0	0	0	-4.04026	0.120076	0.00172828	-0.0296397	0.0189598	-0.0724356	0	0	0	-0.0259966	0.0221141	-0.0729386	-0.0289725	0.0146608	-0.0848727	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.71567	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.00172828	0.0515072	-0.216456	-0.0712963	0	0	0	0.0352261	-0.219153	-0.0729386	-0.0289725	0.0146608	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.72304	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.00172828	0.0515072	-0.216456	-0.0712963	0	0	0	0.0352261	-0.219153	-0.0729386	-0.0296706	0.0153589	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.73299	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.00172828	0.0515072	-0.216456	-0.0712963	0	0	0	0.0352261	-0.219153	-0.0729386	-0.0301942	0.016057	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.74294	0	0	0	0	0	0	0	0	0	-4.03958	0.119502	0.00172828	0.0515072	-0.216456	-0.0712963	0	0	0	0.0352261	-0.219153	-0.0729386	-0.0305433	0.0165806	-0.0847125	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.74619	0	0	0	0	0	0	0	0	0	-4.03798	0.0987197	0.00403629	0.0250303	-0.0846755	0.107723	0	0	0	0.0148312	-0.0879071	0.107019	-0.0305433	0.0165806	-0.0795767	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.75294	0	0	0	0	0	0	0	0	0	-4.03798	0.0987197	0.00403629	0.0250303	-0.0846755	0.107723	0	0	0	0.0148312	-0.0879071	0.107019	-0.0305433	0.0169297	-0.0795767	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.76301	0	0	0	0	0	0	0	0	0	-4.03798	0.0987197	0.00403629	0.0250303	-0.0846755	0.107723	0	0	0	0.0148312	-0.0879071	0.107019	-0.0307178	0.0174533	-0.0795767	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
