time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,132894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,162083;0;0;0;0;0;0;0;0;0;0;0;0;-3,92058;0,0909545;0,188616;-0,0699972;0,000629476;0,07;-0,07;0;0,07;-0,237254;0;0,670126;-nan;0;0;0;0;0;0;0;0,00899263;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,197422;0;0;0;0;0;0;0;0;0;0;0;0;-3,92217;0,102985;0,188616;-0,139365;0,0712561;0,14;-0,14;0,07;0,14;-0,237254;0,867483;0,670126;-0;0;0;0;0;0;0;0;0,00899263;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,225175;0;0;0;0;0;0;0;0;0;0;0;0;-3,92217;0,172847;0,100636;-0,0699979;-0,00054072;0,21;-0,07;0;0,21;0,0987163;-0,41206;0,670126;-0;0;0;0;0;0;0;0;-0,00772464;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,265988;0;0;0;0;0;0;0;0;0;0;0;0;-3,92217;0,172847;0,0605696;0,00054072;-0,0699979;0,14;0;-0,07;0,14;0,0987163;-1,03353;-1,12271;-0;0;0;0;0;0;0;0;-0,00772464;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,295409;0;0;0;0;0;0;0;0;0;0;0;0;-3,91943;0,130697;0,0548482;0,0696333;-0,140183;0,07;0,07;-0,14;0,07;0,0987163;-1,24455;-1,12271;0;0;0;0;0;0;0;0;0,00261723;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,32704;0;0;0;0;0;0;0;0;0;0;0;0;-3,9316;-0,0268994;0,0424651;-0,00764311;-0,209861;0;0;-0,21;0;-0,314104;-1,03353;-1,12271;0;0;0;0;0;0;0;0;0,0364038;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,358866;0;0;0;0;0;0;0;0;0;0;0;0;-3,88692;-0,428129;0,0424651;0,0282237;-0,287234;0,07;0,07;-0,28;0,07;1,51884;-14,3428;6,5154;0;0;0;0;0;0;0;0;0,147033;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,397559;0;0;0;0;0;0;0;0;0;0;0;0;-3,91032;-0,0268994;0,0915366;-0,00764311;-0,209861;0,14;0;-0,21;0,14;-0,699667;12,6863;6,5154;0;0;0;0;0;0;0;0;0,0364038;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,423529;0;0;0;0;0;0;0;0;0;0;0;0;-3,91032;-0,0170186;0,160098;-0,0778539;-0,277919;0,21;-0,07;-0,28;0,21;-0,448954;-8,056;2,63951;0;0;0;0;0;0;0;0;0,0281524;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
