time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
0.787034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.12177	0.501301	0.11402	0	0	0	0	0	0	0.0262525	-0.318471	-0.460998	0	0	0	0	0	-0.124999	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.812806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11464	0.488635	0.103734	0	0	0	0	0	0	0.00963278	-0.220558	0.140471	0	0	0	0	0	-0.105549	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.848889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11464	0.487862	0.103734	0	0	0	0	0	0	-0.0186336	-0.154296	0.157537	0	0	0	0	0	-0.105549	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.883615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11589	0.486062	0.103734	0	0	0	0	0	0	-0.0538354	-0.0360841	0.157537	0	0	0	0	0	-0.109485	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.91885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11797	0.482399	0.109681	0	0	0	0	0	0	-0.0257799	-0.15554	0.170712	0	0	0	0	0	-0.116843	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.949475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11851	0.483555	0.104238	0	0	0	0	0	0	-0.0558087	0.0956206	-0.177747	0	0	0	0	0	-0.122201	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
0.980486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11951	0.480441	0.104238	0	0	0	0	0	0	-0.0237511	-0.16371	-0.177747	0	0	0	0	0	-0.123498	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
1.01595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.12116	0.478097	0.100859	0	0	0	0	0	0	-0.0163307	-0.0529509	-0.177747	0	0	0	0	0	-0.127905	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
1.05051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.12198	0.476308	0.100859	0	0	0	0	0	0	-0.0206814	-0.0771976	0.0803493	0	0	0	0	0	-0.132106	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
1.08127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.12304	0.476308	0.100859	0	0	0	0	0	0	-0.0168056	-0.0531966	0.0803493	0	0	0	0	0	-0.135647	-150	150	-200	-0	0	-0	-600	600	-600	0.5	0.2	0.18	174	-1	-1	2561	
