time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	gravity
0.887647	0	0	0	0	0	0	0	0	0	0	0	0	-3.40191	0.00782894	0.000828386	-0.0358491	0.0534655	-0.124483	0	0	0	-0.0324496	0.0555945	-0.124483	0	0	-0.062322	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.928334	0	0	0	0	0	0	0	0	0	0	0	0	-3.40225	0.0184192	0.000828386	0.00627195	0.0612704	-0.124483	0	0	0	0.010248	0.060732	-0.124483	0	0	-0.0651571	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.953561	0	0	0	0	0	0	0	0	0	0	0	0	-3.40225	0.0184192	0.000374525	0.00627195	0.0612704	-0.124483	0	0	0	0.010248	0.060732	-0.124483	0	0	-0.0651571	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
0.989704	0	0	0	0	0	0	0	0	0	0	0	0	-3.40225	0.0208897	-0.000199356	0.0062363	0.0612741	-0.0158816	0	0	0	0.010248	0.060732	-0.0158816	0	0	-0.0657391	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.0235	0	0	0	0	0	0	0	0	0	0	0	0	-3.40185	0.0117052	0.000374525	0.0422881	-0.362099	0.242258	0	0	0	0.0193381	-0.364046	0.242258	0	0	-0.0631895	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.05138	0	0	0	0	0	0	0	0	0	0	0	0	-3.40237	0.00995455	0.00873889	-0.0288048	0.158885	0.249037	0	0	0	-0.0188022	0.160377	0.249037	0	0	-0.0626402	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.0926	0	0	0	0	0	0	0	0	0	0	0	0	-3.40237	0.00995455	0.0136978	-0.00986212	0.156742	0.249037	0	0	0	-3.0842e-05	0.157052	0.249037	0	0	-0.0626402	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.11809	0	0	0	0	0	0	0	0	0	0	0	0	-3.40237	0.0107035	0.0142258	-0.00988785	0.156741	0.0207028	0	0	0	-3.0842e-05	0.157052	0.0207028	0	0	-0.0628043	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.15768	0	0	0	0	0	0	0	0	0	0	0	0	-3.40237	0.0162822	0.0136978	-0.00909011	0.140766	-0.0231864	0	0	0	-3.0842e-05	0.141059	-0.0231864	0	0	-0.0642678	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.18386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40228	0.0128107	0.0133088	0.0120092	-0.131921	-0.0231864	0	0	0	0.00364706	-0.132417	-0.0231864	0	0	-0.0632477	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.22222	0	0	0	0	0	0	0	0	0	0	0	0	-3.40329	0.0132463	0.0133088	-0.0335087	0.00925636	-0.0231864	0	0	0	-0.0328557	0.0113586	-0.0231864	0	0	-0.0633334	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.25038	0	0	0	0	0	0	0	0	0	0	0	0	-3.40275	0.0128107	0.0180133	0.0277624	-0.130924	0.0243327	0	0	0	0.0194318	-0.132417	0.0243327	0	0	-0.0632477	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.29002	0	0	0	0	0	0	0	0	0	0	0	0	-3.40285	0.0099029	0.0180133	-0.00324674	0.0111783	0.0243327	0	0	0	-0.0025453	0.0113586	0.0243327	0	0	-0.0622281	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.31632	0	0	0	0	0	0	0	0	0	0	0	0	-3.40282	0.0099029	0.0122246	-0.00677409	0.128949	-0.0706621	0	0	0	0.00125811	0.129121	-0.0706621	0	0	-0.0622281	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.35109	0	0	0	0	0	0	0	0	0	0	0	0	-3.40282	0.0099029	0.0103661	-0.00677409	0.128949	-0.0706621	0	0	0	0.00125811	0.129121	-0.0706621	0	0	-0.0622281	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.38253	0	0	0	0	0	0	0	0	0	0	0	0	-3.40282	0.013299	0.0092736	-0.0069029	0.128942	-0.0706621	0	0	0	0.00125811	0.129121	-0.0706621	0	0	-0.063227	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.42174	0	0	0	0	0	0	0	0	0	0	0	0	-3.40456	0.00840673	0.00759492	0.0362257	-0.254139	-0.0314195	0	0	0	0.0205076	-0.255888	-0.0314195	0	0	-0.061617	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.44791	0	0	0	0	0	0	0	0	0	0	0	0	-3.40483	0.0147149	0.00413973	-0.0256678	0.240171	-0.132175	0	0	0	-0.0103952	0.241315	-0.132175	0	0	-0.0634183	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.48347	0	0	0	0	0	0	0	0	0	0	0	0	-3.40456	0.0105297	0.00759492	0.0257709	-0.116277	0.251239	0	0	0	0.0184919	-0.117655	0.251239	0	0	-0.0622111	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.51479	0	0	0	0	0	0	0	0	0	0	0	0	-3.40483	0.0130095	0.0146204	-0.0153521	0.0782981	0.067077	0	0	0	-0.0103952	0.0791089	0.067077	0	0	-0.0629623	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
