time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.761778	0	0	0	0	0	0	0	0	0	0	0	0	-3.21179	0.00847822	-0.0230763	-3.25391	0.033039	0.0795614	-0.200697	-2.16486	-1.81357	0.0910435	0.0215098	0.00467382	0	0	0	0	0	0.0658168	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.786251	0	0	0	0	0	0	0	0	0	0	0	0	-3.21179	0.0163454	-0.0230649	-3.24211	0.0348253	0.0665586	0.0408978	1.56531	1.40421	0.13071	0.0417198	-0.0152711	0	0	0	0	0	0.0630952	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.822207	0	0	0	0	0	0	0	0	0	0	0	0	-3.20005	0.0163454	0.094188	-3.22786	0.0332895	0.073541	0.0339644	0.00807006	1.40421	0.176097	0.0272676	0.0180946	0	0	0	0	0	0.0630952	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.85635	0	0	0	0	0	0	0	0	0	0	0	0	-3.20005	0.0163454	0.094188	-3.21682	0.0316135	0.0772523	0.033963	0.00807636	-0.0223792	0.191206	0.0176747	0.0227653	0	0	0	0	0	0.0629098	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.889886	0	0	0	0	0	0	0	0	0	0	0	0	-3.20083	0.0156221	0.0934242	-3.20918	0.0297274	0.0801085	-0.0136022	-0.0311415	-0.161327	0.181519	0.00970433	0.0267879	0	0	0	0	0	0.0629098	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.92363	0	0	0	0	0	0	0	0	0	0	0	0	-3.20122	0.012411	0.0888001	-3.2039	0.0272351	0.0821775	-0.0201958	-0.0946331	-0.0223792	0.163266	0.000779819	0.029912	0	0	0	0	0	0.0634668	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.95154	0	0	0	0	0	0	0	0	0	0	0	0	-3.20162	0.012411	0.0888001	-3.20109	0.0248975	0.0840906	-0.0176652	-0.0947939	0.102885	0.143966	-0.00612248	0.0336057	0	0	0	0	0	0.0634668	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
0.989822	0	0	0	0	0	0	0	0	0	0	0	0	-3.20162	0.0160732	0.0888001	-3.19823	0.0233292	0.0860886	-0.00367049	-0.089711	0.102885	0.119302	-0.00977643	0.0361316	0	0	0	0	0	0.061538	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.02015	0	0	0	0	0	0	0	0	0	0	0	0	-3.20155	0.0169223	0.088188	-3.19727	0.0223217	0.0865432	0.00447846	0.0277682	-0.33183	0.0988341	-0.0105158	0.0308345	0	0	0	0	0	0.0612882	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.05223	0	0	0	0	0	0	0	0	0	0	0	0	-3.20087	0.0169223	0.088188	-3.19657	0.0214215	0.0868594	0.00356453	0.0278243	-0.33183	0.0800267	-0.0111374	0.0263583	0	0	0	0	0	0.0612882	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.08896	0	0	0	0	0	0	0	0	0	0	0	0	-3.20049	0.023741	0.0709288	-3.19601	0.0217686	0.0837427	0.0135956	0.0557074	-0.568953	0.0633303	-0.00769619	0.00992644	0	0	0	0	0	0.0588132	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.12103	0	0	0	0	0	0	0	0	0	0	0	0	-3.20087	0.023741	0.0786718	-3.19656	0.0221337	0.083985	-0.0348859	0.0585473	0.368746	0.0426289	-0.00461066	0.0144955	0	0	0	0	0	0.0584267	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.15334	0	0	0	0	0	0	0	0	0	0	0	0	-3.20171	0.0236801	0.0786718	-3.19731	0.0222525	0.0834728	-0.0117472	-0.029672	0.000279426	0.0293922	-0.00374755	0.0109702	0	0	0	0	0	0.0584267	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.18948	0	0	0	0	0	0	0	0	0	0	0	0	-3.20171	0.0227007	0.0786808	-3.19804	0.022099	0.0831225	-0.0138703	-0.0658407	0.0604621	0.0177388	-0.00396149	0.00942028	0	0	0	0	0	0.0585389	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.21503	0	0	0	0	0	0	0	0	0	0	0	0	-3.20191	0.018654	0.0808664	-3.1989	0.0212695	0.0830202	-0.0155644	-0.0932895	0.0352413	0.00960522	-0.00635038	0.00862199	0	0	0	0	0	0.059445	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.25392	0	0	0	0	0	0	0	0	0	0	0	0	-3.20191	0.018654	0.0808664	-3.19963	0.0204332	0.0830056	-0.0218873	-0.0929132	0.0352413	0.00137921	-0.00839331	0.00787875	0	0	0	0	0	0.059445	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.2816	0	0	0	0	0	0	0	0	0	0	0	0	-3.20237	0.0204355	0.0817667	-3.20044	0.0201886	0.0830492	-0.0180344	-0.0288957	0.0352413	-0.00397638	-0.00814487	0.00759418	0	0	0	0	0	0.0580153	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.31638	0	0	0	0	0	0	0	0	0	0	0	0	-3.20272	0.0204355	0.0868951	-3.20123	0.0199301	0.0838074	-0.0178964	-0.0289037	-0.0309859	-0.00829881	-0.00797594	0.00855729	0	0	0	0	0	0.0580153	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.35315	0	0	0	0	0	0	0	0	0	0	0	0	-3.20293	0.0186676	0.0879596	-3.20193	0.0194092	0.0848014	-0.011018	-0.0293031	0.0289477	-0.0101892	-0.00864705	0.0107444	0	0	0	0	0	0.058028	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.38139	0	0	0	0	0	0	0	0	0	0	0	0	-3.20306	0.0185074	0.0868951	-3.20243	0.0189301	0.0849972	-0.0125161	-0.0548152	-0.171171	-0.0113073	-0.00960948	0.00877559	0	0	0	0	0	0.0583161	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.42124	0	0	0	0	0	0	0	0	0	0	0	0	-3.20327	0.0149915	0.0826379	-3.20296	0.0179785	0.0849469	-0.00902797	0.00489484	0.0289477	-0.0117851	-0.0108264	0.00825126	0	0	0	0	0	0.0587991	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.44592	0	0	0	0	0	0	0	0	0	0	0	0	-3.20389	0.0149915	0.0826379	-3.20335	0.0173548	0.0851842	-0.00108526	0.0237197	0.209154	-0.0117474	-0.0114267	0.010103	0	0	0	0	0	0.0587991	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.48992	0	0	0	0	0	0	0	0	0	0	0	0	-3.20389	0.0155748	0.0826379	-3.20379	0.0168194	0.085582	0.00126934	0.0643401	0.209154	-0.0105318	-0.0105578	0.0119918	0	0	0	0	0	0.0582309	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.51347	0	0	0	0	0	0	0	0	0	0	0	0	-3.20354	0.0155748	0.0763639	-3.20376	0.0164883	0.083773	0.0108031	0.0230253	-0.234933	-0.00754559	-0.010683	0.00316799	0	0	0	0	0	0.0582309	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.55341	0	0	0	0	0	0	0	0	0	0	0	0	-3.20354	0.0134252	0.0763639	-3.20377	0.0157389	0.0820722	0.0115773	0.036192	-0.234933	-0.00461621	-0.0111999	-0.00458497	0	0	0	0	0	0.0584113	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.57921	0	0	0	0	0	0	0	0	0	0	0	0	-3.20383	0.0134252	0.0807919	-3.20392	0.0152457	0.0820111	-0.010334	0.0374733	0.100192	-0.0060972	-0.0112308	-0.00283945	0	0	0	0	0	0.0584113	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.61471	0	0	0	0	0	0	0	0	0	0	0	0	-3.20415	0.0134252	0.0807919	-3.20418	0.0147338	0.0819663	-0.0103462	0.03747	0.100192	-0.00702743	-0.0109842	-0.00172316	0	0	0	0	0	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.63745	0	0	0	0	0	0	0	0	0	0	0	0	-3.20415	0.0134252	0.0807919	-3.20432	0.0144342	0.0819755	-0.0103462	0.03747	0.100192	-0.00731511	-0.0106629	-0.000814264	0	0	0	0	0	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.64734	0	0	0	0	0	0	0	0	0	0	0	0	-3.20415	0.0134252	0.0807919	-3.20437	0.0143084	0.0820038	-0.0103462	0.03747	0.100192	-0.00749984	-0.0102813	6.77292e-05	0	0	0	0	0	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.64751	0	0	0	0	0	0	0	0	0	0	0	0	-3.20441	0.0132054	0.0760612	-3.20438	0.0140854	0.0809475	-0.0102566	-0.0531373	-0.179669	-0.00761344	-0.0113024	-0.0044679	0	0	0	0	0	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.65741	0	0	0	0	0	0	0	0	0	0	0	0	-3.20441	0.0132054	0.0760612	-3.20444	0.0138029	0.0800361	-0.0195833	-0.0594409	-0.176898	-0.00834209	-0.0127642	-0.0135614	0	0	0	-0.0520108	0.0354302	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.66741	0	0	0	0	0	0	0	0	0	0	0	0	-3.20441	0.0132054	0.0760612	-3.20449	0.013553	0.0792292	-0.0195833	-0.0594409	-0.176898	-0.0085138	-0.0135613	-0.0169534	0	0	0	-0.0520108	0.0354302	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.67732	0	0	0	0	0	0	0	0	0	0	0	0	-3.20441	0.0132054	0.0760612	-3.20454	0.0133306	0.0785172	-0.0195833	-0.0594409	-0.176898	-0.00865567	-0.0141465	-0.019735	0	0	0	-0.0520108	0.0354302	0.0580863	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.68577	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20457	0.0129857	0.0773331	-0.0155424	-0.059682	-0.1771	-0.00863785	-0.0152606	-0.0235835	0	0	0	-0.0520108	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.68737	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20457	0.0127771	0.0764608	-0.0155424	-0.059682	-0.1771	-0.00855621	-0.016201	-0.0257271	0	0	0	-0.0520108	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.69738	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20461	0.0124714	0.0754749	-0.0155737	-0.0596819	-0.177098	-0.00862772	-0.0170598	-0.0305929	0	0	0	-0.0521853	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.70735	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20464	0.01219	0.0745731	-0.0155737	-0.0596819	-0.177098	-0.00854778	-0.0178476	-0.0334011	0	0	0	-0.0521853	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.71177	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20464	0.0121425	0.0740117	-0.00592568	0.0356986	-0.10792	-0.00830646	-0.0174161	-0.0340511	0	0	0	-0.0521853	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.71734	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20465	0.0120812	0.0734637	-0.00594428	0.0356986	-0.107919	-0.00815922	-0.0170597	-0.0358245	0	0	0	-0.0523599	0.0354302	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.72739	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20468	0.0119594	0.0728027	-0.00594428	0.0356798	-0.107926	-0.00800704	-0.0167586	-0.0381077	0	0	0	-0.0523599	0.0356047	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.73731	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.2047	0.011852	0.0721928	-0.00596288	0.0356798	-0.107925	-0.00781437	-0.0164172	-0.0392779	0	0	0	-0.0525344	0.0356047	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.74734	0	0	0	0	0	0	0	0	0	0	0	0	-3.20451	0.0115114	0.0701641	-3.20472	0.0117539	0.0716158	-0.00594428	0.035661	-0.107932	-0.00762651	-0.0160111	-0.0403076	0	0	0	-0.0523599	0.0357792	0.0585662	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.74763	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20462	0.0119278	0.0717733	0.0167854	0.0491029	0.175376	-0.00648198	-0.0149638	-0.0367303	0	0	0	-0.0523599	0.0357792	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.75736	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20456	0.0119656	0.071576	0.0168163	0.0491028	0.175373	-0.0056515	-0.0141535	-0.0369786	0	0	0	-0.0525344	0.0357792	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.7674	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20449	0.012004	0.0714017	0.0168163	0.0491028	0.175373	-0.00477784	-0.0132766	-0.0354823	0	0	0	-0.0525344	0.0357792	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.77734	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20443	0.0120476	0.0712579	0.0168472	0.0491333	0.175362	-0.00398954	-0.0123799	-0.0338808	0	0	0	-0.0527089	0.0359538	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.7811	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20437	0.012154	0.0713235	0.0168472	0.0491333	0.175362	-0.00317597	-0.0115356	-0.0310988	0	0	0	-0.0527089	0.0359538	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.78731	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20431	0.0122279	0.0713057	0.0168163	0.0491334	0.175365	-0.00261841	-0.0107845	-0.0300971	0	0	0	-0.0525344	0.0359538	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.79746	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.20425	0.0122655	0.0711859	0.0168163	0.0491334	0.175365	-0.00209981	-0.010013	-0.029413	0	0	0	-0.0525344	0.0359538	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.80733	0	0	0	0	0	0	0	0	0	0	0	0	-3.20378	0.0134344	0.0707015	-3.2042	0.0123096	0.0711005	0.0168163	0.0491334	0.175365	-0.00154874	-0.00927982	-0.0279271	0	0	0	-0.0525344	0.0359538	0.0576777	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.8166	0	0	0	0	0	0	0	0	0	0	0	0	-3.2036	0.0110516	0.0676456	-3.20413	0.0120424	0.0706046	-0.00629776	-0.120535	-0.0811652	-0.00118692	-0.0104922	-0.0289217	0	0	0	-0.0525344	0.0359538	0.0580353	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.81738	0	0	0	0	0	0	0	0	0	0	0	0	-3.2036	0.0110516	0.0676456	-3.20408	0.0118676	0.0703673	-0.00629776	-0.12052	-0.0811862	-0.000734961	-0.0115548	-0.0281543	0	0	0	-0.0525344	0.0357792	0.0580353	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.82736	0	0	0	0	0	0	0	0	0	0	0	0	-3.2036	0.0110516	0.0676456	-3.20402	0.0116111	0.0698826	-0.00628285	-0.12052	-0.0811873	-0.000473517	-0.012623	-0.0308747	0	0	0	-0.0523599	0.0357792	0.0580353	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.83734	0	0	0	0	0	0	0	0	0	0	0	0	-3.2036	0.0110516	0.0676456	-3.20396	0.0113597	0.0694241	-0.00626794	-0.120506	-0.0812095	-0.0001738	-0.0136076	-0.0316839	0	0	0	-0.0521853	0.0356047	0.0580353	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.8442	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0676456	-3.2039	0.0108756	0.0690812	-0.0041751	-0.120642	-0.081314	0.000102632	-0.0154034	-0.0316862	0	0	0	-0.0521853	0.0356047	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.84734	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0676456	-3.20385	0.0104727	0.0688655	-0.00416017	-0.120642	-0.0813147	0.000357151	-0.0170425	-0.0314857	0	0	0	-0.0520108	0.0356047	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.85738	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0676456	-3.20379	0.0099822	0.0684442	-0.00414524	-0.120643	-0.0813154	0.000546729	-0.0187689	-0.0333918	0	0	0	-0.0518363	0.0356047	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.86735	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0676456	-3.20373	0.00950386	0.0680501	-0.0041303	-0.120657	-0.0812951	0.000685171	-0.0202659	-0.0338099	0	0	0	-0.0516617	0.0357792	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.87732	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0676456	-3.20367	0.0090376	0.0676737	-0.0041303	-0.120657	-0.0812951	0.000782104	-0.0215987	-0.034132	0	0	0	-0.0516617	0.0357792	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.88039	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0694121	-3.20364	0.00874446	0.0677138	0.00161966	-0.0999953	0.00913892	0.00100079	-0.0225807	-0.0321018	0	0	0	-0.0516617	0.0357792	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.88736	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0694121	-3.2036	0.00838832	0.0676223	0.00161966	-0.0999937	0.00915638	0.00107109	-0.0235811	-0.0322451	0	0	0	-0.0516617	0.0359538	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
1.89741	0	0	0	0	0	0	0	0	0	0	0	0	-3.20353	0.00607618	0.0694121	-3.20355	0.00797878	0.0674464	0.00161869	-0.0999921	0.00917411	0.00111729	-0.0244592	-0.0322362	0	0	0	-0.0514872	0.0361283	0.0594944	-750	750	-500	-0	0	-10	0	0	0	-0.4	0.2	177	-0.1	-0.1	2561	
