time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,136595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,166565;0;0;0;0;0;0;0;0;0;0;0;0;-3,84098;0,105401;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0,00186364;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,19733;0;0;0;0;0;0;0;0;0;0;0;0;-3,84262;0,105401;0,264052;-0,0729058;-0,0669682;0,07;-0,07;-0,07;0,07;-0,557786;-3,9821;2,89384;-51,1893;0;0;0;0;0;0;0;0,0424241;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,234562;0;0;0;0;0;0;0;0;0;0;0;0;-3,84098;-0,282883;-0,518417;-0,0217892;-0,138294;0;0;-0,14;0;0,0547392;-3,9821;-21,0166;-42,5346;0;0;0;0;0;0;0;0,156273;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,26407;0;0;0;0;0;0;0;0;0;0;0;0;-3,82631;-0,363638;-0,518417;0,0313743;-0,219125;-0,07;0,07;-0,21;-0,07;0,805778;-2,73672;-1,92845;-16,3126;0;0;0;0;0;0;0;0,179537;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,296856;0;0;0;0;0;0;0;0;0;0;0;0;-3,80254;-0,282883;-0,518417;0,116505;-0,160083;-0,14;0,14;-0,14;-0,14;0,805778;3,43989;-1,92845;0,541393;0;0;0;0;0;0;0;0,156273;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,331836;0;0;0;0;0;0;0;0;0;0;0;0;-3,80254;0,170927;0,00299145;0,0672305;-0,072664;-0,21;0,07;-0,07;-0,21;0,0669492;4,56911;-1,92845;0,883661;0;0;0;0;0;0;0;0,0388205;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,361776;0;0;0;0;0;0;0;0;0;0;0;0;-3,83469;0,170927;0,316642;0,0668987;-0,00259835;-0,14;0,0669492;0;-0,14;0,0669492;4,56911;10,4714;0,42847;0;0;0;0;0;0;0;0,0388205;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,399694;0;0;0;0;0;0;0;0;0;0;0;0;-3,84855;0,233025;0,105364;-0,000639978;0,0700635;-0,21;-0,00305081;0,07;-0,21;-0,672997;4,56911;-5,57272;-0,649233;0;0;0;0;0;0;0;0,0344215;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,427114;0;0;0;0;0;0;0;0;0;0;0;0;-3,83469;0,0361338;0,105364;0,0667186;-0,00555164;-0,28;0,0669492;0;-0,28;0,462819;-9,84036;-5,57272;-0,945829;0;0;0;0;0;0;0;0,0830186;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
0,463991;0;0;0;0;0;0;0;0;0;0;0;0;-3,81946;0,199102;0,105364;1,99656e-05;0,0700664;-0,35;-0,00305081;0,07;-0,35;-0,672997;5,19325;-5,57272;-0,129947;0;0;0;0;0;0;0;0,0438404;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,07
