time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.132986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.157783	0	0	0	0	0	0	0	0	0	0	0	0	-2.73488	-0.172395	-0.439253	0	-1.46002	0	0	0	0	0	0	0	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.195083	0	0	0	0	0	0	0	0	0	0	0	0	-2.73906	-0.184279	-0.445361	-0.0630622	-1.46296	-1.07445	0	0	0	0	0	-0.0336067	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.222569	0	0	0	0	0	0	0	0	0	0	0	0	-2.73488	-0.254417	-0.470518	0.233329	-2.54929	0.246107	0	0	0	0	0	-0.00767861	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.262271	0	0	0	0	0	0	0	0	0	0	0	0	-2.73555	-0.249225	-0.470518	-0.0608327	0.130183	0.165514	0	0	0	0	0	-0.00953975	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.288163	0	0	0	0	0	0	0	0	0	0	0	0	-2.73555	-0.249225	-0.463947	-0.0608327	0.130183	0.320181	0	0	0	0	0	-0.00953975	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.3239	0	0	0	0	0	0	0	0	0	0	0	0	-2.74845	-0.193945	-0.440889	-0.178727	0.125311	0.890518	0	0	0	0	0	-0.0308137	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.364517	0	0	0	0	0	0	0	0	0	0	0	0	-2.74845	-0.193945	-0.440889	-0.15997	-0.483213	0.890518	0	0	0	0	0	-0.0308137	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.387536	0	0	0	0	0	0	0	0	0	0	0	0	-2.75469	-0.193945	-0.408569	-0.15997	-0.483213	0.904537	0	0	0	0	0	-0.0308137	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.42872	0	0	0	0	0	0	0	0	0	0	0	0	-2.74026	-0.213573	-0.385947	0.366374	-0.474866	2.93919	0	0	0	0	0	-0.0232576	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.453103	0	0	0	0	0	0	0	0	0	0	0	0	-2.74401	-0.259481	-0.385947	-0.792542	1.50971	2.93919	0	0	0	0	0	-0.0070128	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.490098	0	0	0	0	0	0	0	0	0	0	0	0	-2.74401	-0.259481	-0.412228	-0.115418	0.562535	0.599646	0	0	0	0	0	-0.0070128	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.523673	0	0	0	0	0	0	0	0	0	0	0	0	-2.74401	-0.259481	-0.426852	-0.115418	0.562535	-0.435531	0	0	0	0	0	-0.0070128	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.558896	0	0	0	0	0	0	0	0	0	0	0	0	-2.74066	-0.238641	-0.426852	-0.0769337	0.562268	-0.435531	0	0	0	0	0	-0.0145955	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.585736	0	0	0	0	0	0	0	0	0	0	0	0	-2.73914	-0.23238	-0.445694	0.024595	1.95659	-0.534982	0	0	0	0	0	-0.0164041	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.622776	0	0	0	0	0	0	0	0	0	0	0	0	-2.74066	-0.180286	-0.450192	-0.136583	1.95235	-0.534982	0	0	0	0	0	-0.0347249	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.656662	0	0	0	0	0	0	0	0	0	0	0	0	-2.73914	-0.180286	-0.476269	0.0571399	-0.0120748	-0.769301	0	0	0	0	0	-0.0347249	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.690434	0	0	0	0	0	0	0	0	0	0	0	0	-2.74412	-0.180286	-0.463464	-0.13387	-0.0187102	0.37923	0	0	0	0	0	-0.0347249	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.716976	0	0	0	0	0	0	0	0	0	0	0	0	-2.73709	-0.180763	-0.463464	0.255332	-0.00533984	0.37923	0	0	0	0	0	-0.0341368	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.754882	0	0	0	0	0	0	0	0	0	0	0	0	-2.73709	-0.281587	-0.463464	0.264779	-0.962777	0.37923	0	0	0	0	0	0.0025921	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.788736	0	0	0	0	0	0	0	0	0	0	0	0	-2.73709	-0.281587	-0.43266	0.264779	-0.962777	1.16039	0	0	0	0	0	0.0025921	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.821972	0	0	0	0	0	0	0	0	0	0	0	0	-2.74182	-0.274691	0.217914	0.0116725	0.0599691	-0.101429	0	0	0	0	0	-0.00421557	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.854281	0	0	0	0	0	0	0	0	0	0	0	0	-2.74182	-0.274691	0.221285	0.00541536	0.0599427	0.289713	0	0	0	0	0	-0.00421557	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.884116	0	0	0	0	0	0	0	0	0	0	0	0	-2.74182	-0.2727	0.225746	0.00537648	0.0599462	-0.0511355	0	0	0	0	0	-0.0048642	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.923614	0	0	0	0	0	0	0	0	0	0	0	0	-2.74199	-0.271276	0.227272	-0.00479933	0.193915	0.18689	0	0	0	0	0	-0.00537426	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.950185	0	0	0	0	0	0	0	0	0	0	0	0	-2.74199	-0.271276	0.225746	-0.00479933	0.193915	-0.0511355	0	0	0	0	0	-0.00537426	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.983165	0	0	0	0	0	0	0	0	0	0	0	0	-2.74086	-0.271166	0.228784	0.0132419	0.0413773	0.165946	0	0	0	0	0	-0.00565857	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.01955	0	0	0	0	0	0	0	0	0	0	0	0	-2.74049	-0.271166	0.228784	0.0132419	0.0413773	0.0952988	0	0	0	0	0	-0.00565857	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.05241	0	0	0	0	0	0	0	0	0	0	0	0	-2.74042	-0.270623	0.228784	0.0132285	0.0413815	0.0952988	0	0	0	0	0	-0.00598114	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.08532	0	0	0	0	0	0	0	0	0	0	0	0	-2.73984	-0.270623	0.226122	0.0200054	-0.0530348	-0.0428627	0	0	0	0	0	-0.00598114	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11668	0	0	0	0	0	0	0	0	0	0	0	0	-2.7398	-0.272373	0.224711	0.0199757	-0.0530459	-0.0428627	0	0	0	0	0	-0.00542178	-1000	1000	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
