time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.136503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.165437	0	0	0	0	0	0	0	0	0	0	0	0	-3.95686	0	-0.69083	-1.03303	0	-0.0232932	0	0	-0.816173	-6.80591	-0.340768	-0.150755	0	0	0	0	0	-0.0500276	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.196676	0	0	0	0	0	0	0	0	0	0	0	0	-3.95686	-0.0417753	-0.69083	-1.91509	-0.00812501	-0.0580108	0.381278	-5.81061	-0.816173	-9.40793	-0.52479	-0.302214	0	0	0	0	0	-0.0500276	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.231391	0	0	0	0	0	0	0	0	0	0	0	0	-3.95686	-0.231923	-0.622103	-2.64008	-0.0282858	-0.101211	0.160642	-5.82089	-0.816173	-10.6	-0.272972	-0.446513	0	0	0	0	0	-0.0120946	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.264458	0	0	0	0	0	0	0	0	0	0	0	0	-3.96325	-0.231923	-0.622103	-3.18481	-0.0451487	-0.151712	0.115619	-0.102731	-0.277016	-10.8435	-0.309328	-0.586234	0	0	0	0	0	-0.0120946	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.298772	0	0	0	0	0	0	0	0	0	0	0	0	-3.97204	-0.0594935	-0.630514	-3.60818	-0.0517116	-0.210187	-0.46675	-0.126031	-0.277016	-10.4393	-0.664286	-0.725731	0	0	0	0	0	-0.0466635	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.328222	0	0	0	0	0	0	0	0	0	0	0	0	-3.96325	0.0939375	-0.631263	-3.87011	-0.0311133	-0.268627	-0.382709	7.62418	-0.277016	-9.59928	-0.858555	-0.852576	0	0	0	0	0	-0.0849596	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.361574	0	0	0	0	0	0	0	0	0	0	0	0	-3.96715	0.0886133	-0.630514	-4.08305	-0.0253094	-0.330844	-0.278043	-2.32826	0.0218503	-8.51247	-0.762221	-0.959925	0	0	0	0	0	-0.0838758	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.400333	0	0	0	0	0	0	0	0	0	0	0	0	-3.92459	0.142336	-0.79274	-4.22203	-0.00575121	-0.426687	0.960779	1.48432	-5.21285	-6.77979	-0.611287	-1.18065	0	0	0	0	0	-0.0954511	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.427198	0	0	0	0	0	0	0	0	0	0	0	0	-3.92459	0.130437	-0.75926	-4.23941	0.00961578	-0.490931	0.0763957	-0.437781	1.24656	-5.61937	-0.453059	-1.2553	0	0	0	0	0	-0.0939671	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.464872	0	0	0	0	0	0	0	0	0	0	0	0	-3.92365	0.130437	-0.79274	-4.26781	0.0261007	-0.57328	0.48542	-0.399232	-1.70718	-4.19241	-0.281054	-1.36928	0	0	0	0	0	-0.0939671	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.493519	0	0	0	0	0	0	0	0	0	0	0	0	-3.91417	0.130437	-0.812486	-4.23544	0.041166	-0.636372	0.0763957	-0.437781	0.38744	-3.18992	-0.154714	-1.42541	0	0	0	0	0	-0.0939671	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.529915	0	0	0	0	0	0	0	0	0	0	0	0	-3.90693	0.0380385	-0.823573	-4.2063	0.0389929	-0.708398	0.384764	-2.52939	-1.70718	-2.18761	-0.0621281	-1.48983	0	0	0	0	0	-0.0732245	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.558457	0	0	0	0	0	0	0	0	0	0	0	0	-3.91417	0.0380385	-0.812486	-4.16179	0.0351494	-0.756027	-0.0683289	-2.56263	0.38744	-1.55169	-0.0528782	-1.48903	0	0	0	0	0	-0.0732245	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.599424	0	0	0	0	0	0	0	0	0	0	0	0	-3.95596	0.0380385	-0.682707	-4.13694	0.0313184	-0.791789	0.237469	-2.5402	0.635648	-0.954042	-0.0497046	-1.39866	0	0	0	0	0	-0.0732245	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.623801	0	0	0	0	0	0	0	0	0	0	0	0	-3.95805	0.131783	-0.682707	-4.1124	0.0623343	-0.800229	-1.98741	6.5652	0.635648	-0.824082	0.149532	-1.31379	0	0	0	0	0	-0.0297983	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.661674	0	0	0	0	0	0	0	0	0	0	0	0	-3.95596	0.297183	-0.656662	-4.08466	0.119871	-0.815591	-0.595865	6.59483	0.635648	-0.425539	0.341287	-1.19918	0	0	0	0	0	-0.0978098	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.693312	0	0	0	0	0	0	0	0	0	0	0	0	-3.94425	0.297183	-0.749342	-4.06123	0.152275	-0.843647	-1.19955	-1.63243	-4.15085	-0.324099	0.388765	-1.20378	0	0	0	0	0	-0.0488072	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.732309	0	0	0	0	0	0	0	0	0	0	0	0	-3.93596	-0.0598627	-0.749342	-4.02923	0.126285	-0.864782	0.289634	-1.5596	-0.0375919	-0.00248146	0.263335	-1.11119	0	0	0	0	0	-0.0492026	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.757666	0	0	0	0	0	0	0	0	0	0	0	0	-3.94425	-0.0598627	-0.750808	-4.01494	0.102433	-0.877126	-1.27795	-0.0274252	-4.15085	-0.0449326	0.176727	-1.09509	0	0	0	0	0	-0.0488072	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.79482	0	0	0	0	0	0	0	0	0	0	0	0	-3.96147	-0.0187643	-0.750808	-3.99891	0.0882455	-0.888211	0.210601	0.0453685	-0.0375919	0.104255	0.124731	-0.99419	0	0	0	0	0	-0.0492026	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.825376	0	0	0	0	0	0	0	0	0	0	0	0	-3.96147	-0.0187643	0.110184	-3.98613	0.071601	-0.749564	0.175675	-0.924545	0.363905	0.154334	0.0606852	-0.501515	0	0	0	0	0	-0.0555245	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.864711	0	0	0	0	0	0	0	0	0	0	0	0	-3.95941	-0.0195619	0.121303	-3.97427	0.0557102	-0.618553	0.181958	-0.923329	0.363905	0.182928	0.00389839	-0.0693063	0	0	0	0	0	-0.0623248	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.89327	0	0	0	0	0	0	0	0	0	0	0	0	-3.95941	-0.0195619	0.124656	-3.96797	0.0452654	-0.498312	-0.0879896	0.701005	0.125017	0.169573	-0.0158246	0.272455	0	0	0	0	0	-0.0623248	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.924851	0	0	0	0	0	0	0	0	0	0	0	0	-3.96518	0.00457656	0.126216	-3.96477	0.0399052	-0.389816	-0.0922292	0.70046	0.125017	0.144107	-0.0223546	0.55154	0	0	0	0	0	-0.068375	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.966588	0	0	0	0	0	0	0	0	0	0	0	0	-3.96518	0.011563	0.133096	-3.96155	0.0351381	-0.283249	-0.00789588	0.38789	-0.0545368	0.122171	-0.0297844	0.779629	0	0	0	0	0	-0.0700162	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
0.994549	0	0	0	0	0	0	0	0	0	0	0	0	-3.96065	0.011563	0.133096	-3.95956	0.0301593	-0.198635	0.0280169	-0.124193	-0.281857	0.111023	-0.0433423	0.945579	0	0	0	0	0	-0.0700162	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.03166	0	0	0	0	0	0	0	0	0	0	0	0	-3.96065	0.00744837	0.121374	-3.95777	0.0246074	-0.118355	0.00927373	-0.125508	-0.281857	0.0914962	-0.0559029	1.0618	0	0	0	0	0	-0.0685882	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.06134	0	0	0	0	0	0	0	0	0	0	0	0	-3.96114	0.00681229	0.121374	-3.9575	0.0198837	-0.0547791	-0.00192329	-0.170395	0.00154658	0.0736673	-0.0661275	1.14378	0	0	0	0	0	-0.0684972	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.09215	0	0	0	0	0	0	0	0	0	0	0	0	-3.96114	-0.041604	0.140293	-3.95747	0.00737146	0.00519088	0.00674368	-0.36301	0.500297	0.0587465	-0.0996112	1.20894	0	0	0	0	0	-0.0559902	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.12974	0	0	0	0	0	0	0	0	0	0	0	0	-3.95833	-0.0522652	0.140293	-3.95628	-0.00637632	0.0640384	0.0690475	-0.359651	0.500297	0.0580823	-0.12966	1.24029	0	0	0	0	0	-0.0532934	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.16012	0	0	0	0	0	0	0	0	0	0	0	0	-3.95645	-0.0527643	0.133537	-3.95521	-0.0178822	0.103631	0.0689936	-0.359661	-0.257788	0.0570946	-0.152151	1.23309	0	0	0	0	0	-0.0531434	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.19539	0	0	0	0	0	0	0	0	0	0	0	0	-3.95645	-0.0522652	0.133537	-3.95449	-0.0276519	0.141547	0.0223258	0.0144629	-0.257788	0.049731	-0.162001	1.206	0	0	0	0	0	-0.0531434	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.22697	0	0	0	0	0	0	0	0	0	0	0	0	-3.96132	0.048999	0.125706	-3.95607	-0.0170148	0.167529	-0.115998	0.799136	-0.257788	0.0262684	-0.108637	1.16228	0	0	0	0	0	-0.077918	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.2587	0	0	0	0	0	0	0	0	0	0	0	0	-3.96132	0.048999	0.138002	-3.95755	-0.00696796	0.192974	-0.115998	0.799136	0.882983	0.00807426	-0.0650427	1.13115	0	0	0	0	0	-0.077918	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.29657	0	0	0	0	0	0	0	0	0	0	0	0	-3.95949	0.0429118	0.123316	-3.95723	-0.00325175	0.213622	0.185684	-0.982028	-0.387803	0.0224391	-0.0597128	1.05522	0	0	0	0	0	-0.0756579	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.32363	0	0	0	0	0	0	0	0	0	0	0	0	-3.95667	-0.0202716	0.126318	-3.95611	-0.00970082	0.221432	0.169597	-0.984934	0.11104	0.031671	-0.0807675	0.993348	0	0	0	0	0	-0.0593001	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.35842	0	0	0	0	0	0	0	0	0	0	0	0	-3.95667	-0.0202716	0.126318	-3.95624	-0.0155917	0.232924	-0.0186473	-0.793203	0.11104	0.0154269	-0.0959248	0.923034	0	0	0	0	0	-0.0593001	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.39092	0	0	0	0	0	0	0	0	0	0	0	0	-3.95924	-0.00728654	0.143949	-3.95739	-0.0165561	0.242695	-0.075604	0.0216141	0.506634	0.00160841	-0.0877815	0.865759	0	0	0	0	0	-0.0624782	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.42802	0	0	0	0	0	0	0	0	0	0	0	0	-3.96253	-0.00643172	0.143949	-3.95942	-0.0170571	0.252348	-0.0819586	0.122981	0.506634	-0.0138187	-0.0788024	0.801424	0	0	0	0	0	-0.0625807	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.4564	0	0	0	0	0	0	0	0	0	0	0	0	-3.96253	-0.00168828	0.139992	-3.96033	-0.016192	0.25054	0.0259663	0.0279942	-0.459806	-0.0101467	-0.0695044	0.723948	0	0	0	0	0	-0.0634143	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.49142	0	0	0	0	0	0	0	0	0	0	0	0	-3.96253	-0.00168828	0.139992	-3.96102	-0.0156727	0.251161	0.0271573	0.0092377	-0.459806	-0.00827774	-0.0607495	0.646904	0	0	0	0	0	-0.0634143	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.52265	0	0	0	0	0	0	0	0	0	0	0	0	-3.96175	-0.0356067	0.133442	-3.96123	-0.0208918	0.247213	0.0404534	-0.234023	-0.220095	-0.00482651	-0.071801	0.575509	0	0	0	0	0	-0.0543185	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.55844	0	0	0	0	0	0	0	0	0	0	0	0	-3.96048	-0.0429707	0.133442	-3.9607	-0.0270373	0.244077	0.0820433	-0.231902	-0.220095	0.0067387	-0.08253	0.504582	0	0	0	0	0	-0.0523121	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.5888	0	0	0	0	0	0	0	0	0	0	0	0	-3.95535	-0.0429707	0.101098	-3.95875	-0.0318395	0.23227	0.0770159	-0.135885	-0.220095	0.0210019	-0.0882462	0.425595	0	0	0	0	0	-0.0523121	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.62471	0	0	0	0	0	0	0	0	0	0	0	0	-3.95535	-0.0340936	0.101098	-3.95732	-0.0334881	0.222507	0.00273858	0.458358	-0.0657251	0.0240804	-0.0775489	0.353759	0	0	0	0	0	-0.0539365	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.62901	0	0	0	0	0	0	0	0	0	0	0	0	-3.95535	-0.0340936	0.101098	-3.95691	-0.0326758	0.205655	-0.0219756	0.457839	-0.0657251	0.0238093	-0.0692142	0.299642	0	0	0	0	0	-0.0539365	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.63885	0	0	0	0	0	0	0	0	0	0	0	0	-3.95535	-0.0340936	0.101098	-3.95664	-0.0323896	0.193929	-0.0466259	0.455988	-0.0657251	0.0207787	-0.0616919	0.255744	0	0	0	0	0	-0.0539365	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.6489	0	0	0	0	0	0	0	0	0	0	0	0	-3.95535	-0.0340936	0.101098	-3.95654	-0.0321665	0.184448	-0.076078	0.452492	-0.0623109	0.0328801	-0.0541227	0.213423	0	0	0	-0.0785398	0.00523599	-0.0539365	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.65653	0	0	0	0	0	0	0	0	0	0	0	0	-3.96189	0.00810016	0.117072	-3.95774	-0.0271897	0.178127	-0.136987	0.449682	0.0393968	0.0168363	-0.0354677	0.190988	0	0	0	-0.0785398	0.00523599	-0.064462	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.65894	0	0	0	0	0	0	0	0	0	0	0	0	-3.96189	0.00810016	0.117072	-3.95873	-0.0229543	0.172159	-0.162058	0.440191	0.0499977	0.00257169	-0.0201293	0.173758	0	0	0	-0.0787143	0.00523599	-0.064462	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.66889	0	0	0	0	0	0	0	0	0	0	0	0	-3.96189	0.00810016	0.117072	-3.95971	-0.0194632	0.168242	-0.185558	0.429171	0.0625431	-0.0116957	-0.00677026	0.156158	0	0	0	-0.0787143	0.00523599	-0.064462	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.67888	0	0	0	0	0	0	0	0	0	0	0	0	-3.96189	0.00810016	0.117072	-3.96069	-0.0163482	0.164817	-0.207241	0.416735	0.076903	-0.0246761	0.00491478	0.141857	0	0	0	-0.0787143	0.00523599	-0.064462	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.68649	0	0	0	0	0	0	0	0	0	0	0	0	-3.96541	0.0215307	0.118055	-3.9617	-0.0123813	0.161863	-0.118933	0.441088	0.278766	-0.0332628	0.0188942	0.131944	0	0	0	-0.0787143	0.00523599	-0.0677189	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
1.68889	0	0	0	0	0	0	0	0	0	0	0	0	-3.96541	0.0215307	0.118055	-3.96238	-0.0090441	0.158758	-0.126077	0.433589	0.287261	-0.0406761	0.0310734	0.124447	0	0	0	-0.0788889	0.00541052	-0.0677189	-850	850	-500	-0	0	-10	0	0	0	-0.4	0.2	170	-1	-1	2561	
