time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.922896	0	0	0	0	0	0	0	0	0	0	0	0	-2.8414	-0.341921	0.167312	0.0270503	-0.0574085	0.0541388	0	0	0	0	0	-0.00220744	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.953418	0	0	0	0	0	0	0	0	0	0	0	0	-2.84012	-0.343993	0.167312	0.027005	-0.0574298	0.0525458	0	0	0	0	0	-0.00141813	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.984723	0	0	0	0	0	0	0	0	0	0	0	0	-2.84012	-0.343993	0.169028	0.00281021	0.00652215	0.0541388	0	0	0	0	0	-0.00141813	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.01921	0	0	0	0	0	0	0	0	0	0	0	0	-2.84264	-0.330326	0.169028	-0.00761023	0.151005	0.106549	0	0	0	0	0	-0.00631401	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.05438	0	0	0	0	0	0	0	0	0	0	0	0	-2.84287	-0.328494	0.170817	-0.00768451	0.151001	0.106549	0	0	0	0	0	-0.00680594	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.0864	0	0	0	0	0	0	0	0	0	0	0	0	-2.843	-0.325984	0.1722	-0.00725493	0.0782991	0.0431937	0	0	0	0	0	-0.00763854	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11634	0	0	0	0	0	0	0	0	0	0	0	0	-2.84345	-0.325984	0.171056	-0.0042416	0.0783221	-0.0382673	0	0	0	0	0	-0.00763854	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.15106	0	0	0	0	0	0	0	0	0	0	0	0	-2.8435	-0.325767	0.171056	-0.0164504	0.0782289	-0.0382673	0	0	0	0	0	-0.00763854	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.18714	0	0	0	0	0	0	0	0	0	0	0	0	-2.84416	-0.323408	0.168145	-0.0077568	0.0860554	-0.0735845	0	0	0	0	0	-0.00848606	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.21684	0	0	0	0	0	0	0	0	0	0	0	0	-2.84416	-0.325767	0.168145	-0.00651648	-0.0679731	-0.0735845	0	0	0	0	0	-0.00750253	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.25173	0	0	0	0	0	0	0	0	0	0	0	0	-2.84365	-0.328204	0.174479	-0.00407548	0.0192025	0.0759951	0	0	0	0	0	-0.00675532	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.28002	0	0	0	0	0	0	0	0	0	0	0	0	-2.84365	-0.328204	0.174479	-0.00407548	0.0192025	0.0759951	0	0	0	0	0	-0.00675532	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.31904	0	0	0	0	0	0	0	0	0	0	0	0	-2.84371	-0.325361	0.17466	-0.00409264	0.0191988	0.0759951	0	0	0	0	0	-0.00764869	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.34859	0	0	0	0	0	0	0	0	0	0	0	0	-2.84387	-0.323244	0.173909	-0.00928447	0.175024	-0.025417	0	0	0	0	0	-0.0084327	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.38088	0	0	0	0	0	0	0	0	0	0	0	0	-2.84437	-0.3173	0.173909	-0.0210395	0.0335101	-0.025417	0	0	0	0	0	-0.0104677	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.42247	0	0	0	0	0	0	0	0	0	0	0	0	-2.84437	-0.316211	0.173909	-0.0210531	0.0335015	-0.025417	0	0	0	0	0	-0.010875	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.44387	0	0	0	0	0	0	0	0	0	0	0	0	-2.84371	-0.316211	0.171174	-0.0209544	0.0244183	-0.0847134	0	0	0	0	0	-0.010875	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
