time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.130549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.155963	0	0	0	0	0	0	0	0	0	0	0	0	-3.07158	-0.0698971	-0.536178	0.0383864	-0.595839	-2.75984	0	0	0	0	0	-0.0643352	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.196389	0	0	0	0	0	0	0	0	0	0	0	0	-3.07815	-0.107601	-0.59117	-0.116044	-0.607819	-2.75984	0	0	0	0	0	-0.0771054	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.221696	0	0	0	0	0	0	0	0	0	0	0	0	-3.07408	-0.124444	-0.59117	0.208436	-0.652369	0.035407	0	0	0	0	0	-0.0723843	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.258734	0	0	0	0	0	0	0	0	0	0	0	0	-3.07815	-0.120071	-0.590275	-0.170835	0.105761	0.374981	0	0	0	0	0	-0.0742476	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.286798	0	0	0	0	0	0	0	0	0	0	0	0	-3.07408	-0.124444	-0.590275	0.208436	-0.652369	0.035407	0	0	0	0	0	-0.0723843	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.318872	0	0	0	0	0	0	0	0	0	0	0	0	-3.06896	-0.130558	-0.605226	-0.471988	0.0857222	2.27252	0	0	0	0	0	-0.0691774	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.359432	0	0	0	0	0	0	0	0	0	0	0	0	-3.06422	-0.130558	-0.605226	0.109475	0.111861	0.261408	0	0	0	0	0	-0.0691774	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.386088	0	0	0	0	0	0	0	0	0	0	0	0	-3.06705	-0.130558	-0.594623	-0.113358	0.0964214	0.880677	0	0	0	0	0	-0.0691774	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.425245	0	0	0	0	0	0	0	0	0	0	0	0	-3.06594	-0.185127	-0.591686	0.0455146	-0.326511	0.261408	0	0	0	0	0	-0.0524709	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.451436	0	0	0	0	0	0	0	0	0	0	0	0	-3.06705	-0.185127	-0.571142	-0.0890493	-0.333578	0.880677	0	0	0	0	0	-0.0524709	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.488511	0	0	0	0	0	0	0	0	0	0	0	0	-3.07787	-0.157193	-0.568272	-0.21101	0.439638	0.406041	0	0	0	0	0	-0.0634622	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.518508	0	0	0	0	0	0	0	0	0	0	0	0	-3.08464	-0.14044	-0.553227	-0.442635	1.53065	0.894031	0	0	0	0	0	-0.0693272	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.558606	0	0	0	0	0	0	0	0	0	0	0	0	-3.08464	-0.14044	-0.553227	-0.213585	0.438392	0.406041	0	0	0	0	0	-0.0693272	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.584366	0	0	0	0	0	0	0	0	0	0	0	0	-3.06432	-0.169206	-0.601679	-0.128981	1.13084	0.378921	0	0	0	0	0	-0.0587033	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.620694	0	0	0	0	0	0	0	0	0	0	0	0	-3.06351	-0.169206	-0.601679	0.00689596	0.259928	0.0816446	0	0	0	0	0	-0.0587033	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.651522	0	0	0	0	0	0	0	0	0	0	0	0	-3.06432	-0.169206	-0.598714	-0.0775052	0.254968	0.378921	0	0	0	0	0	-0.0587033	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.688531	0	0	0	0	0	0	0	0	0	0	0	0	-3.07004	-0.159796	-0.556028	-0.227186	0.245447	0.537112	0	0	0	0	0	-0.0621161	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.71842	0	0	0	0	0	0	0	0	0	0	0	0	-3.08565	-0.168338	-0.536153	-0.146836	-1.56009	1.36025	0	0	0	0	0	-0.0611429	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.756646	0	0	0	0	0	0	0	0	0	0	0	0	-3.08565	-0.122063	-0.536153	-0.480894	3.19192	0.537112	0	0	0	0	0	-0.0745283	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.783037	0	0	0	0	0	0	0	0	0	0	0	0	-3.08737	-0.168338	-0.495496	-0.146836	-1.56009	1.36025	0	0	0	0	0	-0.0611429	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.822582	0	0	0	0	0	0	0	0	0	0	0	0	-3.08737	-0.230066	0.0969204	-0.0355919	-0.120631	-0.0589974	0	0	0	0	0	-0.0429972	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.849661	0	0	0	0	0	0	0	0	0	0	0	0	-3.08898	-0.230066	0.0969204	-0.0355919	-0.120631	-0.0589974	0	0	0	0	0	-0.0429972	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.886875	0	0	0	0	0	0	0	0	0	0	0	0	-3.08898	-0.234342	0.0969204	-0.00663397	-0.11937	-0.0589974	0	0	0	0	0	-0.0416887	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.914719	0	0	0	0	0	0	0	0	0	0	0	0	-3.0888	-0.227682	0.102325	0.00264375	0.239479	0.0736323	0	0	0	0	0	-0.0439219	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.955787	0	0	0	0	0	0	0	0	0	0	0	0	-3.08847	-0.233771	0.104375	0.019399	-0.147577	0.3398	0	0	0	0	0	-0.0421974	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
0.980969	0	0	0	0	0	0	0	0	0	0	0	0	-3.08715	-0.227823	0.104375	0.0420837	0.238271	0.0736323	0	0	0	0	0	-0.0436488	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
1.01436	0	0	0	0	0	0	0	0	0	0	0	0	-3.08773	-0.227823	0.115855	-0.0205305	0.0667737	0.365766	0	0	0	0	0	-0.0436488	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
1.05529	0	0	0	0	0	0	0	0	0	0	0	0	-3.08715	-0.225565	0.103642	0.0493955	0.0698618	-0.536251	0	0	0	0	0	-0.0442953	-760	760	-550	-5	5	-10	0	0	0	1	0.2	170	-38	-38	2555	
