time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.757017	0	0	0	0	0	0	0	0	0	0	0	0	-2.37977	-0.155137	-0.437799	-2.49768	-0.177667	-0.426119	0.230956	-0.69986	-0.154884	-0.511925	-0.257115	-0.815047	0	0	0	0	0	0.128177	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.789066	0	0	0	0	0	0	0	0	0	0	0	0	-2.37977	-0.155137	-0.437799	-2.47048	-0.184253	-0.450431	0.230956	-0.69986	-0.154884	-0.246583	-0.281088	-0.799127	0	0	0	0	0	0.128177	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.822961	0	0	0	0	0	0	0	0	0	0	0	0	-2.4051	-0.0729086	0.0218854	-2.45738	-0.173947	-0.395026	-0.22522	0.0887767	-0.550938	-0.154836	-0.235633	-0.567864	0	0	0	0	0	0.079025	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.851812	0	0	0	0	0	0	0	0	0	0	0	0	-2.41295	-0.0729086	0.0329619	-2.44877	-0.163613	-0.338371	-0.22522	0.0887767	0.383829	-0.0957441	-0.186254	-0.353801	0	0	0	0	0	0.079025	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.892044	0	0	0	0	0	0	0	0	0	0	0	0	-2.41295	-0.0795671	0.0329619	-2.44008	-0.15463	-0.285919	-0.0118912	0.0720073	0.073198	-0.0259492	-0.147388	-0.179072	0	0	0	0	0	0.0859805	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.916947	0	0	0	0	0	0	0	0	0	0	0	0	-2.41238	-0.0831781	0.0329619	-2.43221	-0.147412	-0.237421	0.00396695	-0.267204	0.073198	0.0217137	-0.120125	-0.032293	0	0	0	0	0	0.0865076	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.951463	0	0	0	0	0	0	0	0	0	0	0	0	-2.41091	-0.0861897	0.0186327	-2.42536	-0.14094	-0.195423	0.00608399	-0.226435	0.073198	0.0508072	-0.0956892	0.0822335	0	0	0	0	0	0.0927895	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.985806	0	0	0	0	0	0	0	0	0	0	0	0	-2.41091	-0.0864086	0.0186327	-2.42042	-0.134854	-0.157301	-0.056166	-0.220643	0.0871872	0.057812	-0.0728134	0.175289	0	0	0	0	0	0.0927895	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.023	0	0	0	0	0	0	0	0	0	0	0	0	-2.41091	-0.0939476	0.0287102	-2.41678	-0.13041	-0.120897	-0.0565097	-0.220555	0.29337	0.0587614	-0.0563019	0.256583	0	0	0	0	0	0.0943479	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.04904	0	0	0	0	0	0	0	0	0	0	0	0	-2.41068	-0.0899677	0.0432023	-2.41419	-0.124462	-0.0859545	-0.0227092	0.222685	0.29337	0.0549671	-0.0320568	0.325515	0	0	0	0	0	0.0963001	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.0849	0	0	0	0	0	0	0	0	0	0	0	0	-2.40503	-0.0899677	0.045871	-2.40924	-0.119126	-0.0541706	0.188961	0.104745	0.45933	0.0872378	-0.0174237	0.380764	0	0	0	0	0	0.0976379	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.11965	0	0	0	0	0	0	0	0	0	0	0	0	-2.41068	-0.0862884	0.0432023	-2.40951	-0.113586	-0.0278672	-0.185765	0.141449	-0.102529	0.0394403	0.00403148	0.410161	0	0	0	0	0	0.0976379	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.15426	0	0	0	0	0	0	0	0	0	0	0	0	-2.41121	-0.0855698	0.0363001	-2.4099	-0.108401	-0.00600081	-0.0803197	0.131121	0.0317786	0.0261446	0.019463	0.427503	0	0	0	0	0	0.0976379	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.18295	0	0	0	0	0	0	0	0	0	0	0	0	-2.41314	-0.0847501	0.0363001	-2.41102	-0.103935	0.0126309	-0.0942942	-0.0115167	0.00992065	0.00983597	0.0302451	0.434074	0	0	0	0	0	0.0977954	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.21562	0	0	0	0	0	0	0	0	0	0	0	0	-2.41314	-0.0816958	0.0365848	-2.41133	-0.0991578	0.02842	0.0291285	0.091122	0.0317786	0.0132477	0.0406268	0.432683	0	0	0	0	0	0.0971283	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.25004	0	0	0	0	0	0	0	0	0	0	0	0	-2.41248	-0.0847501	0.0408729	-2.41118	-0.0959894	0.0422796	0.0313683	-0.13602	0.0476806	0.0163754	0.0428127	0.426425	0	0	0	0	0	0.0979879	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.28911	0	0	0	0	0	0	0	0	0	0	0	0	-2.40941	-0.0891722	0.0425149	-2.41032	-0.0936555	0.0539194	0.0206924	0.00425515	0.0476806	0.0190082	0.0445227	0.414801	0	0	0	0	0	0.10153	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.31044	0	0	0	0	0	0	0	0	0	0	0	0	-2.40941	-0.0894195	0.0425149	-2.40997	-0.0923012	0.0631941	-0.0452395	-0.220828	0.00460625	0.0138402	0.0414195	0.397587	0	0	0	0	0	0.101973	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
