time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
thr_vel0,12196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,149604;0;0;0;0;0;0;0;0;0;0;0;0;-3,84505;0;0,15433;-0,0799978;-0,000587501;0;-0,08;0;0;-0,0835525;0;0;-nan;0;0;0;0;0;0;0;-0,00734383;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,186836;0;0;0;0;0;0;0;0;0;0;0;0;-3,84505;0,121395;0,206704;-0,0909118;0,0715267;0,08;-0,0835525;0,08;0,08;-0,0835525;1,30529;1,40664;-15,3802;0;0;0;0;0;0;0;-0,097059;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,21286;0;0;0;0;0;0;0;0;0;0;0;0;-3,84377;0,121395;0,206704;-0,0190408;0,158903;0,16;-0,00355248;0,16;0,16;0,0963866;1,30529;0,965194;-11,7798;0;0;0;0;0;0;0;-0,097059;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,251618;0;0;0;0;0;0;0;0;0;0;0;0;-3,79302;-0,437198;0,206704;0,0802296;0,0762066;0,24;0,0764475;0,08;0,24;0,0963866;-1,36452;0,965194;-15,163;0;0;0;0;0;0;0;0,0484143;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,280474;0;0;0;0;0;0;0;0;0;0;0;0;-3,79302;-0,437198;0,231819;-0,00354831;0,000171923;0,32;-0,00355248;0;0,32;-0,190304;-1,36452;0,965194;0,780845;0;0;0;0;0;0;0;0,0484143;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,318305;0;0;0;0;0;0;0;0;0;0;0;0;-3,79989;-0,225685;0,0484072;-0,0840622;0,0794643;0,24;-0,0835525;0,08;0,24;-0,190304;9,15221;-4,9305;0,746131;0;0;0;0;0;0;0;-0,00639254;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,345442;0;0;0;0;0;0;0;0;0;0;0;0;-3,79989;0,15789;0,164881;-0,120265;0,147786;0,32;-0,103463;0,16;0,32;-0,103463;9,15221;4,29237;0,378304;0;0;0;0;0;0;0;-0,109075;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,37959;0;0;0;0;0;0;0;0;0;0;0;0;-3,77228;0,15789;0,164881;-0,0494495;0,23602;0,4;-0,0234629;0,24;0,4;1,16188;1,75777;3,56671;0,168893;0;0;0;0;0;0;0;-0,109075;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,417562;0;0;0;0;0;0;0;0;0;0;0;0;-3,75257;0,111377;0,286695;0,0258693;0,323925;0,48;0,0565371;0,32;0,48;1,16188;1,75777;3,56671;0,674762;0;0;0;0;0;0;0;-0,095181;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,443211;0;0;0;0;0;0;0;0;0;0;0;0;-3,73896;0,111377;0,289469;0,0979042;0,411166;0,56;0,136537;0,4;0,56;0,530725;0,494323;1,33956;1,09638;0;0;0;0;0;0;0;-0,095181;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,484123;0;0;0;0;0;0;0;0;0;0;0;0;-3,73896;0,124053;0,289469;0,168238;0,498983;0,48;0,216537;0,48;0,48;0,530725;5,60984;0,0730776;1,07667;0;0;0;0;0;0;0;-0,0985918;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,510651;0;0;0;0;0;0;0;0;0;0;0;0;-3,73386;0,124053;-0,312626;0,24644;0,521111;0,56;0,296537;0,494323;0,56;0,530725;0,494323;1,33956;0,634501;0;0;0;0;0;0;0;-0,0985918;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,546369;0;0;0;0;0;0;0;0;0;0;0;0;-3,73386;0,214011;-0,312626;0,1541;0,594128;0,64;0,216537;0,574323;0,64;-0,256373;5,60984;2,23902;0,326607;0;0;0;0;0;0;0;-0,10677;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,581034;0;0;0;0;0;0;0;0;0;0;0;0;-3,73386;-0,0252926;-0,232684;0,117842;0,49911;0,72;0,136537;0,494323;0,72;-0,256373;-6,90035;4,43186;0,121079;0;0;0;0;0;0;0;-0,0376321;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,611317;0;0;0;0;0;0;0;0;0;0;0;0;-3,74301;-0,0252926;-0,223533;0,0409089;0,416157;0,8;0,0565371;0,414323;0,8;-0,256373;-0,788684;2,23902;-0,0684362;0;0;0;0;0;0;0;-0,0376321;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,648194;0;0;0;0;0;0;0;0;0;0;0;0;-3,7206;-0,0252926;0,262023;0,123862;0,339223;0,88;0,136537;0,334323;0,88;0,64622;-0,788684;13,1533;0,195261;0;0;0;0;0;0;0;-0,0376321;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,678867;0;0;0;0;0;0;0;0;0;0;0;0;-3,74277;0,0701864;-0,223533;0,0445873;0,256688;0,8;0,0565371;0,254323;0,8;-0,789984;-0,788684;-18,3547;-0,0744404;0;0;0;0;0;0;0;-0,0467608;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
