time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
thr_vel0,125135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,158711;0;0;0;0;0;0;0;0;0;0;0;0;-2,27473;-0,0277705;0,266198;-0,00112884;-0,0423819;0,08;0;-0,0423969;0,08;0;-0,0423969;0,129795;-nan;0;0;0;0;0;0;0;0,0266286;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,190489;0;0;0;0;0;0;0;0;0;0;0;0;-2,27561;-0,0277705;0,266198;-0,029441;-0,0416278;0,129795;-0,0283222;-0,0423969;0,129795;-0,0283222;-0,0423969;0,129795;inf;0;0;0;0;0;0;0;0,0266286;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,222134;0;0;0;0;0;0;0;0;0;0;0;0;-2,27473;-0,0262129;0,269856;0,0251402;-0,0430615;0,129795;0,0262454;-0,0423969;0,129795;0,0262454;-0,0423969;0,129795;inf;0;0;0;0;0;0;0;0,0258643;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,255023;0;0;0;0;0;0;0;0;0;0;0;0;-2,27419;-0,0262129;0,269856;0,0445083;-0,0418648;0,141144;0,0455761;-0,0406998;0,141144;0,0455761;-0,0406998;0,141144;inf;0;0;0;0;0;0;0;0,0258643;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,292768;0;0;0;0;0;0;0;0;0;0;0;0;-2,27419;-0,0275515;0,269856;0,044493;-0,0418811;0,141144;0,0455761;-0,0406998;0,141144;0,0455761;-0,0406998;0,141144;-inf;0;0;0;0;0;0;0;0,0262301;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,315962;0;0;0;0;0;0;0;0;0;0;0;0;-2,27227;-0,0275515;0,274498;0,057862;-0,0221043;0,141144;0,0584219;-0,0205792;0,141144;0,0584219;-0,0205792;0,141144;-inf;0;0;0;0;0;0;0;0,0262301;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,353792;0;0;0;0;0;0;0;0;0;0;0;0;-2,27631;-0,0197122;0,263858;-0,02205;-0,0200728;0,0611442;-0,0215781;-0,0205792;0,0611442;-0,107113;-0,0205792;-0,281917;inf;0;0;0;0;0;0;0;0,0232139;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,387;0;0;0;0;0;0;0;0;0;0;0;0;-2,27416;-0,0197122;0,26784;0,0560715;-0,101908;0,141144;0,0584219;-0,100579;0,141144;0,0911165;-0,127929;0,302451;-inf;0;0;0;0;0;0;0;0,0232139;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,423109;0;0;0;0;0;0;0;0;0;0;0;0;-2,27433;-0,0278527;0,26784;-0,00820686;-0,127756;0,0611442;-0,00482076;-0,127929;0,0611442;-0,00482076;-0,127929;0,0291742;inf;0;0;0;0;0;0;0;0,0264849;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,452006;0;0;0;0;0;0;0;0;0;0;0;0;-2,27433;-0,0287824;0,26784;-0,0103984;-0,207725;0,0291742;-0,00482076;-0,207929;0,0291742;-0,00482076;-0,245048;0,0291742;inf;0;0;0;0;0;0;0;0,0268364;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,485054;0;0;0;0;0;0;0;0;0;0;0;0;-2,27527;-0,0323547;0,264371;-0,0360447;-0,12695;-0,0508258;-0,0324002;-0,127929;-0,0508258;-0,0324002;-0,0257479;-0,109189;-inf;0;0;0;0;0;0;0;0,0285956;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,520449;0;0;0;0;0;0;0;0;0;0;0;0;-2,27527;-0,0323547;0,264371;-0,0337574;-0,046983;-0,109189;-0,0324002;-0,047929;-0,109189;-0,0324002;0,477567;-0,109189;inf;0;0;0;0;0;0;0;0,0285956;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,550105;0;0;0;0;0;0;0;0;0;0;0;0;-2,27649;-0,0323547;0,260764;-0,0358362;0,0331092;-0,109189;-0,0367682;0,032071;-0,109189;-0,0367682;0,477567;-0,109189;inf;0;0;0;0;0;0;0;0,0285956;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,586255;0;0;0;0;0;0;0;0;0;0;0;0;-2,27396;-0,0199559;0,269153;0,0458046;0,111044;-0,0291892;0,0432318;0,112071;-0,0291892;0,0836378;0,425044;0,299449;-inf;0;0;0;0;0;0;0;0,0230613;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,619903;0;0;0;0;0;0;0;0;0;0;0;0;-2,27738;-0,0353268;0,258324;-0,0357903;0,0331588;-0,109189;-0,0367682;0,032071;-0,109189;-0,111584;-0,557583;-0,36002;inf;0;0;0;0;0;0;0;0,0299802;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,648267;0;0;0;0;0;0;0;0;0;0;0;0;-2,27396;-0,038722;0,269153;0,0417013;-0,0492663;-0,0291892;0,0432318;-0,047929;-0,0291892;0,0944357;-0,53353;0,299449;-inf;0;0;0;0;0;0;0;0,0314896;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,681388;0;0;0;0;0;0;0;0;0;0;0;0;-2,276;-0,038722;0,267157;-0,0407778;-0,126708;-0,109189;-0,0367682;-0,127929;-0,109189;-0,0968773;-0,53353;-0,207035;-inf;0;0;0;0;0;0;0;0,0314896;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,71945;0;0;0;0;0;0;0;0;0;0;0;0;-2,276;-0,032588;0,267157;-0,0362196;-0,0469099;-0,189189;-0,0348599;-0,047929;-0,189189;-0,0348599;0,26241;-0,207035;inf;0;0;0;0;0;0;0;0,0286716;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,74643;0;0;0;0;0;0;0;0;0;0;0;0;-2,276;-0,0299965;0,267157;-0,0339714;0,0330108;-0,207035;-0,0348599;0,032071;-0,207035;-0,0348599;0,26241;-0,207035;-inf;0;0;0;0;0;0;0;0,0273035;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,784609;0;0;0;0;0;0;0;0;0;0;0;0;-2,27335;-0,0225986;0,2735;0,0478669;0,110934;-0,127035;0,0451401;0,112071;-0,127035;0,147546;0,26241;0,65289;-inf;0;0;0;0;0;0;0;0,0244545;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,816057;0;0;0;0;0;0;0;0;0;0;0;0;-2,2505;-0,00879316;0,905726;0,125703;0,0335184;-0,0470353;0,12514;0,035564;-0,0470353;0,147546;0,035564;0,65289;-inf;0;0;0;0;0;0;0;0,0163093;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,847306;0;0;0;0;0;0;0;0;0;0;0;0;-2,2505;-0,00767488;0,905726;0,0457023;0,0352409;-0,013247;0,0451401;0,0359583;-0,013247;-0,00120512;0,0359583;-0,013247;-inf;0;0;0;0;0;0;0;0,0157937;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,88733;0;0;0;0;0;0;0;0;0;0;0;0;-2,25052;-0,00709178;0,905726;-0,000651976;0,0355784;-0,013247;-0,00120512;0,035564;-0,013247;-0,00120512;0,035564;-0,013247;-inf;0;0;0;0;0;0;0;0,01555;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,911335;0;0;0;0;0;0;0;0;0;0;0;0;-2,25068;-0,00709178;0,906455;-0,00708331;-0,0133998;0,0287364;-0,00687409;-0,0135083;0,0287364;-0,00687409;-0,0135083;0,0287364;-inf;0;0;0;0;0;0;0;0,01555;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,945338;0;0;0;0;0;0;0;0;0;0;0;0;-2,25052;-0,00761138;0,906455;0,00538182;-0,0135949;0,0287364;0,00559566;-0,0135083;0,0287364;0,00559566;-0,0135083;0,0287364;inf;0;0;0;0;0;0;0;0,0157789;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,986419;0;0;0;0;0;0;0;0;0;0;0;0;-2,25058;-0,00761138;0,905182;-0,00242681;-0,0132234;-0,00462825;-0,00221786;-0,01326;-0,00462825;-0,00221786;-0,01326;-0,00462825;inf;0;0;0;0;0;0;0;0,0157789;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,00813;0;0;0;0;0;0;0;0;0;0;0;0;-2,25049;-0,00749364;0,905182;0,00541068;-0,0118044;-0,00462825;0,00559566;-0,0117178;-0,00462825;0,00559566;-0,0117178;-0,00462825;-inf;0;0;0;0;0;0;0;0,0157272;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,04889;0;0;0;0;0;0;0;0;0;0;0;0;-2,25035;-0,00747899;0,905668;-0,00221194;0,000394328;-0,00147544;-0,00221786;0,000359493;-0,00147544;-0,00221786;0,000359493;-0,00147544;-inf;0;0;0;0;0;0;0;0,0157272;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,08161;0;0;0;0;0;0;0;0;0;0;0;0;-2,25035;-0,00749364;0,905728;-0,00213697;-0,00410054;0,01124;-0,00207217;-0,00413366;0,01124;-0,00207217;-0,00413366;0,01124;-inf;0;0;0;0;0;0;0;0,0157385;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,11015;0;0;0;0;0;0;0;0;0;0;0;0;-2,25035;-0,00761422;0,905987;-0,00213716;-0,00410044;-0,00147544;-0,00207217;-0,00413366;-0,00147544;-0,00207217;-0,00413366;-0,00147544;-inf;0;0;0;0;0;0;0;0,015784;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,14582;0;0;0;0;0;0;0;0;0;0;0;0;-2,25042;-0,00761422;0,905987;-0,00213716;-0,00410044;-0,00169546;-0,00207217;-0,00413366;-0,00169546;-0,00207217;-0,00413366;-0,00169546;-inf;0;0;0;0;0;0;0;0,015784;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,18156;0;0;0;0;0;0;0;0;0;0;0;0;-2,25044;-0,00725516;0,905987;0,00321944;0,0177578;-0,00169546;0,00294161;0,017806;-0,00169546;0,00294161;0,017806;-0,00169546;inf;0;0;0;0;0;0;0;0,015624;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,21207;0;0;0;0;0;0;0;0;0;0;0;0;-2,25044;-0,00725516;0,90608;0,00321944;0,0177578;-0,0138832;0,00294161;0,017806;-0,0138832;0,00294161;0,017806;-0,0138832;inf;0;0;0;0;0;0;0;0,015624;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,24208;0;0;0;0;0;0;0;0;0;0;0;0;-2,24999;-0,00758679;0,90608;0,00266788;-0,0173754;-0,00628276;0,00294161;-0,0173312;-0,00628276;0,00294161;-0,0173312;-0,00628276;-inf;0;0;0;0;0;0;0;0,0157732;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,27696;0;0;0;0;0;0;0;0;0;0;0;0;-2,24999;-0,00758679;0,905892;0,00175872;-0,0173611;-0,0138832;0,00203233;-0,0173312;-0,0138832;0,00203233;-0,0173312;-0,0138832;-inf;0;0;0;0;0;0;0;0,0157732;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,3129;0;0;0;0;0;0;0;0;0;0;0;0;-2,25034;-0,00792373;0,905588;-0,00277755;-0,0140922;-0,00628276;-0,00255261;-0,0141347;-0,00628276;-0,00255261;-0,0141347;-0,00628276;-inf;0;0;0;0;0;0;0;0,0159381;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,34446;0;0;0;0;0;0;0;0;0;0;0;0;-2,25037;-0,00741575;0,905213;-0,00224181;0,0198281;-0,0161104;-0,00255261;0,0197905;-0,0161104;-0,00255261;0,0197905;-0,0161104;-inf;0;0;0;0;0;0;0;0,0156893;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,37623;0;0;0;0;0;0;0;0;0;0;0;0;-2,2504;-0,00713827;0,905344;-0,000915474;-0,00976096;0,00831161;-0,000763167;-0,00977405;0,00831161;-0,000763167;-0,00977405;0,00831161;inf;0;0;0;0;0;0;0;0,0155929;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,41677;0;0;0;0;0;0;0;0;0;0;0;0;-2,2504;-0,00682773;0,905344;-0,000558311;0,0132717;0,00518528;-0,000763167;0,0132615;0,00518528;-0,000763167;0,0132615;0,00518528;inf;0;0;0;0;0;0;0;0,0154412;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,43777;0;0;0;0;0;0;0;0;0;0;0;0;-2,25053;-0,00701452;0,905554;-0,00317971;-0,00972589;0,00712285;-0,00302844;-0,00977405;0,00712285;-0,00302844;-0,00977405;0,00712285;inf;0;0;0;0;0;0;0;0,0155145;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,47938;0;0;0;0;0;0;0;0;0;0;0;0;-2,25059;-0,00662481;0,905554;-0,0028843;0,00940883;0,00518528;-0,00302844;0,00936343;0,00518528;-0,00302844;0,00936343;0,00518528;inf;0;0;0;0;0;0;0;0,0153561;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,5071;0;0;0;0;0;0;0;0;0;0;0;0;-2,25059;-0,00662481;0,905703;-0,00241598;0,00940164;0,00712285;-0,00256006;0,00936343;0,00712285;-0,00256006;0,00936343;0,00712285;inf;0;0;0;0;0;0;0;0,0153561;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,54133;0;0;0;0;0;0;0;0;0;0;0;0;-2,2504;-0,00662481;0,905887;0,00651359;0,0092645;-0,0216064;0,00637056;0,00936343;-0,0216064;0,00637056;0,00936343;-0,0216064;-inf;0;0;0;0;0;0;0;0,0153561;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,57762;0;0;0;0;0;0;0;0;0;0;0;0;-2,2504;-0,00631908;0,905887;0,0066609;0,019065;-0,0065977;0,00637056;0,019164;-0,0065977;0,00637056;0,019164;-0,0065977;-inf;0;0;0;0;0;0;0;0,0151896;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,60717;0;0;0;0;0;0;0;0;0;0;0;0;-2,25043;-0,00666701;0,905887;0,00618908;-0,0118732;-0,0065977;0,00637056;-0,0117768;-0,0065977;0,00637056;-0,0117768;-0,0065977;-inf;0;0;0;0;0;0;0;0,0153463;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,62869;0;0;0;0;0;0;0;0;0;0;0;0;-2,25043;-0,00666701;0,905887;0,00618908;-0,0118732;-0,0065977;0,00637056;-0,0117768;-0,0065977;0,00637056;-0,0117768;-0,0065977;-inf;0;0;0;0;0;0;0;0,0153463;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
