time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
thr_vel0,124949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-nan;0;0;0;0;0;0;0;0;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,149571;0;0;0;0;0;0;0;0;0;0;0;0;-4,39829;0,624625;0,09569;-0,0760034;-0,0249698;0;-0,08;0;0;-0,883788;0;0;-nan;0;0;0;0;0;0;0;-0,317426;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,185027;0;0;0;0;0;0;0;0;0;0;0;0;-4,42004;0,624625;0,09569;-0,127037;-0,125943;-0,08;-0,16;-0,08;-0,08;-0,883788;-4,13081;-3,08018;inf;0;0;0;0;0;0;0;-0,317426;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,219205;0;0;0;0;0;0;0;0;0;0;0;0;-4,42004;0,536357;0,09569;-0,0907187;-0,19776;-0,16;-0,147442;-0,16;-0,16;-0,147442;-4,13081;-3,08018;inf;0;0;0;0;0;0;0;-0,314482;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,251379;0;0;0;0;0;0;0;0;0;0;0;0;-4,36388;0,536357;0,0221452;-0,0393881;-0,0969379;-0,24;-0,0674416;-0,08;-0,24;0,868616;1,70485;-3,08018;inf;0;0;0;0;0;0;0;-0,314482;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,281709;0;0;0;0;0;0;0;0;0;0;0;0;-4,33592;0,536357;0,0857778;0,0119425;0,00388461;-0,16;0,0125584;0;-0,16;0,911413;1,70485;2,09856;-inf;0;0;0;0;0;0;0;-0,314482;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,322363;0;0;0;0;0;0;0;0;0;0;0;0;-4,33592;0,474202;0,0221452;0,0645594;0,103919;-0,24;0,0925584;0,08;-0,24;0,868616;3,55466;-4,36661;-inf;0;0;0;0;0;0;0;-0,302151;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,346765;0;0;0;0;0;0;0;0;0;0;0;0;-4,30829;0,474202;-0,0669024;0,117129;0,204101;-0,16;0,172558;0,16;-0,16;0,911413;1,78503;2,09856;-inf;0;0;0;0;0;0;0;-0,302151;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,386969;0;0;0;0;0;0;0;0;0;0;0;0;-4,28591;0,482696;-0,0713573;0,137243;0,296092;-0,110797;0,221148;0,24;-0,110797;0,221148;1,78503;-0,110797;-inf;0;0;0;0;0;0;0;-0,310504;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,412682;0;0;0;0;0;0;0;0;0;0;0;0;-4,28591;0,482696;-0,0669024;0,161687;0,219918;-0,0307974;0,221148;0,16;-0,0307974;0,221148;-0,871861;2,57494;-inf;0;0;0;0;0;0;0;-0,310504;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,456265;0;0;0;0;0;0;0;0;0;0;0;0;-4,27701;0,420772;-0,0713573;0,189306;0,139534;-0,110797;0,221148;0,08;-0,110797;0,221148;-0,871861;-0,110797;-inf;0;0;0;0;0;0;0;-0,288077;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,479488;0;0;0;0;0;0;0;0;0;0;0;0;-4,25515;0,420772;0,0787884;0,243281;0,238966;-0,0307974;0,301148;0,16;-0,0307974;0,844854;1,89186;5,83997;-inf;0;0;0;0;0;0;0;-0,288077;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,518246;0;0;0;0;0;0;0;0;0;0;0;0;-4,20347;0,420772;-0,12086;0,297256;0,338398;-0,110797;0,381148;0,24;-0,110797;0,844854;1,89186;-4,83725;-inf;0;0;0;0;0;0;0;-0,288077;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
