time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.922616	0	0	0	0	0	0	0	0	0	0	0	0	-3.1993	-0.144629	0.210816	-0.0154215	0.185645	0.578399	0	0	0	0	0	-0.0655364	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.947935	0	0	0	0	0	0	0	0	0	0	0	0	-3.1993	-0.143412	0.217378	-0.00190502	-0.0202382	0.578399	0	0	0	0	0	-0.065749	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
0.98285	0	0	0	0	0	0	0	0	0	0	0	0	-3.19871	-0.143412	0.217378	0.0235077	-0.229155	-0.131291	0	0	0	0	0	-0.065749	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.01753	0	0	0	0	0	0	0	0	0	0	0	0	-3.19871	-0.144859	0.217378	0.0233226	-0.229174	-0.131291	0	0	0	0	0	-0.0649411	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.04878	0	0	0	0	0	0	0	0	0	0	0	0	-3.201	-0.144859	0.232059	0.00649481	0.0295851	0.00984603	0	0	0	0	0	-0.0649411	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.08589	0	0	0	0	0	0	0	0	0	0	0	0	-3.20508	-0.143949	0.232366	-0.124289	0.104335	0.330299	0	0	0	0	0	-0.0651519	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.11417	0	0	0	0	0	0	0	0	0	0	0	0	-3.201	-0.143949	0.233631	0.128482	0.0375458	0.00984603	0	0	0	0	0	-0.0651519	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.15282	0	0	0	0	0	0	0	0	0	0	0	0	-3.20338	-0.151277	0.233631	-0.0906786	0.106764	-0.38806	0	0	0	0	0	-0.0623338	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.17737	0	0	0	0	0	0	0	0	0	0	0	0	-3.20203	-0.155244	0.214534	0.0649058	-0.157942	-0.38806	0	0	0	0	0	-0.0607713	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.21798	0	0	0	0	0	0	0	0	0	0	0	0	-3.20338	-0.151277	0.214534	-0.0792373	0.121413	0.0491505	0	0	0	0	0	-0.0623338	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.24279	0	0	0	0	0	0	0	0	0	0	0	0	-3.20493	-0.15116	0.227429	-0.0565747	-0.0453801	0.200107	0	0	0	0	0	-0.0619763	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.27955	0	0	0	0	0	0	0	0	0	0	0	0	-3.20493	-0.15116	0.227429	-0.0565747	-0.0453801	0.200107	0	0	0	0	0	-0.0619763	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.31511	0	0	0	0	0	0	0	0	0	0	0	0	-3.19835	-0.153658	0.206773	-0.0566142	-0.0453308	0.200107	0	0	0	0	0	-0.0611048	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.34506	0	0	0	0	0	0	0	0	0	0	0	0	-3.19835	-0.154535	0.206773	-0.0547233	-0.0953051	0.427074	0	0	0	0	0	-0.0607239	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.3808	0	0	0	0	0	0	0	0	0	0	0	0	-3.19835	-0.16777	0.224297	-0.0578344	-0.0475421	0.427074	0	0	0	0	0	-0.0560333	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.41163	0	0	0	0	0	0	0	0	0	0	0	0	-3.20016	-0.169351	0.224297	-0.0343787	-0.473861	-0.0848999	0	0	0	0	0	-0.0550643	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.44752	0	0	0	0	0	0	0	0	0	0	0	0	-3.20024	-0.194128	0.224297	-0.0146825	-0.339516	-0.0848999	0	0	0	0	0	-0.046913	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.4784	0	0	0	0	0	0	0	0	0	0	0	0	-3.20024	-0.206281	0.228686	-0.0158319	-0.339464	0.195068	0	0	0	0	0	-0.0435274	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.51356	0	0	0	0	0	0	0	0	0	0	0	0	-3.19231	-0.206281	0.255435	0.0256641	-0.0880193	0.404842	0	0	0	0	0	-0.0435274	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.5427	0	0	0	0	0	0	0	0	0	0	0	0	-3.19231	-0.19895	0.269672	0.0089279	0.287345	0.404842	0	0	0	0	0	-0.044877	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.5808	0	0	0	0	0	0	0	0	0	0	0	0	-3.19653	-0.179297	0.270384	0.00433101	0.287241	0.112406	0	0	0	0	0	-0.0505719	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.60894	0	0	0	0	0	0	0	0	0	0	0	0	-3.19653	-0.172279	0.270384	0.00912204	0.184945	0.0244356	0	0	0	0	0	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.63356	0	0	0	0	0	0	0	0	0	0	0	0	-3.19653	-0.172279	0.270384	0.00912204	0.184945	0.0244356	0	0	0	0	0	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.64335	0	0	0	0	0	0	0	0	0	0	0	0	-3.19653	-0.172279	0.270384	0.00912204	0.184945	0.0244356	0	0	0	0	0	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.64486	0	0	0	0	0	0	0	0	0	0	0	0	-3.19537	-0.172279	0.274667	0.014852	0.0762521	0.112406	0	0	0	0	0	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.65342	0	0	0	0	0	0	0	0	0	0	0	0	-3.19537	-0.172279	0.274667	0.014852	0.0762521	0.112406	0	0	0	-0.113621	0.0144862	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.66338	0	0	0	0	0	0	0	0	0	0	0	0	-3.19537	-0.172279	0.274667	0.014852	0.0762521	0.112406	0	0	0	-0.113621	0.0146608	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
