time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxd	dyd	dzd	dxk	dyk	dzk	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.719238	0	0	0	0	0	0	0	0	0	0	0	0	-4.24913	0.192753	-0.713459	-4.50357	0.00350675	-0.756863	-0.0462221	0.297564	-0.0227218	-1.6045	-0.0167048	-1.47084	0	0	0	0	0	-0.0223134	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.754263	0	0	0	0	0	0	0	0	0	0	0	0	-4.25254	0.192753	-0.712702	-4.46424	0.035379	-0.786206	-0.447458	0.288609	1.50744	-1.07828	0.0855717	-1.38674	0	0	0	0	0	-0.0223134	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.784167	0	0	0	0	0	0	0	0	0	0	0	0	-4.25601	0.0725979	-0.660672	-4.42354	0.0348974	-0.79981	0.0854141	-3.61304	1.50744	-0.597767	0.0622557	-1.27183	0	0	0	0	0	0.00465905	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.820311	0	0	0	0	0	0	0	0	0	0	0	0	-4.26069	-0.035437	0.218114	-4.38887	0.0155841	-0.662359	-0.221236	-3.60815	1.50744	-0.30515	-0.0208484	-0.752167	0	0	0	0	0	0.0254097	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.850649	0	0	0	0	0	0	0	0	0	0	0	0	-4.26069	-0.035437	0.228584	-4.35792	0.00629774	-0.533747	-0.0212798	-0.0764188	0.409889	-0.0819588	-0.0405027	-0.331493	0	0	0	0	0	0.0254097	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.884797	0	0	0	0	0	0	0	0	0	0	0	0	-4.26069	-0.0356395	0.228584	-4.33176	-0.00190247	-0.416027	-0.0204754	-0.0456735	-0.143123	0.0615362	-0.0610713	0.0125235	0	0	0	0	0	0.0249119	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.919345	0	0	0	0	0	0	0	0	0	0	0	0	-4.26127	-0.0340629	0.217484	-4.31063	-0.00847976	-0.310346	-0.0159729	0.137325	-0.143123	0.146231	-0.0728844	0.290057	0	0	0	0	0	0.024494	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.947367	0	0	0	0	0	0	0	0	0	0	0	0	-4.26229	-0.0257934	0.217484	-4.29461	-0.0133259	-0.214077	-0.0657559	-0.0447156	0.170199	0.181544	-0.0798691	0.517422	0	0	0	0	0	0.0222788	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
0.986891	0	0	0	0	0	0	0	0	0	0	0	0	-4.26355	-0.0257934	0.217484	-4.28286	-0.0174746	-0.127731	-0.065217	-0.0205304	0.170199	0.189247	-0.0835005	0.69496	0	0	0	0	0	0.0222788	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.01363	0	0	0	0	0	0	0	0	0	0	0	0	-4.26355	-0.026662	0.216472	-4.27377	-0.0219122	-0.0508551	0.00700587	-0.312529	0.311603	0.190727	-0.0906373	0.831131	0	0	0	0	0	0.0225162	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.05199	0	0	0	0	0	0	0	0	0	0	0	0	-4.26355	-0.0353475	0.216472	-4.26726	-0.026728	0.0168777	0.0113102	-0.113663	0.313977	0.176701	-0.0952083	0.929342	0	0	0	0	0	0.0240514	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.08005	0	0	0	0	0	0	0	0	0	0	0	0	-4.26285	-0.0396916	0.216472	-4.26237	-0.0315937	0.0759676	0.0517393	-0.114666	0.313977	0.162314	-0.0995849	0.994965	0	0	0	0	0	0.0246093	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.11652	0	0	0	0	0	0	0	0	0	0	0	0	-4.26285	-0.040696	0.212662	-4.25926	-0.0359411	0.125656	0.0364649	-0.114293	0.00133498	0.139849	-0.101834	1.02613	0	0	0	0	0	0.0246787	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
