time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
0,719768;0;0;0;0;0;0;0;0;0;0;0;0;-3,73301;0,164549;0,125509;0,472182;-0,291713;-0,08;0,489982;-0,260711;-0,08;0,881301;5,06446;1,28283;0;0;0;0;0;0;0;0;0,0644206;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,752775;0;0;0;0;0;0;0;0;0;0;0;0;-3,76772;0,23994;0,125509;0,401512;-0,19882;2,77556e-17;0,409982;-0,180711;2,77556e-17;-1,05174;5,06446;1,28283;0;0;0;0;0;0;0;0;0,0446246;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,783082;0;0;0;0;0;0;0;0;0;0;0;0;-3,76772;0,23994;0,0158424;0,318677;-0,274415;-0,08;0,329982;-0,260711;-0,08;-0,408017;-1,4515;-1,88793;0;0;0;0;0;0;0;0;0,0422459;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,817661;0;0;0;0;0;0;0;0;0;0;0;0;-3,77978;0,195963;-0,0312735;0,234534;-0,351523;-0,16;0,249982;-0,340711;-0,16;-0,408017;-1,4515;-1,88793;0;0;0;0;0;0;0;0;0,0446246;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,853423;0;0;0;0;0;0;0;0;0;0;0;0;-3,77978;0,187688;-0,0413581;0,153966;-0,356165;-0,24;0,169982;-0,348806;-0,24;0,00868669;-0,348806;-0,424724;0;0;0;0;0;0;0;0;0,0454302;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,878829;0;0;0;0;0;0;0;0;0;0;0;0;-3,7764;0,183898;-0,0401558;0,0738478;-0,352574;-0,16;0,0899821;-0,348806;-0,16;0,0708042;-0,348806;0,248183;0;0;0;0;0;0;0;0;0,0459991;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,915921;0;0;0;0;0;0;0;0;0;0;0;0;-3,7746;0,178197;-0,0401558;0,0551609;-0,315312;-0,08;0,0708042;-0,312172;-0,08;0,0708042;-0,312172;0,248183;0;0;0;0;0;0;0;0;0,0498501;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,947257;0;0;0;0;0;0;0;0;0;0;0;0;-3,7746;0,166619;-0,0243127;-0,00210377;-0,374022;2,77556e-17;0,0182378;-0,373583;2,77556e-17;0,0182378;-0,373583;0,248183;0;0;0;0;0;0;0;0;0,0544046;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
0,98126;0;0;0;0;0;0;0;0;0;0;0;0;-3,77602;0,157878;-0,0217427;0,00103136;-0,312703;0,08;0,0182378;-0,312172;0,08;0,0182378;-0,312172;0,387091;0;0;0;0;0;0;0;0;0,0550578;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,01562;0;0;0;0;0;0;0;0;0;0;0;0;-3,77602;0,153283;-0,0215619;-0,00622161;-0,380205;2,77556e-17;0,0150738;-0,379957;2,77556e-17;0,0150738;-0,379957;-0,0819941;0;0;0;0;0;0;0;0;0,0560138;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
