time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;gps_accuracy;height_accuracy;gps_sat_num;gps_status
9,88034;1,19919;-2,02797;50;-50;1450;0;0,0353165;-0,124574;-0,224689;0,000170967;-0,000603061;-0,00108772;-0,0254729;-0,00514456;0,0279725;-0,0390061;0,00113973;0,0673663;0;0;0;0;0;0;-0,022224;-0,00550139;-0;-0,03;0,02;0,069;0,205665;-0,0810057;2,82845;-0,0036896;-0,123434;-0,157323;-0,0889151;0,0179696;-0,0179575;-0,0889752;-0,153402;-0;0;-0;9,81;0,045204;-0,0286234;0;0,199281;0,197965;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,88553;1,19917;-2,02866;100;-100;1500;0;0,0340796;-0,124436;-0,224763;0,000347977;-0,00124938;-0,00225514;-0,0257725;-0,00494486;0,0286615;-0,0390061;0,00113973;0,0673663;0;0;0;0;0;0;-0,022224;-0,00550139;-0;-0,03;0,02;0,069;0,129036;-0,167558;2,70047;-0,00492648;-0,123296;-0,157397;-0,0890666;0,0171006;-0,0170889;-0,089128;-0,153424;-0;0,206929;-0,184733;3,35521;0,045204;-0,0286234;0;0,189562;0,188429;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,89557;1,19902;-2,02904;139;-129;1550;0;0,0345962;-0,119465;-0,229;0,000695011;-0,00244774;-0,00455223;-0,0254729;-0,013083;0,02904;-0,00319571;-0,00207193;0,073299;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,072;0,0658124;-0,223308;2,57249;0,0314005;-0,121537;-0,155701;-0,0806557;0,041459;-0,041425;-0,0807219;-0,15344;-0;0,20806;-0,18361;3,35508;0,0450295;-0,0284489;0;0,47447;0,456867;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,90552;1,19902;-2,0295;139;-128;1600;0;0,0346695;-0,119259;-0,235288;0,00104004;-0,0036346;-0,00689382;-0,0254728;-0,013083;0,0294953;-0,00329791;-0,00228865;0,079589;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,076;0,0679354;-0,228726;2,4445;0,0313716;-0,121547;-0,155699;-0,080645;0,0414537;-0,0414197;-0,0807111;-0,153454;-0;0,209385;-0,182658;3,34892;0,044855;-0,0282743;0;0,474473;0,45687;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,91543;1,19902;-2,03026;139;-128;1650;0;0,0345623;-0,118921;-0,239739;0,00138259;-0,00481323;-0,00926987;-0,0254724;-0,0130833;0,0302648;-0,00319298;-0,00259707;0,0840167;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,076;0,0700583;-0,235874;2,31652;0,0313693;-0,121518;-0,155722;-0,0806263;0,0414458;-0,0414118;-0,0806924;-0,153478;-0;0,20968;-0,182916;3,33981;0,044855;-0,0282743;0;0,474489;0,456884;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,9255;1,19902;-2,0312;139;-127;1700;0;0,0345487;-0,118306;-0,249716;0,00173039;-0,00600422;-0,0117838;-0,0254713;-0,0130844;0,031202;-0,00320481;-0,00317514;0,0939607;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,08;0,0721813;-0,241125;2,18853;0,0313439;-0,121482;-0,155756;-0,0806022;0,0414387;-0,0414047;-0,0806684;-0,153507;-0;0,21102;-0,183099;3,33335;0,0446804;-0,0282743;0;0,474541;0,456931;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,93536;1,19902;-2,03224;139;-126;1750;0;0,0345265;-0,117483;-0,261102;0,00207103;-0,0071633;-0,0143598;-0,025469;-0,0130871;0,0322401;-0,00317338;-0,00393017;0,105295;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,084;0,0743043;-0,246264;2,06055;0,0313531;-0,121413;-0,155807;-0,080573;0,041436;-0,041402;-0,0806391;-0,153539;-0;0,21149;-0,184639;3,31892;0,0446804;-0,0284489;0;0,474662;0,457038;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,94551;1,19902;-2,03335;139;-125;1800;0;0,0344041;-0,116561;-0,272824;0,00242013;-0,00834605;-0,0171281;-0,0254651;-0,0130927;0,0333502;-0,00302771;-0,00480419;0,116985;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,087;0,0764273;-0,251292;1,93256;0,0313764;-0,121366;-0,155839;-0,0805373;0,0414416;-0,0414076;-0,0806034;-0,153574;-0;0,212026;-0,185107;3,30246;0,0446804;-0,0284489;0;0,474897;0,457247;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,95555;1,19902;-2,03435;140;-124;1850;0;0,0340947;-0,115575;-0,282602;0,00276237;-0,00950619;-0,0199649;-0,0254591;-0,0131026;0,0343469;-0,00267337;-0,00574349;0,126735;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,087;0,0764833;-0,256208;1,80458;0,0314213;-0,121318;-0,155867;-0,0804973;0,0414621;-0,0414281;-0,0805634;-0,153604;-0;0,212578;-0,185589;3,28552;0,0446804;-0,0284489;0;0,475301;0,457606;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
9,96549;1,19902;-2,03568;140;-123;1900;0;0,0339069;-0,114261;-0,296592;0,0030994;-0,0106419;-0,022913;-0,0254499;-0,0131188;0,0356841;-0,00238499;-0,0069643;0,140673;0;0;0;0;0;0;-0,022224;-0,0134398;-0;0;0;0,09;0,0785504;-0,261013;1,67659;0,0315219;-0,121226;-0,155919;-0,0804391;0,0414985;-0,0414645;-0,0805051;-0,153646;-0;0,211898;-0,187132;3,27137;0,044855;-0,0286234;0;0,475952;0,458185;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1779;2273;8;56579;
