time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;gps_accuracy;height_accuracy;gps_sat_num;gps_status
13,7666;1,19112;-2,07301;50;50;1450;0;-0,093019;0,088292;0,14446;-0,000815219;0,000773791;0,00126605;0,0558573;0,0654346;0,0730133;0,0159171;0,0117779;-0,299513;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,3;0,205665;0,0810057;2,82845;-0,0771019;0,10007;-0,155053;0,0578174;-0,0682359;0,0677308;0,0582485;-0,154986;-0;0;-0;9,81;0,0258309;-0,0200713;0;-2,2774;-0,760573;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,7779;1,1911;-2,07001;100;93;1500;0;-0,0941368;0,0866452;0,14269;-0,00187962;0,00175349;0,00287945;0,055956;0,0654342;0,0700102;0,0170362;0,0135914;-0,297636;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,299;0,129036;0,155836;2,70047;-0,0771006;0,100237;-0,154946;0,0579266;-0,0682443;0,0677385;0,0583592;-0,154897;-0;0,30736;-0,119575;3,85208;0,0256563;-0,0200713;0;-2,27827;-0,760004;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,7878;1,19111;-2,0704;150;93;1550;0;-0,0930454;0,0867195;0,142155;-0,00279231;0,00260412;0,00427384;0,0559417;0,0654338;0,0703965;0,0159422;0,0134965;-0,297112;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,299;0,0467625;0,16103;2,57249;-0,0771032;0,100216;-0,154958;0,0579117;-0,0682439;0,0677382;0,0583441;-0,154908;-0;0,30747;-0,119618;3,84996;0,0256563;-0,0200713;0;-2,27815;-0,760085;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,7983;1,1911;-2,06966;200;93;1600;0;-0,0922674;0,0867451;0,140741;-0,00376194;0,00351572;0,00575289;0,0559649;0,0654333;0,0696565;0,0151495;0,0134939;-0,295677;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,298;-0,04112;0,166225;2,4445;-0,0771179;0,100239;-0,154935;0,0579382;-0,0682464;0,0677404;0,0583709;-0,154886;-0;0,307503;-0,119631;3,84931;0,0256563;-0,0200713;0;-2,27836;-0,759949;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8079;1,19111;-2,07012;250;94;1650;0;-0,091646;0,0873564;0,139962;-0,00464312;0,00435566;0,00709863;0,055948;0,065433;0,0701242;0,01458;0,0129396;-0,294886;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,297;-0,134569;0,173262;2,31652;-0,077066;0,100296;-0,154924;0,0579205;-0,0682457;0,0677399;0,058353;-0,1549;-0;0,305512;-0,122786;3,84762;0,0260054;-0,0205949;0;-2,27821;-0,760045;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8178;1,19111;-2,06993;275;94;1700;0;-0,0907059;0,0877961;0,139811;-0,00553984;0,00522361;0,0084808;0,0559529;0,0654325;0,0699262;0,0136397;0,0125091;-0,294729;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,297;-0,186104;0,178512;2,18853;-0,0770662;0,100305;-0,154918;0,057927;-0,0682469;0,067741;0,0583595;-0,154894;-0;0,30556;-0,122805;3,84668;0,0260054;-0,0205949;0;-2,27826;-0,760014;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8278;1,19111;-2,07021;274;95;1750;0;-0,0904622;0,088101;0,138904;-0,00644826;0,00610832;0,00987567;0,0559421;0,0654322;0,0702113;0,0134214;0,0121893;-0,293844;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,296;-0,189623;0,185716;2,06055;-0,0770409;0,10029;-0,154941;0,057916;-0,0682466;0,0677409;0,0583484;-0,154903;-0;0,30453;-0,122809;3,8465;0,0261799;-0,0205949;0;-2,27816;-0,760074;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8378;1,19111;-2,07014;274;95;1800;0;-0,090385;0,0881158;0,138711;-0,00735509;0,00699239;0,0112674;0,0559429;0,0654318;0,0701399;0,0133812;0,0120825;-0,293729;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,296;-0,195041;0,191022;1,93256;-0,0770038;0,100198;-0,155018;0,0579178;-0,0682474;0,0677417;0,0583503;-0,1549;-0;0,302506;-0,119709;3,84541;0,026529;-0,0200713;0;-2,27818;-0,760068;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8479;1,19111;-2,0701;274;95;1850;0;-0,0902677;0,0880996;0,138632;-0,00825912;0,0078747;0,0126558;0,0559426;0,0654314;0,0701031;0,013263;0,0120997;-0,29365;0;0;0;0;0;0;0,05556;0,065353;0,072;0,01;0;-0,296;-0,200459;0,196328;1,80458;-0,0770047;0,100199;-0,155017;0,0579185;-0,0682482;0,0677424;0,0583509;-0,154899;-0;0,302518;-0,119714;3,84518;0,026529;-0,0200713;0;-2,27817;-0,760068;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
13,8578;1,18985;-2,06308;251;123;1900;0;-0,0691789;0,114511;0,139756;-0,00895036;0,0090189;0,0140522;0,0555392;0,0733089;0,0630802;-0,0136487;-0,0193232;-0,294929;0;0;0;0;0;0;0,05556;0,0732914;0,065;-0,03;-0,01;-0,296;-0,15708;0,261013;1,67659;-0,0828275;0,0951881;-0,155174;0,0538853;-0,0717326;0,0711258;0,054345;-0,154721;-0;0,301483;-0,115552;3,84509;0,0267035;-0,0193732;0;-2,21915;-0,797081;-1080;1080;-500;1700;-10;10;-0;-0;0;-0;250;-1,2;0,2;177;-1,2;-1;2555;0,07;1588;2793;9;56579;
