time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
8.4656	0.691485	-0.0863878	-7	50	1450	50	0.20347	0.267871	0.0457571	0.00146437	0.00192787	0.000329314	-2.1262	-0.111936	0.0863878	-0.0210089	-0.180077	-0.0711264	-0.0210089	-0.180077	-0.0711264	-0.0210089	0.0886427	-0.0711264	0.179355	0.0876161	-0.0124508	0.00680701	0.172548	0.099429	-0.0118128	-0.0124508	0	-0.57879	-0.03924	-9.42741	-0.0516617	0.00925025	0.00128225	0.0525973	0.0512926	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.46842	0.691485	-0.0863878	-7	100	1500	94	0.20347	0.267871	0.0457571	0.00203693	0.00268165	0.000458074	-2.1262	-0.111936	0.0863878	-0.0210089	-0.180077	-0.0711264	-0.0210089	-0.180077	-0.0711264	-0.0210089	0.0886427	-0.0711264	0.179355	0.0876161	-0.0124508	0.00680701	0.172548	0.099429	-0.0118128	-0.0124508	0	-0.56898	-0.02943	-9.43722	-0.0516617	0.00925025	0.00128225	0.0525973	0.0512926	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.47528	0.686545	-0.0865489	-4	150	1550	92	0.199911	0.196892	-0.0235441	0.00340992	0.00403391	0.000296373	-2.12704	-0.109974	0.0865489	-0.0210089	-0.110077	-0.00112637	-0.0210089	-0.110077	-0.00112637	-0.0210089	0.0886427	0.0346669	0.179526	0.0872596	-0.0124961	0.00665992	0.172866	0.0989003	-0.0116407	-0.0124961	0	-0.56898	-0.02943	-9.43722	-0.0516617	0.00925025	0.00117041	0.0516567	0.0504649	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.47839	0.686545	-0.0865489	-4	168	1600	92	0.199911	0.196888	-0.0235785	0.00403025	0.00464485	0.00022321	-2.12704	-0.109974	0.0865489	-0.0210089	-0.110077	-0.00112637	-0.0210089	-0.110077	-0.00112637	-0.0210089	0.0886427	0.0346669	0.179526	0.0872596	-0.0124961	0.00665992	0.172866	0.0989003	-0.0116407	-0.0124961	0	-0.57879	-0.02943	-9.4176	-0.0516617	0.00942478	0.00117041	0.0516567	0.0504649	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.48842	0.686545	-0.0865489	-3	167	1650	92	0.199911	0.196884	-0.0236128	0.00603655	0.00662078	-1.37688e-05	-2.12704	-0.109974	0.0865489	-0.0210089	-0.110077	-0.00112637	-0.0210089	-0.110077	-0.00112637	-0.0210089	0.0886427	0.0346669	0.179526	0.0872596	-0.0124961	0.00665992	0.172866	0.0989003	-0.0116407	-0.0124961	0	-0.52974	-0.01962	-9.4176	-0.0516617	0.00959931	0.00117041	0.0516567	0.0504649	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.49845	0.686545	-0.0865489	-3	167	1700	92	0.199915	0.196876	-0.0236467	0.00804029	0.00859407	-0.000250779	-2.12704	-0.109974	0.0865489	-0.0210089	-0.110077	-0.00112637	-0.0210089	-0.110077	-0.00112637	-0.0210089	0.0886427	0.0346669	0.179526	0.0872596	-0.0124961	0.00665992	0.172866	0.0989003	-0.0116407	-0.0124961	0	-0.51012	-0.01962	-9.40779	-0.0514872	0.00994838	0.00117041	0.0516567	0.0504649	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.50796	0.683681	-0.0854054	9	117	1750	93	0.185384	0.127272	0.0275842	0.00980403	0.00980494	1.1657e-05	-2.12704	-0.108874	0.0854054	-0.00393648	-0.040077	-0.0506956	-0.00393648	-0.040077	-0.0506956	-0.00393648	0.0886427	-0.0506956	0.179675	0.0869743	-0.0123442	0.00662068	0.173054	0.0985949	-0.0116206	-0.0123442	0	-0.51012	-0.01962	-9.40779	-0.0514872	0.00994838	0.000329025	0.0511409	0.05079	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.50841	0.683681	-0.0854054	9	108	1800	93	0.185379	0.127272	0.0276166	0.00988708	0.00986195	2.40293e-05	-2.12704	-0.108874	0.0854054	-0.00393648	-0.040077	-0.0506956	-0.00393648	-0.040077	-0.0506956	-0.00393648	0.0886427	-0.0506956	0.179675	0.0869743	-0.0123442	0.00662068	0.173054	0.0985949	-0.0116206	-0.0123442	0	-0.48069	-0.02943	-9.39798	-0.0513127	0.00994838	0.000329025	0.0511409	0.05079	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.51835	0.683681	-0.0854054	10	109	1850	93	0.185374	0.127277	0.0276267	0.0117308	0.0111279	0.000298805	-2.12704	-0.108874	0.0854054	-0.00393648	-0.040077	-0.0506956	-0.00393648	-0.040077	-0.0506956	-0.00393648	0.0886427	-0.0506956	0.179675	0.0869743	-0.0123442	0.00662068	0.173054	0.0985949	-0.0116206	-0.0123442	0	-0.45126	-0.05886	-9.39798	-0.0511381	0.0101229	0.000329025	0.0511409	0.05079	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.52843	0.683681	-0.0854054	10	110	1900	93	0.185368	0.127277	0.0276591	0.013598	0.0124099	0.000577414	-2.12704	-0.108874	0.0854054	-0.00393648	-0.040077	-0.0506956	-0.00393648	-0.040077	-0.0506956	-0.00393648	0.0886427	-0.0506956	0.179675	0.0869743	-0.0123442	0.00662068	0.173054	0.0985949	-0.0116206	-0.0123442	0	-0.43164	-0.08829	-9.44703	-0.0509636	0.0101229	0.000329025	0.0511409	0.05079	-850	850	-500	1700	-20	20	-10	-20	20	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
