time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
10.4497	-0.924777	-0.193281	50	-49	1450	31	0.166364	0.109106	-0.0204695	-0.518275	-0.109751	-0.0587201	0.000445356	0.000292077	-5.47969e-05	-2.89652	0.530119	0.193281	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.518275	0.109751	0.0587201	0.184224	0.0736261	-0.0253106	0.0298451	0.0010472	-0.202227	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.4568	-0.924777	-0.193281	100	-5	1500	27	0.12073	0.116699	-0.00609574	-0.537834	-0.0384429	0.0106526	0.00130157	0.0011197	-9.80278e-05	-2.85322	0.512749	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.537834	0.0384429	-0.0106526	0.184224	0.0736261	-0.0253106	0.0298451	0.0010472	-0.196061	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.457	-0.924777	-0.193281	150	-5	1550	27	0.120727	0.116699	-0.00613788	-0.53783	-0.0384427	0.0108403	0.00133574	0.00115273	-9.97649e-05	-2.85322	0.512749	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.53783	0.0384427	-0.0108403	0.184224	0.0736261	-0.0253106	0.0294961	0.0010472	-0.196061	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.467	-0.924777	-0.193281	200	-5	1600	27	0.120726	0.1167	-0.00613858	-0.537828	-0.0384445	0.0109275	0.0025436	0.00232031	-0.000161181	-2.85322	0.512749	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.537828	0.0384445	-0.0109275	0.184224	0.0736261	-0.0253106	0.0293215	0.000872665	-0.196061	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.477	-0.924777	-0.193281	250	-5	1650	27	0.120724	0.116699	-0.00620109	-0.537824	-0.0384424	0.0111219	0.00374783	0.00348438	-0.000223037	-2.85322	0.512749	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.537824	0.0384424	-0.0111219	0.184224	0.0736261	-0.0253106	0.0289725	0.0010472	-0.196061	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.487	-0.924777	-0.193281	300	-5	1700	27	0.120725	0.116697	-0.00622075	-0.537826	-0.0384386	0.0110415	0.0049523	0.00464866	-0.000285102	-2.85322	0.512749	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.537826	0.0384386	-0.0110415	0.184224	0.0736261	-0.0253106	0.029147	0.00139626	-0.196061	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.4916	-0.924777	-0.193281	350	28	1750	25	0.102185	0.117422	-0.00561804	-0.622098	0.0177171	0.0785359	0.00541817	0.00518399	-0.000310714	-2.83504	0.508226	0.1764	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622098	-0.0177171	-0.0785359	0.184224	0.0736261	-0.0253106	0.029147	0.00139626	-0.194384	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.497	-0.924777	-0.193281	400	28	1800	25	0.102185	0.117421	-0.00563853	-0.622098	0.0177308	0.0785328	0.00597906	0.00582851	-0.000341664	-2.83504	0.508226	0.1764	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622098	-0.0177308	-0.0785328	0.184224	0.0736261	-0.0253106	0.029147	0.0015708	-0.194384	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.507	-0.924777	-0.193281	450	28	1850	25	0.102186	0.117418	-0.00568218	-0.622112	0.0177717	0.0784149	0.00699979	0.0070014	-0.000398423	-2.83504	0.508226	0.1764	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622112	-0.0177717	-0.0784149	0.184224	0.0736261	-0.0253106	0.0293215	0.0020944	-0.194384	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.517	-0.924777	-0.193281	500	28	1900	25	0.102188	0.117416	-0.00568749	-0.622139	0.0177986	0.0781916	0.00802126	0.00817509	-0.000455276	-2.83504	0.508226	0.1764	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622139	-0.0177986	-0.0781916	0.184224	0.0736261	-0.0253106	0.0296706	0.00244346	-0.194384	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.5225	-0.924777	-0.193281	498	33	1950	23	0.0749314	0.117362	-0.00764061	-0.560062	0.0263614	0.00998203	0.00843339	0.00882058	-0.000497299	-2.80807	0.502837	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.560062	-0.0263614	-0.00998203	0.184224	0.0736261	-0.0253106	0.0296706	0.00244346	-0.192677	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.527	-0.924777	-0.193281	498	33	2000	23	0.0749365	0.117359	-0.00762927	-0.560069	0.0263638	0.00958183	0.00877195	0.00935081	-0.000531768	-2.80807	0.502837	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.560069	-0.0263638	-0.00958183	0.184224	0.0736261	-0.0253106	0.0303687	0.00279253	-0.192677	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.5371	-0.924777	-0.193281	498	33	2050	23	0.0749391	0.117358	-0.00762359	-0.560072	0.0263649	0.00938173	0.00952224	0.0105258	-0.000608095	-2.80807	0.502837	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.560072	-0.0263649	-0.00938173	0.184224	0.0736261	-0.0253106	0.0307178	0.00296706	-0.192677	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.547	-0.924777	-0.193281	498	33	2100	23	0.0749479	0.117357	-0.00755251	-0.560083	0.0263644	0.00869287	0.010271	0.0116983	-0.000683553	-2.80807	0.502837	0.177544	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.560083	-0.0263644	-0.00869287	0.184224	0.0736261	-0.0253106	0.0319395	0.00314159	-0.192677	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.5515	-0.924777	-0.193281	498	24	2150	21	0.0583478	0.115093	-0.0108767	-0.554934	0.011417	-0.0611317	0.0105283	0.0122058	-0.000731508	-2.79122	0.501824	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.554934	-0.011417	0.0611317	0.184224	0.0736261	-0.0253106	0.0319395	0.00314159	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.557	-0.924777	-0.193281	498	24	2200	21	0.0583625	0.115093	-0.0107953	-0.554848	0.0114146	-0.0619065	0.0108517	0.0128435	-0.000791325	-2.79122	0.501824	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.554848	-0.0114146	0.0619065	0.184224	0.0736261	-0.0253106	0.0333358	0.00314159	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.5671	-0.924777	-0.193281	498	24	2250	21	0.0583806	0.115092	-0.0107135	-0.55474	0.0114005	-0.0628768	0.0114409	0.0140051	-0.000899456	-2.79122	0.501824	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.55474	-0.0114005	0.0628768	0.184224	0.0736261	-0.0253106	0.0350811	0.00331613	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.577	-0.924777	-0.193281	498	24	2300	21	0.0583896	0.11509	-0.0106826	-0.554685	0.0113879	-0.0633629	0.0120196	0.0151457	-0.00100532	-2.79122	0.501824	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.554685	-0.0113879	0.0633629	0.184224	0.0736261	-0.0253106	0.0359538	0.00349066	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.587	-0.924777	-0.193281	497	24	2350	21	0.0584039	0.115085	-0.0106613	-0.554596	0.0113516	-0.0641432	0.0126056	0.0163005	-0.00111231	-2.79122	0.501824	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.554596	-0.0113516	0.0641432	0.184224	0.0736261	-0.0253106	0.03735	0.00401426	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.5893	-0.924777	-0.193281	488	-17	2400	21	0.0567181	0.115429	-0.0107257	-0.538611	-0.0576359	-0.133318	0.0127342	0.0165621	-0.00113661	-2.78963	0.501163	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.538611	0.0576359	0.133318	0.184224	0.0736261	-0.0253106	0.03735	0.00401426	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.597	-0.924777	-0.193281	488	-17	2450	21	0.0567341	0.115424	-0.010697	-0.5384	-0.0577096	-0.134134	0.0131706	0.01745	-0.0012189	-2.78963	0.501163	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.5384	0.0577096	0.134134	0.184224	0.0736261	-0.0253106	0.0389208	0.00453786	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.607	-0.924777	-0.193281	488	-17	2500	21	0.0567447	0.115417	-0.0107182	-0.538259	-0.0578062	-0.134657	0.0137379	0.0186039	-0.00132605	-2.78963	0.501163	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.538259	0.0578062	0.134657	0.184224	0.0736261	-0.0253106	0.039968	0.00523599	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.617	-0.924777	-0.193281	488	-17	2550	21	0.05675	0.115413	-0.0107288	-0.538189	-0.0578547	-0.134919	0.0143052	0.0197575	-0.0014333	-2.78963	0.501163	0.180344	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.538189	0.0578547	0.134919	0.184224	0.0736261	-0.0253106	0.0404916	0.00558505	-0.192331	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.6179	-0.924777	-0.193281	538	16	2600	18	0.0281176	0.112629	-0.00644355	-0.623046	-0.00128353	-0.0686145	0.0143314	0.0198624	-0.0014393	-2.76103	0.498416	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.623046	0.00128353	0.0686145	0.184224	0.0736261	-0.0253106	0.0404916	0.00558505	-0.190938	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.6272	-0.924777	-0.193281	543	16	2603	18	0.0281217	0.112625	-0.00648289	-0.622998	-0.00132211	-0.0690488	0.0145929	0.0209098	-0.00149959	-2.76103	0.498416	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622998	0.00132211	0.0690488	0.184224	0.0736261	-0.0253106	0.0411898	0.00610865	-0.190938	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.637	-0.924777	-0.193281	543	16	2603	18	0.0281237	0.112621	-0.0065517	-0.622974	-0.0013718	-0.0692653	0.014869	0.0220155	-0.00156391	-2.76103	0.498416	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622974	0.0013718	0.0692653	0.184224	0.0736261	-0.0253106	0.0415388	0.00680678	-0.190938	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.6471	-0.924777	-0.193281	543	16	2603	18	0.0281247	0.112621	-0.00654679	-0.622962	-0.00137254	-0.069374	0.0151511	0.0231452	-0.00162958	-2.76103	0.498416	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.622962	0.00137254	0.069374	0.184224	0.0736261	-0.0253106	0.0417134	0.00680678	-0.190938	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.6552	-0.924777	-0.193281	581	-32	2563	18	0.00728145	0.115046	-0.00743326	-0.681347	-0.0823391	-0.00119721	0.0152104	0.0240825	-0.00169014	-2.74091	0.492046	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.681347	0.0823391	0.00119721	0.184224	0.0736261	-0.0253106	0.0417134	0.00680678	-0.190081	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
10.657	-0.924777	-0.193281	581	-32	2563	18	0.00728377	0.115043	-0.00747088	-0.681346	-0.0823412	-0.0014063	0.0152238	0.0242934	-0.00170384	-2.74091	0.492046	0.174919	-2.89652	0.530119	0.193281	-2.7123	0.603745	0.167971	0.681346	0.0823412	0.0014063	0.184224	0.0736261	-0.0253106	0.0420624	0.00715585	-0.190081	-150	150	-200	-0	0	-0	-600	600	-600	1.2	0.2	0.18	174	-1	-1	2561	
