time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxrDer	dyrDer	dzrDer	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.626795	0	0	0	0	0	0	0	0	0	0	0	0	-3.84746	0.383955	-0.567621	0.25341	0.0820537	0.1	0.246879	0.1	0.1	0.246879	0.08	0.08	0.24	0.04	0.04	-2.29199	-0.267929	3.79525	-1.15724	0	0	0	0	0	0	0	0.071713	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.652498	0	0	0	0	0	0	0	0	0	0	0	0	-3.8168	0.383955	-0.44445	0.346805	-0.00718866	0.2	0.346879	2.77556e-17	0.2	0.326879	-2.77556e-17	0.16	0.28	-1.38778e-17	0.08	1.19265	-0.267929	3.79525	-0.837173	0	0	0	0	0	0	0	0.0207253	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.688667	0	0	0	0	0	0	0	0	0	0	0	0	-3.8168	0.37332	-0.44445	0.43997	-0.126993	0.1	0.446879	-0.1	0.1	0.406879	-0.08	0.08	0.32	-0.04	0.04	1.19265	-0.267929	-3.4189	0.303501	0	0	0	0	0	0	0	0.0608562	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.719813	0	0	0	0	0	0	0	0	0	0	0	0	-3.75752	-0.000343909	-0.568084	0.533703	-0.23289	-2.77556e-17	0.546879	-0.2	-2.77556e-17	0.486879	-0.16	2.77556e-17	0.36	-0.08	1.38778e-17	1.19733	-11.4116	-3.4189	0.680827	0	0	0	0	0	0	0	0.0608562	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.75637	0	0	0	0	0	0	0	0	0	0	0	0	-3.75752	-0.000343909	-0.568084	0.627436	-0.338787	-0.1	0.646879	-0.3	-0.1	0.566879	-0.24	-0.08	0.4	-0.12	-0.04	1.19733	-11.4116	-1.87524	0.758294	0	0	0	0	0	0	0	0.0608562	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.784938	0	0	0	0	0	0	0	0	0	0	0	0	-3.77326	0.121653	-0.528544	0.533218	-0.418038	-2.77556e-17	0.546879	-0.4	-2.77556e-17	0.486879	-0.32	2.77556e-17	0.36	-0.16	1.38778e-17	0.307195	-11.4116	2.67768	-0.19809	0	0	0	0	0	0	0	0.0333969	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.825251	0	0	0	0	0	0	0	0	0	0	0	0	-3.77326	0.122999	0.00973492	0.436613	-0.314754	0.1	0.446879	-0.3	0.1	0.406879	-0.24	0.08	0.32	-0.12	0.04	0.0775822	0.0333873	2.67768	-0.188886	0	0	0	0	0	0	0	0.0333969	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.850146	0	0	0	0	0	0	0	0	0	0	0	0	-3.77326	0.121653	0.00973492	0.333105	-0.411541	-2.77556e-17	0.346879	-0.4	-2.77556e-17	0.326879	-0.32	2.77556e-17	0.28	-0.16	1.38778e-17	0.0775822	-1.33549	-0.279667	0	0	0	0	0	0	0	0	0.0339425	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.888746	0	0	0	0	0	0	0	0	0	0	0	0	-3.77651	0.0897551	-0.00366935	0.223396	-0.510924	-0.1	0.246879	-0.5	-0.1	0.246879	-0.4	-0.08	0.24	-0.2	-0.04	-0.0924176	-0.751639	-0.538475	-0.0806579	0	0	0	0	0	0	0	0.0464496	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.915109	0	0	0	0	0	0	0	0	0	0	0	0	-3.77651	0.072258	-0.00747265	0.113457	-0.607207	-0.2	0.146879	-0.6	-0.2	0.166879	-0.48	-0.16	0.2	-0.24	-0.08	-0.0924176	-0.751639	-0.538475	-0.0793141	0	0	0	0	0	0	0	0.0553563	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.950834	0	0	0	0	0	0	0	0	0	0	0	0	-3.76511	0.072258	-0.00747265	0.018342	-0.501858	-0.1	0.0468792	-0.5	-0.1	0.0868792	-0.4	-0.08	0.16	-0.2	-0.04	-0.0924176	0.0292204	0.409605	0.256913	0	0	0	0	0	0	0	0.0569531	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.986892	0	0	0	0	0	0	0	0	0	0	0	0	-3.759	0.072258	-0.00747265	0.122461	-0.408138	-2.77556e-17	0.146879	-0.4	-2.77556e-17	0.166879	-0.32	2.77556e-17	0.2	-0.16	1.38778e-17	0.284304	0.0292204	0.409605	0.321472	0	0	0	0	0	0	0	0.0604116	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.01468	0	0	0	0	0	0	0	0	0	0	0	0	-3.7649	-0.022275	-0.0293966	0.017594	-0.303131	-0.1	0.0468792	-0.3	-0.1	0.0868792	-0.24	-0.08	0.16	-0.12	-0.04	-0.171041	0.0292204	-0.734066	0.00444973	0	0	0	0	0	0	0	0.0970345	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
