time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
6.86688	0.194017	-0.135768	37	50	1450	50	0.164325	0.129609	-0.0544046	0.000375154	0.000295898	-0.000124206	-2.81027	-0.0904647	0.135768	-0.00677041	-0.00809757	0.034119	-0.00601539	-0.00857316	0.0341443	-0.00601539	-0.00857316	0.0454248	0.157554	0.121512	-0.0202856	-0.0149971	0.172907	0.0279558	0.0927571	-0.0221999	-0	6.37239e-314	4.04693e-314	2.6653e-312	0.023911	0.0151844	-0.00693899	0.0321796	0.0391086	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.87468	0.194017	-0.135768	37	100	1500	64	0.164325	0.129609	-0.0544046	0.00165672	0.00130672	-0.000548508	-2.81027	-0.0904647	0.135768	-0.00677041	-0.00809757	0.034119	-0.00601539	-0.00857316	0.0341443	-0.00601539	-0.00857316	0.0454248	0.157554	0.121512	-0.0202856	-0.0149971	0.172907	0.0279558	0.0927571	-0.0221999	-0	0.237047	0.150542	9.91465	0.023911	0.0151844	-0.00693899	0.0321796	0.0391086	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.88459	0.194017	-0.135768	37	110	1550	64	0.164325	0.129613	-0.0543834	0.00328567	0.00259157	-0.00108761	-2.81027	-0.0904647	0.135768	-0.00677041	-0.00809757	0.034119	-0.00601539	-0.00857316	0.0341443	-0.00601539	-0.00857316	0.0454248	0.157554	0.121515	-0.0202644	-0.0149971	0.172907	0.0279558	0.0927571	-0.0221999	-0	0.237047	0.148812	9.91467	0.023911	0.0150098	-0.00693899	0.0321796	0.0391086	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.8928	0.194017	-0.13637	35	110	1600	63	0.166612	0.12942	-0.0657066	0.00465273	0.00365346	-0.00162673	-2.81027	-0.0904647	0.13637	-0.00903732	-0.00794707	0.0453461	-0.00801131	-0.00857316	0.0454248	-0.00801131	-0.00857316	0.0454248	0.157575	0.121472	-0.0203605	-0.0149963	0.172898	0.0279543	0.0927521	-0.0222971	-0	0	0	0	0.023911	0.0150098	-0.00671813	0.0321796	0.0388879	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.89465	0.194017	-0.13637	35	110	1650	63	0.166616	0.12942	-0.0656791	0.0049618	0.00389354	-0.00174857	-2.81027	-0.0904647	0.13637	-0.00903732	-0.00794707	0.0453461	-0.00801131	-0.00857316	0.0454248	-0.00801131	-0.00857316	0.0454248	0.157578	0.121473	-0.020333	-0.0149963	0.172898	0.0279543	0.0927521	-0.0222971	-0	0.239302	0.149139	9.93645	0.0240855	0.0150098	-0.00671813	0.0321796	0.0388879	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.90465	0.194017	-0.13637	35	110	1700	63	0.166622	0.129417	-0.0656453	0.00662785	0.00518758	-0.00240495	-2.81027	-0.0904647	0.13637	-0.00903732	-0.00794707	0.0453461	-0.00801131	-0.00857316	0.0454248	-0.00801131	-0.00857316	0.0454248	0.157585	0.12147	-0.0202992	-0.0149963	0.172898	0.0279543	0.0927521	-0.0222971	-0	0.242768	0.150872	9.9364	0.0244346	0.0151844	-0.00671813	0.0321796	0.0388879	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.91461	0.194017	-0.13637	35	110	1750	63	0.166622	0.129417	-0.0656453	0.00828758	0.0064767	-0.00305885	-2.81027	-0.0904647	0.13637	-0.00903732	-0.00794707	0.0453461	-0.00801131	-0.00857316	0.0454248	-0.00801131	-0.00857316	0.0454248	0.157585	0.12147	-0.0202992	-0.0149963	0.172898	0.0279543	0.0927521	-0.0222971	-0	0.242767	0.150872	9.93636	0.0244346	0.0151844	-0.00671813	0.0321796	0.0388879	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.92459	0.194017	-0.13637	35	110	1800	63	0.166625	0.129418	-0.0656178	0.00995066	0.00776842	-0.00371378	-2.81027	-0.0904647	0.13637	-0.00903732	-0.00794707	0.0453461	-0.00801131	-0.00857316	0.0454248	-0.00801131	-0.00857316	0.0454248	0.157588	0.121471	-0.0202717	-0.0149963	0.172898	0.0279543	0.0927521	-0.0222971	-0	0.244501	0.150872	9.93639	0.0246091	0.0151844	-0.00671813	0.0321796	0.0388879	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.92694	0.191734	-0.13702	32	91	1850	63	0.169201	0.106877	-0.0653197	0.0103485	0.00801969	-0.00386735	-2.81136	-0.0902143	0.13702	-0.0114531	0.0143694	0.0449437	-0.0102464	0.0137544	0.0454248	-0.0102464	0.0137544	0.0454248	0.157747	0.121246	-0.020376	-0.0148368	0.172893	0.0276245	0.0928585	-0.0224087	-0	0	0	0	0.0246091	0.0151844	-0.0067125	0.0320782	0.0387809	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.93459	0.191734	-0.13702	32	91	1900	63	0.169201	0.106877	-0.0653197	0.011643	0.0088374	-0.00436711	-2.81136	-0.0902143	0.13702	-0.0114531	0.0143694	0.0449437	-0.0102464	0.0137544	0.0454248	-0.0102464	0.0137544	0.0454248	0.157747	0.121246	-0.020376	-0.0148368	0.172893	0.0276245	0.0928585	-0.0224087	-0	0.244487	0.150863	9.93579	0.0246091	0.0151844	-0.0067125	0.0320782	0.0387809	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
