time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
0.129213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.157997	0	0	0	0	0	0	0	0	0	0	0	0	-4.2734	1.2313	-0.325256	-0.0992893	-0.0119011	-0.1	-0.1	0	-0.1	-0.08	0	-0.08	-0.04	0	-0.04	-0.356608	0	-1.54665	0	0	0	0	0	-0.119293	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.19761	0	0	0	0	0	0	0	0	0	0	0	0	-4.2734	1.2313	-0.325256	-0.186678	-0.123091	-0.2	-0.2	-0.1	-0.2	-0.16	-0.08	-0.16	-0.08	-0.04	-0.08	-0.356608	-0.729264	-1.54665	0	0	0	0	0	-0.119293	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.223154	0	0	0	0	0	0	0	0	0	0	0	0	-4.23489	1.20043	-0.180335	-0.0792089	-0.209108	-0.1	-0.1	-0.2	-0.1	-0.08	-0.16	-0.08	-0.04	-0.08	-0.04	1.23155	-0.77951	4.78362	0	0	0	0	0	-0.101554	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.262416	0	0	0	0	0	0	0	0	0	0	0	0	-4.17788	1.20043	-0.180335	0.0303104	-0.298465	0	0	-0.3	0	0	-0.24	0	0	-0.12	0	1.23155	-0.77951	4.78362	0	0	0	0	0	-0.101207	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.28993	0	0	0	0	0	0	0	0	0	0	0	0	-4.16833	0.692988	-0.286648	0.138293	-0.388426	0.1	0.1	-0.4	0.1	0.08	-0.32	0.08	0.04	-0.16	0.04	2.23162	-19.7462	3.32249	0	0	0	0	0	-0.0970607	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.326658	0	0	0	0	0	0	0	0	0	0	0	0	-4.16833	1.02073	-0.307782	0.225983	-0.280948	0	0.2	-0.3	0	0.16	-0.24	0	0.08	-0.12	0	0.243206	8.92512	-0.575524	0	0	0	0	0	-0.0893898	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.357178	0	0	0	0	0	0	0	0	0	0	0	0	-4.08327	0.726862	-0.307782	0.334511	-0.371622	-0.1	0.3	-0.4	-0.1	0.24	-0.32	-0.08	0.12	-0.16	-0.04	3.0911	-9.62671	-0.107892	0	0	0	0	0	-0.0893898	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.389652	0	0	0	0	0	0	0	0	0	0	0	0	-4.00539	1.02073	-0.307782	0.226206	-0.280768	-0.107892	0.2	-0.3	-0.107892	0.164532	-0.24	-0.107892	0.16	-0.12	-0.08	0.164532	8.92512	-0.107892	0	0	0	0	0	-0.0901862	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.425674	0	0	0	0	0	0	0	0	0	0	0	0	-4.00005	0.726862	-0.311075	0.334806	-0.371355	-0.107892	0.3	-0.4	-0.107892	0.244532	-0.32	-0.107892	0.2	-0.16	-0.107892	0.80501	-9.62671	-0.107892	0	0	0	0	0	-0.0901862	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.451558	0	0	0	0	0	0	0	0	0	0	0	0	-3.97111	0.275766	-0.310612	0.42782	-0.258785	-0.0078921	0.4	-0.3	-0.0078921	0.324532	-0.24	-0.0278921	0.24	-0.12	-0.0678921	0.80501	8.03619	0.753634	0	0	0	0	0	-0.099492	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.492392	0	0	0	0	0	0	0	0	0	0	0	0	-3.93572	0.0952774	-0.310612	0.521026	-0.372199	0.0921079	0.5	-0.4	0.0921079	0.404532	-0.32	0.0521079	0.28	-0.16	-0.0278921	0.80501	-4.42026	1.30297	0	0	0	0	0	-0.0544437	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.51733	0	0	0	0	0	0	0	0	0	0	0	0	-3.92791	0.275766	-0.153547	0.619233	-0.257974	0.192108	0.6	-0.3	0.192108	0.484532	-0.24	0.132108	0.32	-0.12	0.0121079	1.66449	8.03619	1.75725	0	0	0	0	0	-0.0689113	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.558166	0	0	0	0	0	0	0	0	0	0	0	0	-3.89293	0.495862	-0.153547	0.521026	-0.372199	0.292108	0.5	-0.4	0.292108	0.404532	-0.32	0.212108	0.28	-0.16	0.0521079	-0.191248	-4.42026	1.75725	0	0	0	0	0	-0.0544437	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.586304	0	0	0	0	0	0	0	0	0	0	0	0	-3.88491	0.499685	-0.182939	0.409474	-0.286934	0.392108	0.4	-0.3	0.392108	0.324532	-0.24	0.292108	0.28768	-0.12	0.0921079	0.28768	0.135947	1.75725	0	0	0	0	0	-0.0322804	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.620661	0	0	0	0	0	0	0	0	0	0	0	0	-3.88484	0.499685	-0.400054	0.306299	-0.190213	0.292108	0.3	-0.2	0.292108	0.28768	-0.16	0.212108	0.28768	-0.08	0.0521079	0.28768	0.135947	-6.32141	0	0	0	0	0	-0.0322804	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.656155	0	0	0	0	0	0	0	0	0	0	0	0	-3.861	1.22752	-0.400054	0.293971	-0.0796286	0.192108	0.28768	-0.1	0.192108	0.28768	-0.08	0.132108	0.28768	-0.04	0.0121079	0.28768	0.135947	-0.124686	0	0	0	0	0	-0.0700184	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.685346	0	0	0	0	0	0	0	0	0	0	0	0	-3.84405	1.22752	-0.400054	0.402206	-0.168896	0.0921079	0.38768	-0.2	0.0921079	0.36768	-0.16	0.0521079	0.32768	-0.08	-0.0278921	0.581068	-0.385748	-0.124686	0	0	0	0	0	-0.0787154	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.722551	0	0	0	0	0	0	0	0	0	0	0	0	-3.84405	1.21626	-0.247324	0.50858	-0.263017	0.192108	0.48768	-0.3	0.192108	0.44768	-0.24	0.132108	0.36768	-0.12	0.0121079	0.581068	-1.73277	5.38766	0	0	0	0	0	-0.0742098	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.752375	0	0	0	0	0	0	0	0	0	0	0	0	-3.79507	1.19864	-0.247324	0.609601	-0.338862	0.292108	0.581068	-0.385748	0.292108	0.52768	-0.32	0.212108	0.40768	-0.16	0.0521079	0.581068	-0.385748	5.38766	0	0	0	0	0	-0.0787154	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.787565	0	0	0	0	0	0	0	0	0	0	0	0	-3.79507	0.569165	0.0243286	0.515758	-0.448744	0.392108	0.481068	-0.485748	0.392108	0.44768	-0.4	0.292108	0.36768	-0.2	0.0921079	0.11021	-17.3825	12.5987	0	0	0	0	0	-0.0742098	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.818442	0	0	0	0	0	0	0	0	0	0	0	0	-3.88179	0.554662	0.0243286	0.408985	-0.406434	0.492108	0.381068	-0.432717	0.492108	0.36768	-0.432717	0.372108	0.32768	-0.24	0.132108	-0.222794	-0.432717	0.784458	0	0	0	0	0	-0.0665124	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.85554	0	0	0	0	0	0	0	0	0	0	0	0	-3.88179	0.5413	0.0485518	0.315131	-0.513303	0.592108	0.281068	-0.532717	0.592108	0.28768	-0.512717	0.452108	0.28768	-0.28	0.172108	-0.222794	-0.68265	0.784458	0	0	0	0	0	-0.0651057	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.884695	0	0	0	0	0	0	0	0	0	0	0	0	-3.87072	0.532819	0.0595925	0.408413	-0.407008	0.492108	0.381068	-0.432717	0.492108	0.36768	-0.432717	0.372108	0.32768	-0.32	0.212108	0.484079	-0.432717	0.297616	0	0	0	0	0	-0.0651057	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.918301	0	0	0	0	0	0	0	0	0	0	0	0	-3.85366	0.532819	0.0611761	0.502557	-0.299271	0.392108	0.481068	-0.332717	0.392108	0.44768	-0.352717	0.297616	0.36768	-0.28	0.252108	0.585196	0.198376	0.297616	0	0	0	0	0	-0.0679801	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.95242	0	0	0	0	0	0	0	0	0	0	0	0	-3.82891	0.539487	0.0634896	0.596873	-0.188519	0.292108	0.581068	-0.232717	0.292108	0.52768	-0.272717	0.217616	0.40768	-0.24	0.212108	0.585196	0.198376	0.0543254	0	0	0	0	0	-0.0750076	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
0.984025	0	0	0	0	0	0	0	0	0	0	0	0	-3.81862	0.543926	0.0804273	0.689106	-0.0812385	0.392108	0.681068	-0.132717	0.392108	0.60768	-0.192717	0.297616	0.44768	-0.2	0.252108	0.707322	0.198376	0.535272	0	0	0	0	0	-0.0751068	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.02032	0	0	0	0	0	0	0	0	0	0	0	0	-3.80653	0.580488	0.0659232	0.581694	0.0184987	0.292108	0.581068	-0.0327174	0.292108	0.52768	-0.112717	0.217616	0.40768	-0.16	0.212108	0.223682	0.130248	-0.399572	0	0	0	0	0	-0.088037	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.04676	0	0	0	0	0	0	0	0	0	0	0	0	-3.79841	0.580488	0.0659232	0.675198	0.095897	0.192108	0.681068	0.0351434	0.192108	0.60768	-0.0327174	0.137616	0.44768	-0.12	0.172108	0.707322	0.0351434	-0.368791	0	0	0	0	0	-0.0895297	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.08555	0	0	0	0	0	0	0	0	0	0	0	0	-3.7796	0.573806	0.0561753	0.584559	-0.011722	0.0921079	0.581068	-0.0648566	0.0921079	0.52768	-0.112717	0.0576159	0.40768	-0.16	0.132108	0.252264	-0.301065	-0.399572	0	0	0	0	0	-0.0911062	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11341	0	0	0	0	0	0	0	0	0	0	0	0	-3.76981	0.573806	0.0377697	0.494139	-0.120127	-0.0078921	0.481068	-0.164857	-0.0078921	0.44768	-0.192717	-0.0223841	0.36768	-0.2	0.0921079	0.252264	-0.301065	-0.368791	0	0	0	0	0	-0.0916702	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.1488	0	0	0	0	0	0	0	0	0	0	0	0	-3.7685	0.566997	0.0377697	0.404649	-0.227202	0.0921079	0.381068	-0.264857	0.0921079	0.36768	-0.272717	0.0576159	0.32768	-0.24	0.132108	0.222006	-0.305212	0.146928	0	0	0	0	0	-0.0957751	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.18501	0	0	0	0	0	0	0	0	0	0	0	0	-3.76064	0.566997	0.0562012	0.314581	-0.335371	0.146928	0.281068	-0.363917	0.146928	0.28768	-0.352717	0.137616	0.28768	-0.28	0.146928	0.134196	-0.363917	0.146928	0	0	0	0	0	-0.0957751	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.21324	0	0	0	0	0	0	0	0	0	0	0	0	-3.75578	0.549538	0.0562012	0.255789	-0.341019	0.0469283	0.222006	-0.363917	0.0469283	0.222006	-0.363917	0.0576159	0.24768	-0.32	0.106928	0.222006	-0.363917	-0.052958	0	0	0	0	0	-0.0957751	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.25548	0	0	0	0	0	0	0	0	0	0	0	0	-3.74822	0.549538	0.0562012	0.292643	-0.236011	-0.052958	0.267747	-0.263917	-0.052958	0.267747	-0.283917	-0.0223841	0.267747	-0.28	0.0669283	0.267747	0.190585	-0.052958	0	0	0	0	0	-0.0995138	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.28259	0	0	0	0	0	0	0	0	0	0	0	0	-3.73092	0.549793	0.0656063	0.283957	-0.133888	-0.152958	0.267747	-0.163917	-0.152958	0.267747	-0.203917	-0.102384	0.267747	-0.24	0.0269283	0.267747	0.190585	-0.307584	0	0	0	0	0	-0.108752	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
