time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.60367	-0.0871315	-0.204542	100	100	1500	100	-0.0768204	0.261717	-0.13169	-0.000389249	0.00132612	-0.000667272	-2.4769	-0.271919	0.204542	0.0580356	-0.0671891	0.0932671	0.0580356	-0.0671891	0.0932671	0.0580356	-0.138917	0.0932671	-0.012292	0.195587	-0.0399334	0.0168208	-0.0291128	0.00253664	0.19305	-0.0399334	0	-0.0724312	0.0141372	0.0112858	0.109344	0.0979011	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.60851	-0.0871315	-0.204542	200	200	1600	153	-0.0768428	0.261718	-0.131676	-0.000761091	0.00259257	-0.00130445	-2.4769	-0.271919	0.204542	0.0580356	-0.0671891	0.0932671	0.0580356	-0.0671891	0.0932671	0.0580356	-0.138917	0.0932671	-0.012292	0.195587	-0.0399334	0.0168208	-0.0291128	0.00253664	0.19305	-0.0399334	0	-0.0726057	0.0141372	0.0112858	0.109344	0.0979011	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.61499	-0.0887193	-0.204542	179	300	1700	154	-0.00223053	0.331735	-0.0678963	-0.000775545	0.00474222	-0.00174442	-2.4775	-0.276977	0.204542	-0.0119644	-0.137189	0.0232671	-0.0119644	-0.137189	0.0232671	-0.022152	-0.138917	-0.110952	-0.0139699	0.195475	-0.0399281	0.0170979	-0.0310678	0.00275632	0.192719	-0.0399281	0	-0.0726057	0.0141372	0.0131228	0.111335	0.098054	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.61858	-0.0887193	-0.204542	179	331	1800	154	-0.00224156	0.331723	-0.0679538	-0.000783581	0.00593145	-0.00198804	-2.4775	-0.276977	0.204542	-0.0119644	-0.137189	0.0232671	-0.0119644	-0.137189	0.0232671	-0.022152	-0.138917	-0.110952	-0.0139699	0.195475	-0.0399281	0.0170979	-0.0310678	0.00275632	0.192719	-0.0399281	0	-0.0727802	0.0143117	0.0131228	0.111335	0.098054	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.62861	-0.0887193	-0.204542	179	331	1900	154	-0.00225259	0.331723	-0.0679534	-0.000806181	0.00925963	-0.00266981	-2.4775	-0.276977	0.204542	-0.0119644	-0.137189	0.0232671	-0.0119644	-0.137189	0.0232671	-0.022152	-0.138917	-0.110952	-0.0139699	0.195475	-0.0399281	0.0170979	-0.0310678	0.00275632	0.192719	-0.0399281	0	-0.0729548	0.0143117	0.0131228	0.111335	0.098054	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.63852	-0.0887193	-0.204542	179	331	2000	154	-0.00225259	0.331723	-0.0679534	-0.0008285	0.0125463	-0.00334309	-2.4775	-0.276977	0.204542	-0.0119644	-0.137189	0.0232671	-0.0119644	-0.137189	0.0232671	-0.022152	-0.138917	-0.110952	-0.0139699	0.195475	-0.0399281	0.0170979	-0.0310678	0.00275632	0.192719	-0.0399281	0	-0.0729548	0.0143117	0.0131228	0.111335	0.098054	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.64853	-0.0887193	-0.204542	179	332	2100	154	-0.00227465	0.331724	-0.0679526	-0.000851283	0.0158689	-0.00402371	-2.4775	-0.276977	0.204542	-0.0119644	-0.137189	0.0232671	-0.0119644	-0.137189	0.0232671	-0.022152	-0.138917	-0.110952	-0.0139699	0.195475	-0.0399281	0.0170979	-0.0310678	0.00275632	0.192719	-0.0399281	0	-0.0733038	0.0143117	0.0131228	0.111335	0.098054	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.65342	-0.0897454	-0.194511	193	263	2200	158	-0.0165473	0.263409	0.0061633	-0.000932149	0.0171562	-0.00399359	-2.47827	-0.277775	0.194511	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0618844	-0.110952	-0.0140664	0.195845	-0.0380391	0.0173233	-0.0313898	0.00281709	0.193028	-0.0380391	0	-0.0733038	0.0143117	0.0136746	0.111618	0.0977873	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.65849	-0.0897454	-0.194511	193	263	2300	158	-0.0165456	0.263408	0.00621216	-0.00101599	0.0184909	-0.00396211	-2.47827	-0.277775	0.194511	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0618844	-0.110952	-0.0140664	0.195845	-0.0380391	0.0173233	-0.0313898	0.00281709	0.193028	-0.0380391	0	-0.0734784	0.0141372	0.0136746	0.111618	0.0977873	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.66852	-0.0897454	-0.194511	193	263	2400	158	-0.0165456	0.263409	0.00616619	-0.00118195	0.0211331	-0.00390026	-2.47827	-0.277775	0.194511	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0618844	-0.110952	-0.0140664	0.195845	-0.0380391	0.0173233	-0.0313898	0.00281709	0.193028	-0.0380391	0	-0.0734784	0.0143117	0.0136746	0.111618	0.0977873	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.6785	-0.0897454	-0.194511	193	263	2500	158	-0.0165456	0.26341	0.00612021	-0.00134718	0.0237635	-0.00383914	-2.47827	-0.277775	0.194511	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0671891	-0.0467329	0.00676259	-0.0618844	-0.110952	-0.0140664	0.195845	-0.0380391	0.0173233	-0.0313898	0.00281709	0.193028	-0.0380391	0	-0.0734784	0.0144862	0.0136746	0.111618	0.0977873	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.6788	-0.0899624	-0.193826	195	258	2567	158	-0.0185382	0.257797	-0.0157389	-0.00135272	0.0238406	-0.00384385	-2.47827	-0.278929	0.193826	0.00676259	-0.0618844	-0.024578	0.00676259	-0.0618844	-0.024578	0.00676259	-0.0618844	-0.024578	-0.0144864	0.195839	-0.0379093	0.0173604	-0.0318468	0.00286502	0.192974	-0.0379093	0	-0.0734784	0.0144862	0.0141234	0.112078	0.0977984	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
7.68856	-0.0899624	-0.193826	195	258	2567	158	-0.018534	0.257789	-0.0158803	-0.00153361	0.0263566	-0.00399884	-2.47827	-0.278929	0.193826	0.00676259	-0.0618844	-0.024578	0.00676259	-0.0618844	-0.024578	0.00676259	-0.0618844	-0.024578	-0.0144864	0.195839	-0.0379093	0.0173604	-0.0318468	0.00286502	0.192974	-0.0379093	0	-0.0731293	0.0150098	0.0141234	0.112078	0.0977984	-1000	1000	-500	1700	-20	20	-10	-0	0	-0	250	1	0.2	177	-1.2	-1	2560	0.07
