time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
6,97979;0,274483;-0,140736;50;50;1450;-3;0,13996;0,101834;-0,0376261;0,000298814;0,000217415;-8,03317e-05;-2,7119;-0,0718401;0,140736;0,0246439;0,0110361;0,0247379;0,0260473;0,0113792;0,0230896;0,0260473;0,0113792;0,0230896;0,164604;0,11287;-0,0128882;-0,0175164;0,177923;0,0406973;0,0765792;-0,0227175;-0;-1,85887e-313;3,77657e-314;2,67147e-312;0,0696386;0,0141372;0,02616;0,0264845;0,000324567;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
6,98764;0,274483;-0,140736;58;86;1500;-3;0,139958;0,101833;-0,0376548;0,00139748;0,00101681;-0,000375922;-2,7119;-0,0718401;0,140736;0,0246439;0,0110361;0,0247379;0,0260473;0,0113792;0,0230896;0,0260473;0,0113792;0,0230896;0,164602;0,112869;-0,0129169;-0,0175164;0,177923;0,0406973;0,0765792;-0,0227175;-0;-0,685919;0,139704;9,88238;0,0694641;0,0141372;0,02616;0,0264845;0,000324567;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
6,99174;0,281658;-0,140736;62;136;1550;-11;0,134188;0,17031;-0,0899133;0,00194792;0,00171542;-0,000744746;-2,71093;-0,0739431;0,140736;0,0296873;-0,0563936;0,0769606;0,0364135;-0,0565301;0,0739115;0,0364135;-0,0565301;0,0739115;0,163876;0,113917;-0,0129527;-0,017997;0,177607;0,0416871;0,0766757;-0,022688;-0;-0,685923;0,139705;9,88244;0,0694641;0,0141372;0,0265235;0,0272691;0,000745661;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
6,9977;0,281658;-0,140736;62;144;1600;-11;0,134188;0,17031;-0,0899133;0,00274688;0,00272944;-0,00128009;-2,71093;-0,0739431;0,140736;0,0296873;-0,0563936;0,0769606;0,0364135;-0,0565301;0,0739115;0,0364135;-0,0565301;0,0739115;0,163876;0,113917;-0,0129527;-0,017997;0,177607;0,0416871;0,0766757;-0,022688;-0;-0,692901;0,141126;9,98298;0,0694641;0,0141372;0,0265235;0,0272691;0,000745661;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,00767;0,281658;-0,140736;62;144;1650;-11;0,134188;0,17031;-0,0899133;0,00408528;0,00442812;-0,00217688;-2,71093;-0,0739431;0,140736;0,0296873;-0,0563936;0,0769606;0,0364135;-0,0565301;0,0739115;0,0364135;-0,0565301;0,0739115;0,163876;0,113917;-0,0129527;-0,017997;0,177607;0,0416871;0,0766757;-0,022688;-0;-0,692903;0,141127;9,983;0,0694641;0,0141372;0,0265235;0,0272691;0,000745661;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,01765;0,281658;-0,140736;62;144;1700;-11;0,13419;0,170308;-0,0899046;0,00542476;0,00612814;-0,00307431;-2,71093;-0,0739431;0,140736;0,0296873;-0,0563936;0,0769606;0,0364135;-0,0565301;0,0739115;0,0364135;-0,0565301;0,0739115;0,163878;0,113915;-0,012944;-0,017997;0,177607;0,0416871;0,0766757;-0,022688;-0;-0,694643;0,142869;9,98303;0,0696386;0,0143117;0,0265235;0,0272691;0,000745661;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,02283;0,285433;-0,140736;64;94;1750;-4;0,13222;0,100544;-0,0890438;0,00610967;0,00664896;-0,00353556;-2,70951;-0,0746592;0,140736;0,0315457;0,0135314;0,0761055;0,0364135;0,0134699;0,0739115;0,0364135;0,0249194;0,0739115;0,163766;0,114076;-0,0129383;-0,0182085;0,177515;0,0422238;0,076551;-0,0226722;-0;-0,694644;0,14287;9,98305;0,0696386;0,0143117;0,0281179;0,0275476;-0,00057033;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,02769;0,285433;-0,140736;64;85;1800;-4;0,132222;0,100542;-0,0890351;0,00675187;0,00713729;-0,003968;-2,70951;-0,0746592;0,140736;0,0315457;0,0135314;0,0761055;0,0364135;0,0134699;0,0739115;0,0364135;0,0249194;0,0739115;0,163768;0,114074;-0,0129296;-0,0182085;0,177515;0,0422238;0,076551;-0,0226722;-0;-0,696268;0,144588;9,98141;0,0698132;0,0144862;0,0281179;0,0275476;-0,00057033;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,03771;0,285433;-0,140736;64;85;1850;-4;0,132224;0,100541;-0,0890265;0,00807702;0,00814491;-0,00486023;-2,70951;-0,0746592;0,140736;0,0315457;0,0135314;0,0761055;0,0364135;0,0134699;0,0739115;0,0364135;0,0249194;0,0739115;0,16377;0,114072;-0,0129209;-0,0182085;0,177515;0,0422238;0,076551;-0,0226722;-0;-0,698006;0,14633;9,98141;0,0699877;0,0146608;0,0281179;0,0275476;-0,00057033;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,04765;0,285433;-0,140736;64;85;1900;-4;0,132224;0,100536;-0,0890663;0,00939146;0,00914434;-0,00574563;-2,70951;-0,0746592;0,140736;0,0315457;0,0135314;0,0761055;0,0364135;0,0134699;0,0739115;0,0364135;0,0249194;0,0739115;0,16377;0,114067;-0,0129608;-0,0182085;0,177515;0,0422238;0,076551;-0,0226722;-0;-0,698007;0,149814;9,98143;0,0699877;0,0150098;0,0281179;0,0275476;-0,00057033;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,0574;0,287813;-0,140493;40;135;1950;-12;0,15986;0,159548;-0,0177904;0,0109499;0,0106998;-0,00591907;-2,70936;-0,0754341;0,140493;0,00368058;-0,0451477;0,00485726;0,00525181;-0,045084;0,00391146;0,00525181;-0,045084;0,00247126;0,16354;0,1144;-0,0129332;-0,0183762;0,177398;0,0425477;0,0766174;-0,0226236;-0;-0,698015;0,149816;9,98154;0,0699877;0,0150098;0,0285252;0,0278349;-0,000690337;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,05775;0,287813;-0,140493;40;135;2000;-12;0,159862;0,159544;-0,0178018;0,0110051;0,0107548;-0,00592521;-2,70936;-0,0754341;0,140493;0,00368058;-0,0451477;0,00485726;0,00525181;-0,045084;0,00391146;0,00525181;-0,045084;0,00247126;0,163542;0,114396;-0,0129446;-0,0183762;0,177398;0,0425477;0,0766174;-0,0226236;-0;-0,690142;0,151194;9,84445;0,0701622;0,0153589;0,0285252;0,0278349;-0,000690337;-850;850;-500;1700;-20;20;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2550;0,07
