time ;e1;e2;e1Ori;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;var;ampli
6,35047;-2,362;-0,800056;-2,362;50;-11;1450;-50;0,107668;-0,0113516;-0,348087;0,000236978;-2,49849e-05;-0,00076614;-3,51768;0,634825;1,00007;0,0304362;-0,119146;0,283238;0,0110399;-0,122475;0,283238;0,0110399;-0,327519;0,283238;-3,51768;0,634825;1,00007;0,0110399;-0,327519;0,283238;0,189006;-0,0485959;2,83359;0,138105;-0,130497;-0,064849;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0;-0;9,81;0;0;0;0;0;0;0,0301942;-0,00872665;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,35826;-2,362;-0,800056;-2,362;62;-11;1500;-100;0,107668;-0,0113166;-0,34811;0,00107604;-0,000113175;-0,00347896;-3,51768;0,634825;1,00007;0,0304362;-0,119146;0,283238;0,0110399;-0,122475;0,283238;0,0110399;-0,327519;0,283238;-3,51768;0,634825;1,00007;0,0110399;-0,327519;0,283238;0,189006;-0,0485959;2,83359;0,138105;-0,130462;-0,0648716;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,290014;-0,0563636;3,21931;0;0;0;0;0;0;0,0301942;-0,00855211;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,36822;-2,362;-0,800056;-2,362;62;-11;1550;-138;0,107668;-0,0113166;-0,34811;0,00214798;-0,000225843;-0,00694474;-3,51768;0,634825;1,00007;0,0304362;-0,119146;0,283238;0,0110399;-0,122475;0,283238;0,0110399;-0,327519;0,283238;-3,51768;0,634825;1,00007;0,0110399;-0,327519;0,283238;0,189006;-0,0485959;2,83359;0,138105;-0,130462;-0,0648716;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,290018;-0,0563644;3,21922;0;0;0;0;0;0;0,0301942;-0,00855211;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,37243;-2,362;-0,800056;-2,362;112;-61;1600;-117;0,0497314;-0,0915869;-0,34811;0,0023573;-0,000611332;-0,00840993;-3,51768;0,634825;1,00007;0,0883732;-0,0388753;0,283238;0,0810399;-0,0524751;0,283238;0,181354;0,0115585;0,283238;-3,51768;0,634825;1,00007;0,181354;0,0115585;0,283238;0,084925;-0,124184;2,44727;0,138105;-0,130462;-0,0648716;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,290022;-0,0563651;3,21913;0;0;0;0;0;0;0,0301942;-0,00855211;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,37821;-2,362;-0,800056;-2,362;120;-91;1650;-117;0,0497429;-0,0915869;-0,348086;0,00264472;-0,00114052;-0,0104212;-3,51768;0,634825;1,00007;0,0883732;-0,0388753;0,283238;0,0810399;-0,0524751;0,283238;0,181354;0,0115585;0,283238;-3,51768;0,634825;1,00007;0,181354;0,0115585;0,283238;0,084925;-0,124184;2,44727;0,138116;-0,130462;-0,0648474;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,291173;-0,0563654;3,2191;0;0;0;0;0;0;0,0300197;-0,00855211;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,38822;-2,362;-0,800056;-2,362;120;-91;1700;-117;0,0497544;-0,0916219;-0,348039;0,00314296;-0,00205802;-0,0139064;-3,51768;0,634825;1,00007;0,0883732;-0,0388753;0,283238;0,0810399;-0,0524751;0,283238;0,181354;0,0115585;0,283238;-3,51768;0,634825;1,00007;0,181354;0,0115585;0,283238;0,084925;-0,124184;2,44727;0,138128;-0,130497;-0,0648008;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,292323;-0,0575159;3,21908;0;0;0;0;0;0;0,0298451;-0,00872665;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,39831;-2,362;-0,800056;-2,362;120;-91;1750;-117;0,0497544;-0,0916219;-0,348039;0,00364488;-0,0029823;-0,0174174;-3,51768;0,634825;1,00007;0,0883732;-0,0388753;0,283238;0,0810399;-0,0524751;0,283238;0,181354;0,0115585;0,283238;-3,51768;0,634825;1,00007;0,181354;0,0115585;0,283238;0,084925;-0,124184;2,44727;0,138128;-0,130497;-0,0648008;0,0674898;0,0502129;-0,169433;0,0200012;-0,0617756;-0;0,292324;-0,0575161;3,21906;0;0;0;0;0;0;0,0298451;-0,00872665;-0,160208;-0,239924;-0,0796312;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,40181;-2,32716;-0,812913;-2,32716;170;-141;1800;-119;-0,00979458;-0,165636;-0,361029;0,00361062;-0,0035617;-0,0186803;-3,50068;0,635288;1,01614;0,147293;0,0353131;0,294574;0,15104;0,0113641;0,294574;0,18211;0,0113641;0,294574;-3,50793;0,634825;1,00481;0,181354;0,0115585;0,283238;-0,0452121;-0,27979;1,94129;0,137498;-0,130323;-0,066455;0,0662954;0,0508643;-0,1691;0,0199413;-0,0634463;-0;0,292327;-0,0575168;3,21898;0;0;0;0;0;0;0,0298451;-0,00872665;-0,160208;-0,24119;-0,0808932;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,40827;-2,32716;-0,812913;-2,32716;179;-165;1850;-119;-0,00978279;-0,165672;-0,360982;0,00354734;-0,00463326;-0,0210152;-3,50068;0,635288;1,01614;0,147293;0,0353131;0,294574;0,15104;0,0113641;0,294574;0,18211;0,0113641;0,294574;-3,50793;0,634825;1,00481;0,181354;0,0115585;0,283238;-0,0452121;-0,27979;1,94129;0,13751;-0,130358;-0,0664085;0,0662954;0,0508643;-0,1691;0,0199413;-0,0634463;-0;0,294241;-0,05882;3,2018;0;0;0;0;0;0;0,0296706;-0,00890118;-0,160208;-0,24119;-0,0808932;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
6,41834;-2,32716;-0,812913;-2,32716;179;-165;1900;-119;-0,00978279;-0,165707;-0,36096;0,00344889;-0,00630094;-0,0246479;-3,50068;0,635288;1,01614;0,147293;0,0353131;0,294574;0,15104;0,0113641;0,294574;0,18211;0,0113641;0,294574;-3,50793;0,634825;1,00481;0,181354;0,0115585;0,283238;-0,0452121;-0,27979;1,94129;0,13751;-0,130394;-0,0663859;0,0662954;0,0508643;-0,1691;0,0199413;-0,0634463;-0;0,294241;-0,0599732;3,20181;0;0;0;0;0;0;0,0296706;-0,00907571;-0,160208;-0,24119;-0,0808932;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
