time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	xpred	ypred	zpred	dxpred	dypred	dzpred	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.41643	0.113274	-0.0377555	321	-172	1950	170	-0.120358	-0.14363	-0.0138638	-0.00952243	-0.0142701	-0.000677157	-1.80314	-0.163858	0.0377555	0.00957119	-0.0228734	0.0155493	0.00838818	-0.023152	0.0158179	0.00838818	-0.0423708	0.0158179	-1.80265	-0.16693	0.0387651	0.00269485	-0.0480642	0.226589	-0.628935	-0.403616	5.32176	-0.110787	-0.166504	0.00168551	0.014439	-0.127318	-0.0120182	-0.152964	-0.00626166	0	0.344256	0.0643794	3.6621	-0.0560251	0.010472	-0.0136953	0.0906252	0.104131	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.41715	0.11229	-0.0368492	310	-147	2000	170	-0.110841	-0.122822	0.0228312	-0.00960168	-0.0143579	-0.000660832	-1.80314	-0.166342	0.0368492	-0.00155108	-0.0425997	-0.0209171	-0.000869169	-0.0423708	-0.0214154	-0.000869169	-0.0423708	-0.0214154	-1.80342	-0.169118	0.0353305	-0.0164834	-0.0579851	0.145772	-0.694152	-0.329162	4.68059	-0.112392	-0.165422	0.00191415	0.0142263	-0.128461	-0.0120207	-0.152031	-0.00611197	0	0.344258	0.0643798	3.66207	-0.0560251	0.010472	-0.0121936	0.0919913	0.103996	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.42645	0.11229	-0.0368492	310	-147	2050	170	-0.110841	-0.122823	0.022725	-0.0106326	-0.0155003	-0.000449467	-1.80314	-0.166342	0.0368492	-0.00155108	-0.0425997	-0.0209171	-0.000869169	-0.0423708	-0.0214154	-0.000869169	-0.0423708	-0.0214154	-1.80342	-0.169118	0.0353305	-0.0164834	-0.0579851	0.145772	-0.694152	-0.329162	4.68059	-0.112392	-0.165423	0.00180792	0.0142263	-0.128461	-0.0120207	-0.152031	-0.00611197	0	0.340724	0.0607221	3.70618	-0.0558505	0.00994838	-0.0121936	0.0919913	0.103996	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.4365	0.11229	-0.0368492	310	-147	2100	170	-0.110841	-0.122824	0.0226476	-0.0117467	-0.0167348	-0.000221835	-1.80314	-0.166342	0.0368492	-0.00155108	-0.0425997	-0.0209171	-0.000869169	-0.0423708	-0.0214154	-0.000869169	-0.0423708	-0.0214154	-1.80342	-0.169118	0.0353305	-0.0164834	-0.0579851	0.145772	-0.694152	-0.329162	4.68059	-0.112392	-0.165424	0.00173056	0.0142263	-0.128461	-0.0120207	-0.152031	-0.00611197	0	0.339667	0.0585927	3.70606	-0.055676	0.00959931	-0.0121936	0.0919913	0.103996	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.44651	0.11229	-0.0368492	310	-147	2150	170	-0.110841	-0.122827	0.0223949	-0.0128568	-0.017965	2.47141e-06	-1.80314	-0.166342	0.0368492	-0.00155108	-0.0425997	-0.0209171	-0.000869169	-0.0423708	-0.0214154	-0.000869169	-0.0423708	-0.0214154	-1.80342	-0.169118	0.0353305	-0.0164834	-0.0579851	0.145772	-0.694152	-0.329162	4.68059	-0.112392	-0.165426	0.00147777	0.0142263	-0.128461	-0.0120207	-0.152031	-0.00611197	0	0.332226	0.0543323	3.70597	-0.0544543	0.00890118	-0.0121936	0.0919913	0.103996	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.45443	0.111959	-0.0368492	310	-171	2200	173	-0.111146	-0.142678	0.0226552	-0.0137367	-0.0190945	0.00018181	-1.80314	-0.167169	0.0368492	-0.00177387	-0.0223879	-0.021152	-0.000869169	-0.0221901	-0.0214154	-0.000869169	-0.0221901	-0.0214154	-1.80396	-0.169211	0.0348616	-0.0447902	-0.0503762	0.150312	-0.763567	-0.421194	4.16765	-0.11292	-0.165066	0.00150319	0.0141554	-0.128836	-0.0120202	-0.151721	-0.00611212	0	0.332242	0.054335	3.70567	-0.0544543	0.00890118	-0.0117134	0.092446	0.103971	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.45643	0.111959	-0.0368492	310	-171	2250	173	-0.111146	-0.14268	0.022402	-0.0139592	-0.0193801	0.000226659	-1.80314	-0.167169	0.0368492	-0.00177387	-0.0223879	-0.021152	-0.000869169	-0.0221901	-0.0214154	-0.000869169	-0.0221901	-0.0214154	-1.80396	-0.169211	0.0348616	-0.0447902	-0.0503762	0.150312	-0.763567	-0.421194	4.16765	-0.11292	-0.165068	0.00125	0.0141554	-0.128836	-0.0120202	-0.151721	-0.00611212	0	0.324778	0.0500709	3.70599	-0.0532325	0.00820305	-0.0117134	0.092446	0.103971	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.46642	0.111959	-0.0368492	310	-171	2300	173	-0.111145	-0.142683	0.0220306	-0.0150694	-0.0208054	0.000446722	-1.80314	-0.167169	0.0368492	-0.00177387	-0.0223879	-0.021152	-0.000869169	-0.0221901	-0.0214154	-0.000869169	-0.0221901	-0.0214154	-1.80396	-0.169211	0.0348616	-0.0447902	-0.0503762	0.150312	-0.763567	-0.421194	4.16765	-0.112919	-0.165071	0.000878557	0.0141554	-0.128836	-0.0120202	-0.151721	-0.00611212	0	0.310963	0.0458119	3.70569	-0.0509636	0.00750492	-0.0117134	0.092446	0.103971	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.47642	0.111959	-0.0368492	310	-171	2350	173	-0.111145	-0.142684	0.0218441	-0.0161805	-0.0222318	0.000665098	-1.80314	-0.167169	0.0368492	-0.00177387	-0.0223879	-0.021152	-0.000869169	-0.0221901	-0.0214154	-0.000869169	-0.0221901	-0.0214154	-1.80396	-0.169211	0.0348616	-0.0447902	-0.0503762	0.150312	-0.763567	-0.421194	4.16765	-0.112919	-0.165072	0.000692086	0.0141554	-0.128836	-0.0120202	-0.151721	-0.00611212	0	0.302473	0.0447498	3.70525	-0.0495674	0.00733038	-0.0117134	0.092446	0.103971	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.47713	0.111894	-0.0372109	331	-171	2400	174	-0.128845	-0.143288	-0.0274167	-0.0162729	-0.0223345	0.00064544	-1.803	-0.167169	0.0372109	0.0159725	-0.0218159	0.0280467	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80285	-0.169129	0.0388142	-0.0343401	-0.0452608	0.181137	-0.88941	-0.459484	3.65471	-0.112872	-0.165104	0.00062998	0.0141512	-0.128782	-0.0120083	-0.151765	-0.00617209	0	0.302483	0.0447514	3.70503	-0.0495674	0.00733038	-0.0117134	0.0924531	0.103978	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.48647	0.111894	-0.0372109	331	-171	2450	174	-0.128843	-0.143291	-0.0278078	-0.0174759	-0.0236724	0.000385799	-1.803	-0.167169	0.0372109	0.0159725	-0.0218159	0.0280467	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80285	-0.169129	0.0388142	-0.0343401	-0.0452608	0.181137	-0.88941	-0.459484	3.65471	-0.112871	-0.165106	0.000238924	0.0141512	-0.128782	-0.0120083	-0.151765	-0.00617209	0	0.290373	0.0408822	3.6458	-0.0471239	0.00663225	-0.0117134	0.0924531	0.103978	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.4966	0.111894	-0.0372109	331	-171	2500	174	-0.12884	-0.143293	-0.028267	-0.0187807	-0.0251236	9.95388e-05	-1.803	-0.167169	0.0372109	0.0159725	-0.0218159	0.0280467	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80285	-0.169129	0.0388142	-0.0343401	-0.0452608	0.181137	-0.88941	-0.459484	3.65471	-0.112868	-0.165108	-0.000220344	0.0141512	-0.128782	-0.0120083	-0.151765	-0.00617209	0	0.273199	0.0355058	3.64533	-0.0443314	0.00575959	-0.0117134	0.0924531	0.103978	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.50655	0.111894	-0.0372109	331	-171	2550	174	-0.12884	-0.143293	-0.0284035	-0.0200633	-0.02655	-0.000183218	-1.803	-0.167169	0.0372109	0.0159725	-0.0218159	0.0280467	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80285	-0.169129	0.0388142	-0.0343401	-0.0452608	0.181137	-0.88941	-0.459484	3.65471	-0.112867	-0.165109	-0.000356773	0.0141512	-0.128782	-0.0120083	-0.151765	-0.00617209	0	0.268924	0.0333569	3.64477	-0.0436332	0.00541052	-0.0117134	0.0924531	0.103978	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
