time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
8.24352	0.731909	-0.101518	36	50	1450	50	0.165133	0.103998	-0.041046	0.00114388	0.000720396	-0.000284325	-2.18824	-0.12533	0.101518	0.00589565	-0.00379179	0.0144429	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171029	0.100206	-0.026603	0.00117367	0.170292	0.103865	-0.00192429	-0.0144073	0	1.69763e-313	3.24896e-314	2.65938e-312	-0.0638791	0.0122173	0.00824345	0.0572119	0.0489489	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.24641	0.731909	-0.101518	36	88	1500	81	0.165129	0.103998	-0.0410758	0.00162242	0.00102178	-0.000403363	-2.18824	-0.12533	0.101518	0.00589565	-0.00379179	0.0144429	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171025	0.100206	-0.0266329	0.00117367	0.170292	0.103865	-0.00192429	-0.0144073	0	0.632991	0.120813	9.88896	-0.0640536	0.0122173	0.00824345	0.0572119	0.0489489	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.25095	0.728971	-0.103231	36	88	1550	80	0.165214	0.103777	-0.0413336	0.00237266	0.00149303	-0.000591059	-2.18855	-0.124152	0.103231	0.00590156	-0.00379575	0.0144395	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171115	0.0999814	-0.0268941	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.632995	0.120814	9.88903	-0.0640536	0.0122173	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.25643	0.728971	-0.103231	36	88	1600	80	0.165214	0.103777	-0.0413336	0.0032777	0.00206152	-0.000817485	-2.18855	-0.124152	0.103231	0.00590156	-0.00379575	0.0144395	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171115	0.0999814	-0.0268941	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.633027	0.12082	9.88953	-0.0640536	0.0122173	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.26645	0.728971	-0.103231	36	88	1650	80	0.165209	0.103781	-0.041346	0.00493326	0.00310152	-0.00123181	-2.18855	-0.124152	0.103231	0.00590156	-0.00379575	0.0144395	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171111	0.0999857	-0.0269066	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.63475	0.119095	9.88954	-0.0642281	0.0120428	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.27643	0.728971	-0.103231	36	88	1700	80	0.165209	0.103781	-0.041346	0.00658155	0.00413695	-0.00164432	-2.18855	-0.124152	0.103231	0.00590156	-0.00379575	0.0144395	0.00499992	-0.0039319	0.0147403	0.00499992	-0.0039319	0.0147403	0.171111	0.0999857	-0.0269066	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.634752	0.119095	9.88958	-0.0642281	0.0120428	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.2777	0.728971	-0.103231	36	99	1750	79	0.165433	0.117518	-0.0394878	0.00679116	0.00428584	-0.00169435	-2.18855	-0.124152	0.103231	0.00567796	-0.0175318	0.0125812	0.00501403	-0.0176424	0.0127081	0.00501403	-0.0176424	0.0127081	0.171111	0.0999857	-0.0269066	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.634753	0.119095	9.88959	-0.0642281	0.0120428	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.28642	0.728971	-0.103231	36	99	1800	79	0.165433	0.117518	-0.0394878	0.00823472	0.0053113	-0.00203892	-2.18855	-0.124152	0.103231	0.00567796	-0.0175318	0.0125812	0.00501403	-0.0176424	0.0127081	0.00501403	-0.0176424	0.0127081	0.171111	0.0999857	-0.0269066	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.634524	0.119052	9.88602	-0.0642281	0.0120428	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.29658	0.728971	-0.103231	36	100	1850	79	0.165428	0.117522	-0.0395002	0.00991564	0.00650544	-0.00244029	-2.18855	-0.124152	0.103231	0.00567796	-0.0175318	0.0125812	0.00501403	-0.0176424	0.0127081	0.00501403	-0.0176424	0.0127081	0.171106	0.09999	-0.026919	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.636247	0.117327	9.88603	-0.0644026	0.0118682	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
8.30653	0.728971	-0.103231	36	100	1900	79	0.165424	0.117521	-0.03953	0.0115608	0.00767419	-0.00283341	-2.18855	-0.124152	0.103231	0.00567796	-0.0175318	0.0125812	0.00501403	-0.0176424	0.0127081	0.00501403	-0.0176424	0.0127081	0.171102	0.0999897	-0.0269488	0.00113555	0.170462	0.103552	-0.0018693	-0.014665	0	0.637971	0.117328	9.88607	-0.0645772	0.0118682	0.00802165	0.0566674	0.0486266	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
