time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	kpvxMod	kpvyMod	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
6.64945	-2.54724	-0.158807	50	-21	1450	-34	-0.194065	-0.0250999	0.146808	-0.000429854	-5.55962e-05	0.00032518	-3.69785	0.0625776	0.158807	0.379804	-0.04898	-0.150432	0.344792	-0.0228133	-0.16109	0.344792	-0.0228133	-0.312728	0.185739	-0.0740798	-0.00362383	0.124997	0.0614361	-0.13041	0.0588859	-0.011262	-0	-824.776	106.674	1.03005	-0.52974	-9.96696	0.0282743	0.0322886	0.012904	-0.0169211	-0.0298207	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.65034	-2.57422	-0.139755	100	-36	1500	-29	-0.225026	-0.0433726	0.216498	-0.000630127	-9.41979e-05	0.000517863	-3.69262	0.0746461	0.139755	0.410039	-0.0325593	-0.218648	0.403827	-0.0228133	-0.23109	0.403827	-0.0228133	-0.312728	0.185013	-0.0759319	-0.0021506	0.123659	0.0616468	-0.132244	0.057645	-0.00982937	-0	-956.362	184.334	0	0	0	0.0282743	0.0322886	0.00661387	-0.0202122	-0.0268229	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.65726	-2.57422	-0.139755	150	-36	1550	-29	-0.225942	-0.0429073	0.216477	-0.00219523	-0.000391417	0.0020174	-3.69262	0.0746461	0.139755	0.410956	-0.033022	-0.218648	0.403827	-0.0228133	-0.23109	0.403827	-0.0228133	-0.312728	0.185014	-0.0759293	-0.00217134	0.123659	0.0616468	-0.132244	0.057645	-0.00982937	-0	-960.255	182.356	1.03005	-0.51993	-10.0552	0.0284489	0.0315905	0.00661387	-0.0202122	-0.0268229	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.6673	-2.57422	-0.139755	200	-33	1600	-29	-0.233078	-0.0392385	0.216432	-0.0045344	-0.000785214	0.00418951	-3.69262	0.0746461	0.139755	0.418091	-0.0366915	-0.218648	0.403827	-0.0228133	-0.23109	0.403827	-0.0228133	-0.312728	0.185013	-0.07593	-0.00221686	0.123659	0.0616468	-0.132244	0.057645	-0.00982937	-0	-990.583	166.763	1.03005	-0.52974	-10.0749	0.0282743	0.0314159	0.00661387	-0.0202122	-0.0268229	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.67727	-2.57422	-0.139755	250	-28	1650	-29	-0.243022	-0.0337251	0.216432	-0.00695709	-0.00112142	0.00634711	-3.69262	0.0746461	0.139755	0.428035	-0.0422049	-0.218648	0.403827	-0.0228133	-0.23109	0.403827	-0.0228133	-0.312728	0.185013	-0.07593	-0.00221686	0.123659	0.0616468	-0.132244	0.057645	-0.00982937	-0	-1032.84	143.332	0.99081	-0.54936	-10.173	0.0282743	0.0314159	0.00661387	-0.0202122	-0.0268229	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.68719	-2.51947	-0.130661	300	-5	1700	-42	-0.156553	-0.00592419	0.287756	-0.00851056	-0.00118021	0.00920251	-3.67726	0.0746461	0.130661	0.341834	-0.0693607	-0.289496	0.333827	-0.0580843	-0.30109	0.27163	-0.0580843	-0.557528	0.185281	-0.0752848	-0.00174055	0.12251	0.0630501	-0.132377	0.0583503	-0.00935394	-0	-665.349	25.1778	0	0	0	0.0282743	0.0315905	0.00628813	-0.0202966	-0.0265816	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.68736	-2.51947	-0.130661	317	0	1750	-42	-0.165606	-0.000667578	0.287756	-0.00853838	-0.00118032	0.00925086	-3.67726	0.0746461	0.130661	0.350887	-0.0746173	-0.289496	0.333827	-0.0580843	-0.30109	0.27163	-0.0580843	-0.557528	0.185281	-0.0752848	-0.00174055	0.12251	0.0630501	-0.132377	0.0583503	-0.00935394	-0	-703.825	2.83721	0.91233	-0.52974	-10.2416	0.0282743	0.0315905	0.00628813	-0.0202966	-0.0265816	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.69735	-2.51947	-0.130661	318	0	1800	-42	-0.16574	-0.000586312	0.287898	-0.010195	-0.00118618	0.0121284	-3.67726	0.0746461	0.130661	0.351024	-0.0746947	-0.289496	0.333827	-0.0580843	-0.30109	0.27163	-0.0580843	-0.557528	0.185284	-0.075281	-0.00159813	0.12251	0.0630501	-0.132377	0.0583503	-0.00935394	-0	-704.394	2.49183	0.81423	-0.46107	-10.2416	0.0289725	0.031765	0.00628813	-0.0202966	-0.0265816	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.70723	-2.51947	-0.130661	324	2	1850	-42	-0.173386	0.00353362	0.287976	-0.0119077	-0.00115127	0.014973	-3.67726	0.0746461	0.130661	0.358672	-0.0788129	-0.289496	0.333827	-0.0580843	-0.30109	0.27163	-0.0580843	-0.557528	0.185286	-0.0752793	-0.00152035	0.12251	0.0630501	-0.132377	0.0583503	-0.00935394	-0	-736.892	15.0179	0.76518	-0.41202	-10.222	0.0293215	0.0319395	0.00628813	-0.0202966	-0.0265816	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
6.71489	-2.47602	-0.139755	368	-5	1900	-42	-0.224389	-0.00672441	0.214782	-0.0136265	-0.00120278	0.0166183	-3.66727	0.0725106	0.139755	0.410055	-0.0675903	-0.217115	0.403827	-0.0580843	-0.23109	0.497491	-0.0580843	0.294467	0.185666	-0.0743147	-0.00233224	0.121886	0.0640254	-0.132107	0.0590719	-0.0101454	-0	-953.655	28.5787	0	0	0	0.0293215	0.0319395	0.00628813	-0.0197698	-0.026055	-850	850	-500	1700	-20	20	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
