time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.83594	-1.719	-0.0858463	-6	-38	1950	91	0.170051	-0.0360401	0.0207693	0.0152805	0.00188079	-0.00345996	-3.69798	-0.239467	0.0858463	0.0269108	0.064635	-0.0404747	0.0281334	0.0657519	-0.037753	0.0281334	0.0991573	-0.0439177	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	0.367683	-0.0301698	1.93256	0.196962	0.0285949	-0.0197054	0.147541	0.0497589	-0.0712796	0.102995	-0.00818296	-0	0.809414	0.112964	3.70364	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	-0.055676	0.0185005	0.0139794	0.0646659	0.0506647	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.84585	-1.719	-0.0858463	-6	-38	2000	91	0.170048	-0.0360442	0.02073	0.0169652	0.0015237	-0.00325459	-3.69798	-0.239467	0.0858463	0.0269108	0.064635	-0.0404747	0.0281334	0.0657519	-0.037753	0.0281334	0.0991573	-0.0439177	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	0.367683	-0.0301698	1.93256	0.196959	0.0285908	-0.0197448	0.147541	0.0497589	-0.0712796	0.102995	-0.00818296	-0	0.810477	0.114031	3.70359	-1.84926	-0.120721	0.0434746	0.0133494	0.0494168	-0.0276085	-0.0558505	0.018675	0.0139794	0.0646659	0.0506647	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.84735	-1.67876	-0.0683844	4	12	2050	80	0.159794	0.0433572	0.0915592	0.0172053	0.00158887	-0.00311698	-3.69638	-0.260134	0.0683844	0.0360285	-0.00702543	-0.109824	0.0421884	-0.00424814	-0.107753	0.0421884	-0.183915	-0.242488	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	0.395912	0.0274881	1.29264	0.195822	0.0363317	-0.0182644	0.148556	0.0472831	-0.0661475	0.106189	-0.0066242	-0	0.810483	0.114032	3.70354	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	-0.0558505	0.018675	0.0172059	0.0702596	0.0530288	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.85583	-1.67876	-0.0683844	4	46	2100	80	0.159785	0.0433456	0.0914376	0.018559	0.00195609	-0.00234232	-3.69638	-0.260134	0.0683844	0.0360285	-0.00702543	-0.109824	0.0421884	-0.00424814	-0.107753	0.0421884	-0.183915	-0.242488	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	0.395912	0.0274881	1.29264	0.195813	0.0363202	-0.0183859	0.148556	0.0472831	-0.0661475	0.106189	-0.0066242	-0	0.802327	0.115597	3.78853	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	-0.0563741	0.0191986	0.0172059	0.0702596	0.0530288	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.8659	-1.67876	-0.0683844	4	46	2150	80	0.159778	0.0433346	0.0913503	0.0201685	0.0023926	-0.00142214	-3.69638	-0.260134	0.0683844	0.0360285	-0.00702543	-0.109824	0.0421884	-0.00424814	-0.107753	0.0421884	-0.183915	-0.242488	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	0.395912	0.0274881	1.29264	0.195807	0.0363092	-0.0184732	0.148556	0.0472831	-0.0661475	0.106189	-0.0066242	-0	0.804427	0.118752	3.78841	-1.84884	-0.12683	0.0390086	0.0184832	-0.0925972	-0.139686	-0.0567232	0.0197222	0.0172059	0.0702596	0.0530288	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.87095	-1.65177	-0.0665144	4	96	2200	82	0.159749	0.115358	0.0199487	0.020975	0.00297504	-0.00132142	-3.69198	-0.267263	0.0665144	0.0354155	-0.0757036	-0.0383394	0.0389503	-0.0742481	-0.037753	0.0389503	-0.183515	-0.0363453	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	0.424882	0.235928	0.908689	0.195165	0.0396545	-0.0183906	0.14839	0.0467126	-0.0642987	0.107804	-0.00651229	-0	0.804438	0.118753	3.78832	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	-0.0567232	0.0197222	0.0178835	0.0722641	0.0543538	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.87586	-1.65177	-0.0665144	4	124	2250	82	0.159743	0.11535	0.0198668	0.0217589	0.00354107	-0.00122394	-3.69198	-0.267263	0.0665144	0.0354155	-0.0757036	-0.0383394	0.0389503	-0.0742481	-0.037753	0.0389503	-0.183515	-0.0363453	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	0.424882	0.235928	0.908689	0.195159	0.0396467	-0.0184726	0.14839	0.0467126	-0.0642987	0.107804	-0.00651229	-0	0.817996	0.122574	3.70265	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	-0.0570723	0.0200713	0.0178835	0.0722641	0.0543538	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.88584	-1.65177	-0.0665144	4	124	2300	82	0.159743	0.115344	0.0198529	0.0233541	0.00469289	-0.00102569	-3.69198	-0.267263	0.0665144	0.0354155	-0.0757036	-0.0383394	0.0389503	-0.0742481	-0.037753	0.0389503	-0.183515	-0.0363453	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	0.424882	0.235928	0.908689	0.195159	0.0396403	-0.0184864	0.14839	0.0467126	-0.0642987	0.107804	-0.00651229	-0	0.818009	0.124707	3.70256	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	-0.0570723	0.0204204	0.0178835	0.0722641	0.0543538	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.89603	-1.65177	-0.0665144	4	124	2350	82	0.159743	0.115341	0.019846	0.024982	0.00586833	-0.000823435	-3.69198	-0.267263	0.0665144	0.0354155	-0.0757036	-0.0383394	0.0389503	-0.0742481	-0.037753	0.0389503	-0.183515	-0.0363453	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	0.424882	0.235928	0.908689	0.195159	0.039637	-0.0184934	0.14839	0.0467126	-0.0642987	0.107804	-0.00651229	-0	0.81801	0.125773	3.70255	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	-0.0570723	0.0205949	0.0178835	0.0722641	0.0543538	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.90584	-1.65177	-0.0665144	4	124	2400	82	0.159743	0.115334	0.0198322	0.0265494	0.00699999	-0.000628842	-3.69198	-0.267263	0.0665144	0.0354155	-0.0757036	-0.0383394	0.0389503	-0.0742481	-0.037753	0.0389503	-0.183515	-0.0363453	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	0.424882	0.235928	0.908689	0.195159	0.0396306	-0.0185072	0.14839	0.0467126	-0.0642987	0.107804	-0.00651229	-0	0.818011	0.127905	3.70254	-1.84679	-0.128557	0.0359446	0.0133494	-0.0925972	-0.0577882	-0.0570723	0.020944	0.0178835	0.0722641	0.0543538	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
