time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	gps_accuracy	height_accuracy	gps_sat_num	gps_status
30.0397	-4.74127	-0.0638206	344	-132	1950	400	-0.154562	-0.122956	-0.0636469	-0.0153805	-0.012798	-0.00243352	3.62595e-06	-6.43079e-05	0.0638206	0.00217201	-0.00656725	0.0625878	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.363562	-0.287462	1.54861	-0.15239	-0.129523	-0.00105909	-0.187973	-0.0120101	-0.0474525	0.0475753	-0.00260962	-0	0.525468	0.0194966	3.60402	-0.00750492	0.00314159	0	1.62712	0.998414	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0496	-4.74116	-0.0642463	344	-130	2000	450	-0.154573	-0.120749	-0.0762555	-0.0169029	-0.0139872	-0.00318456	-6.97175e-06	-0.000102675	0.0642463	0.00217669	-0.00876718	0.0751789	0	0	0	0	0	0	0	0	0.063	0	0	0	-0.372884	-0.29037	1.42063	-0.152396	-0.129516	-0.00107653	-0.187974	-0.0120082	-0.0474441	0.0475768	-0.00262708	-0	0.526905	0.0195499	3.58705	-0.00750492	0.00314159	0	1.503	0.997703	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0597	-4.74098	-0.0638124	344	-127	2050	500	-0.154526	-0.118192	-0.0894639	-0.01847	-0.0151858	-0.00409182	-2.70519e-05	-0.000156221	0.0638124	0.00212059	-0.0113128	0.088409	0	0	0	0	0	0	0	0	0.062	0	0	0	-0.382206	-0.290768	1.29264	-0.152405	-0.129505	-0.00105485	-0.187977	-0.0120057	-0.0474325	0.0475793	-0.00260943	-0	0.529529	0.0185178	3.56888	-0.00767945	0.00296706	0	1.39933	0.985336	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0697	-4.74071	-0.0635362	343	-124	2100	550	-0.154388	-0.115314	-0.103069	-0.0200131	-0.0163384	-0.00512199	-6.00116e-05	-0.00022789	0.0635362	0.00197079	-0.0141764	0.102002	0	0	0	0	0	0	0	0	0.061	0	0	0	-0.389188	-0.290831	1.16466	-0.152418	-0.12949	-0.00106624	-0.187981	-0.0120025	-0.047417	0.0475829	-0.00259827	-0	0.531144	0.0174816	3.54984	-0.00767945	0.00279253	0	1.31331	0.967032	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0797	-4.74032	-0.0634627	343	-121	2150	600	-0.15419	-0.112077	-0.117275	-0.0215573	-0.0174608	-0.0062965	-0.000110422	-0.000323468	0.0634627	0.00175557	-0.017394	0.116239	0	0	0	0	0	0	0	0	0.06	0	0	0	-0.398454	-0.290559	1.03667	-0.152434	-0.129471	-0.00103676	-0.187985	-0.0119983	-0.0473965	0.0475879	-0.00259547	-0	0.5339	0.0175364	3.53023	-0.00785398	0.00279253	0	1.24183	0.946377	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0898	-4.73978	-0.0645995	343	-117	2200	650	-0.153885	-0.108518	-0.1317	-0.023106	-0.018553	-0.00762193	-0.000182567	-0.00044568	0.0645995	0.0014292	-0.0209274	0.130616	0	0	0	0	0	0	0	0	0.06	0	0	0	-0.407721	-0.287496	0.908689	-0.152456	-0.129445	-0.00108344	-0.187989	-0.011993	-0.0473702	0.0475945	-0.00264224	-0	0.535642	0.0175936	3.50974	-0.00785398	0.00279253	0	1.18201	0.92537	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.0997	-4.73905	-0.0639806	343	-113	2250	700	-0.153479	-0.10458	-0.146227	-0.0246314	-0.0195924	-0.00907528	-0.000281949	-0.000600016	0.0639806	0.000995937	-0.0248338	0.145146	0	0	0	0	0	0	0	0	0.058	0	0	0	-0.416987	-0.283986	0.780705	-0.152483	-0.129413	-0.00108097	-0.187996	-0.0119866	-0.0473374	0.0476035	-0.00261731	-0	0.53741	0.0165485	3.48894	-0.00785398	0.00261799	0	1.13152	0.905058	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.1096	-4.73809	-0.0646359	342	-108	2300	750	-0.152926	-0.100335	-0.160857	-0.0261438	-0.0205847	-0.0106662	-0.000414754	-0.000792032	0.0646359	0.000409883	-0.0290382	0.159745	0	0	0	0	0	0	0	0	0.057	0	0	0	-0.42369	-0.277462	0.65272	-0.152516	-0.129374	-0.00111215	-0.188004	-0.0119786	-0.0472966	0.047615	-0.00264461	-0	0.538089	0.0177102	3.46799	-0.00767945	0.00279253	0	1.0884	0.885887	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.1196	-4.73687	-0.0655744	341	-103	2350	800	-0.1523	-0.0957684	-0.175204	-0.0276682	-0.0215432	-0.0124198	-0.00058666	-0.00102541	0.0655744	-0.000257431	-0.0335563	0.174102	0	0	0	0	0	0	0	0	0.056	0	0	0	-0.430282	-0.270378	0.524736	-0.152558	-0.129325	-0.00110182	-0.188012	-0.0119692	-0.0472471	0.0476295	-0.00268366	-0	0.540986	0.0188797	3.44689	-0.00785398	0.00296706	0	1.05113	0.867984	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
30.1297	-4.73535	-0.0678247	340	-98	2400	850	-0.151509	-0.090854	-0.189349	-0.0291939	-0.0224581	-0.0143265	-0.000804927	-0.00130617	0.0678247	-0.00109876	-0.0384111	0.188154	0	0	0	0	0	0	0	0	0.056	0	0	0	-0.436762	-0.262734	0.396751	-0.152608	-0.129265	-0.00119452	-0.188022	-0.0119579	-0.0471875	0.0476473	-0.00277657	-0	0.542745	0.0189411	3.42619	-0.00785398	0.00296706	0	1.01851	0.851329	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07	4294967295	3750000128	0	16384	
