time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.55431	-0.637134	-0.103427	0.530687	-4	11	1450	50	0.168217	0.0107923	0.166101	0.00139586	8.95548e-05	0.00137831	-3.14276	-0.243536	0.103427	-0.0606774	-0.178633	-0.182374	-0.0604932	-0.173058	-0.187732	-0.0556919	-0.173058	-0.187732	-3.12345	-0.186604	0.152201	-0.0556919	-0.173058	-0.187732	0.292959	0.0178226	2.82845	0.107539	-0.167841	-0.0162729	0.0934189	0.00812522	0.00431405	-0.175948	-0.0151809	-0	0	0	9.81	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0176278	-0.039156	0.0773367	0.116229	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.55598	-0.637134	-0.103427	0.530687	-4	11	1500	100	0.168217	0.0107923	0.166101	0.00167611	0.000107535	0.00165503	-3.14276	-0.243536	0.103427	-0.0606774	-0.178633	-0.182374	-0.0604932	-0.173058	-0.187732	-0.0556919	-0.173058	-0.187732	-3.12345	-0.186604	0.152201	-0.0556919	-0.173058	-0.187732	0.292959	0.0178226	2.82845	0.107539	-0.167841	-0.0162729	0.0934189	0.00812522	0.00431405	-0.175948	-0.0151809	-0	0.677162	0.10421	3.89801	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0176278	-0.039156	0.0773367	0.116229	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.56596	-0.637134	-0.103427	0.530687	-4	11	1550	150	0.168217	0.010798	0.166042	0.00335576	0.000215353	0.00331297	-3.14276	-0.243536	0.103427	-0.0606774	-0.178633	-0.182374	-0.0604932	-0.173058	-0.187732	-0.0556919	-0.173058	-0.187732	-3.12345	-0.186604	0.152201	-0.0556919	-0.173058	-0.187732	0.292959	0.0178226	2.82845	0.107539	-0.167835	-0.0163315	0.0934189	0.00812522	0.00431405	-0.175948	-0.0151809	-0	0.677161	0.102147	3.89802	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0172788	-0.039156	0.0773367	0.116229	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.56924	-0.593989	-0.182142	0.494659	46	0	1600	155	0.106028	-0.000301605	0.0868754	0.00370311	0.000214365	0.00359757	-3.12438	-0.186424	0.182142	-0.0148711	-0.175601	-0.11424	-0.0172494	-0.173058	-0.117732	-0.0172494	-0.173058	-0.00767758	-3.12345	-0.186604	0.168962	-0.0172494	-0.173058	-0.00767758	0.234081	0	2.4445	0.0911572	-0.175902	-0.0273642	0.0879046	-0.00260813	-0.001291	-0.177588	-0.0269581	0	0.677166	0.102147	3.89798	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0172788	-0.039156	0.059597	0.0985926	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.576	-0.593989	-0.182142	0.494659	62	0	1650	155	0.106034	-0.000296554	0.0868606	0.00442	0.00021236	0.00418483	-3.12438	-0.186424	0.182142	-0.0148711	-0.175601	-0.11424	-0.0172494	-0.173058	-0.117732	-0.0172494	-0.173058	-0.00767758	-3.12345	-0.186604	0.168962	-0.0172494	-0.173058	-0.00767758	0.234081	0	2.4445	0.0911625	-0.175897	-0.027379	0.0879046	-0.00260813	-0.001291	-0.177588	-0.0269581	0	0.68809	0.102903	3.7935	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.03735	0.0171042	-0.039156	0.059597	0.0985926	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.586	-0.593989	-0.182142	0.494659	62	0	1700	155	0.106034	-0.000291773	0.0868299	0.00548055	0.000209442	0.00505331	-3.12438	-0.186424	0.182142	-0.0148711	-0.175601	-0.11424	-0.0172494	-0.173058	-0.117732	-0.0172494	-0.173058	-0.00767758	-3.12345	-0.186604	0.168962	-0.0172494	-0.173058	-0.00767758	0.234081	0	2.4445	0.0911625	-0.175892	-0.0274097	0.0879046	-0.00260813	-0.001291	-0.177588	-0.0269581	0	0.68809	0.101853	3.79349	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.03735	0.0169297	-0.039156	0.059597	0.0985926	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.59601	-0.593989	-0.182142	0.494659	62	0	1750	155	0.106034	-0.000291773	0.0868299	0.00654131	0.000206523	0.00592195	-3.12438	-0.186424	0.182142	-0.0148711	-0.175601	-0.11424	-0.0172494	-0.173058	-0.117732	-0.0172494	-0.173058	-0.00767758	-3.12345	-0.186604	0.168962	-0.0172494	-0.173058	-0.00767758	0.234081	0	2.4445	0.0911625	-0.175892	-0.0274097	0.0879046	-0.00260813	-0.001291	-0.177588	-0.0269581	0	0.688093	0.101853	3.79347	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.03735	0.0169297	-0.039156	0.059597	0.0985926	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.60319	-0.588258	-0.181834	0.48986	97	-50	1800	178	0.0735307	-0.0746383	0.0193016	0.00706992	-0.000330052	0.00606071	-3.12119	-0.164503	0.181834	0.0136775	-0.103275	-0.0465347	0.010907	-0.103058	-0.0477319	0.010907	0.164762	0.0036402	-3.12065	-0.171273	0.168962	0.00973472	0.16469	-0.00767758	0.160874	-0.100559	1.93256	0.0872082	-0.177913	-0.0272331	0.0871658	-0.00685165	-0.00335878	-0.177811	-0.0269635	0	0.68809	0.101853	3.79349	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.03735	0.0169297	-0.0444018	0.0526565	0.096906	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.60601	-0.588258	-0.181834	0.48986	97	-80	1850	178	0.0735254	-0.0746386	0.0192864	0.00727675	-0.000540011	0.00611497	-3.12119	-0.164503	0.181834	0.0136775	-0.103275	-0.0465347	0.010907	-0.103058	-0.0477319	0.010907	0.164762	0.0036402	-3.12065	-0.171273	0.168962	0.00973472	0.16469	-0.00767758	0.160874	-0.100559	1.93256	0.0872029	-0.177913	-0.0272483	0.0871658	-0.00685165	-0.00335878	-0.177811	-0.0269635	0	0.699342	0.103362	3.70437	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0169297	-0.0444018	0.0526565	0.096906	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.616	-0.588258	-0.181834	0.48986	97	-80	1900	178	0.0735254	-0.0746386	0.0192864	0.00801163	-0.00128602	0.00630773	-3.12119	-0.164503	0.181834	0.0136775	-0.103275	-0.0465347	0.010907	-0.103058	-0.0477319	0.010907	0.164762	0.0036402	-3.12065	-0.171273	0.168962	0.00973472	0.16469	-0.00767758	0.160874	-0.100559	1.93256	0.0872029	-0.177913	-0.0272483	0.0871658	-0.00685165	-0.00335878	-0.177811	-0.0269635	0	0.699344	0.103362	3.70435	-0.00186191	0.000359018	0.0263597	-0.0429908	-0.395029	-0.156371	-0.0375246	0.0169297	-0.0444018	0.0526565	0.096906	-1080	1080	-550	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
