time ;e1;e2;e1Ori;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;err_sti_x;err_sti_y;err_sti_z;err_sti_dx;err_sti_dy;err_sti_dz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;var;ampli
0,445559;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80588;0,574359;0,993947;0,0497242;-0,0504239;0,55137;0,0337402;-0,0622628;0,55137;0,670107;-0,099078;1,46303;-3,80588;0,574359;0,993947;0,670107;-0,099078;1,46303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281809;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,477021;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80588;0,55931;0,993947;0,126949;-0,0668009;0,62137;0,10374;-0,099078;0,62137;0,396334;-0,099078;0,697774;-3,80588;0,55931;0,993947;0,396334;-0,099078;0,697774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,278026;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,508589;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80588;0,556896;0,993947;0,213466;-0,114914;0,69137;0,17374;-0,169078;0,69137;0,396334;-0,459896;0,697774;-3,80588;0,556896;0,993947;0,396334;-0,459896;0,697774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,277966;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,54593;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79341;0,556896;1,0159;0,261571;-0,0283925;0,697774;0,24374;-0,099078;0,697774;0,396334;-0,0767353;0,697774;-3,79341;0,556896;1,0159;0,396334;-0,0767353;0,697774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,277966;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,571666;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,78574;0,581266;1,01609;0,174917;0,0208636;0,627774;0,17374;-0,029078;0,627774;0,0586227;0,0385704;0,129801;-3,78574;0,581266;1,01609;0,0586227;0,0385704;0,129801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,284544;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,611389;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,78574;0,581266;1,01609;0,0887413;0,0661415;0,557774;0,10374;0,0385704;0,557774;0,0586227;0,0385704;0,129801;-3,78574;0,581266;1,01609;0,0586227;0,0385704;0,129801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,284544;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,638708;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80265;0,568254;0,996727;0,0456245;0,053317;0,487774;0,0586227;0,0385704;0,487774;0,0586227;0,0385704;0,129801;-3,80265;0,568254;0,996727;0,0586227;0,0385704;0,129801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281051;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,678804;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80265;0,568254;0,996727;0,0934624;0,139986;0,417774;0,128623;0,10857;0,417774;0,491671;0,120502;0,243622;-3,80265;0,568254;0,996727;0,491671;0,120502;0,243622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281051;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,704563;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80265;0,568254;0,996727;0,157407;0,170865;0,347774;0,198623;0,120502;0,347774;0,491671;0,120502;0,243622;-3,80265;0,568254;0,996727;0,491671;0,120502;0,243622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281051;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,739368;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80783;0,569442;0,977862;0,205245;0,257534;0,277774;0,268623;0,190502;0,277774;0,491671;0,472435;0,243622;-3,80783;0,569442;0,977862;0,491671;0,472435;0,243622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,281051;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,775829;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80783;0,565941;0,947719;0,215948;0,187316;0,207774;0,25923;0,120502;0,207774;0,25923;-0,0959854;-2,28127;-3,80783;0,565941;0,947719;0,25923;-0,0959854;-2,28127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,279385;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,807277;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79837;0,568789;0,846251;0,224076;0,158716;0,137774;0,25923;0,090557;0,137774;0,25923;0,090557;0,0703006;-3,79837;0,568789;0,846251;0,25923;0,090557;0,0703006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,280205;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,841906;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79837;0,568789;0,844857;0,156806;0,139357;0,0677739;0,18923;0,090557;0,0677739;0,030835;0,090557;-0,0402596;-3,79837;0,568789;0,844857;0,030835;0,090557;-0,0402596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,280205;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,871627;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79927;0,595281;0,846251;0,0887109;0,12061;0,0703006;0,11923;0,090557;0,0703006;-0,0540624;0,090557;0,0703006;-3,79927;0,595281;0,846251;-0,0540624;0,090557;0,0703006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,287064;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,905468;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80115;0,596105;0,846224;0,00170059;0,167926;0,000300565;0,04923;0,160557;0,000300565;-0,0540624;0,205298;-0,0402596;-3,80115;0,596105;0,846224;-0,0540624;0,205298;-0,0402596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,287393;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,941221;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,80115;0,598264;0,847973;-0,0456349;0,0809284;0,0489348;-0,02077;0,090557;0,0489348;-0,0495556;-0,0277114;0,0489348;-3,80115;0,598264;0,847973;-0,0495556;-0,0277114;0,0489348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,287988;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
0,970987;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,8002;0,598264;0,847973;0,0413639;0,0336928;0,0340182;0,04923;0,020557;0,0340182;0,064701;-0,110929;0,0340182;-3,8002;0,598264;0,847973;0,064701;-0,110929;0,0340182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,287988;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
1,00226;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79827;0,583612;0,847973;0,0759682;-0,0293201;0,0340182;0,064701;-0,049443;0,0340182;0,064701;-0,110929;0,0340182;-3,79827;0,583612;0,847973;0,064701;-0,110929;0,0340182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,284175;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
1,03794;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,79732;0,583612;0,848986;0,0236036;0,02831;0,0340182;0,0305941;0,020557;0,0340182;0,0305941;0,0386695;0,0340182;-3,79732;0,583612;0,848986;0,0305941;0,0386695;0,0340182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,81;0;0;0;0;0;0;0;0;-0,284175;0;0;-1000;1000;-550;1500;-10;10;-10;-0;0;-0;200;0,7;0,2;170;-1,2;-0,8;2555;0,07;0,35;0,8
