time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
0,11391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,146027;0;0;0;0;0;0;0;0;0;0;0;0;-2,55526;0,0495319;0,24528;-0,07;0;0;-0,07;0;0;-0,443096;0;0;0;0;0;0;0;0;0;0;0;0;0;0,159326;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,178616;0;0;0;0;0;0;0;0;0;0;0;0;-2,55526;0,0845021;0,307376;-0,14;0,07;0,07;-0,14;0,07;0,07;-0,443096;0,915439;2,83314;0;0;0;0;0;0;0;0;0;0;0;0,159326;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,211168;0;0;0;0;0;0;0;0;0;0;0;0;-2,56949;0,0495319;0,24528;-0,21;0;0;-0,21;0;0;-0,443096;-1,25626;-1,93369;0;0;0;0;0;0;0;0;0;0;0;0,166519;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,249036;0;0;0;0;0;0;0;0;0;0;0;0;-2,5522;0,0599392;0,283996;-0,14;0,07;0,07;-0,14;0,07;0,07;0,522199;0,431567;1,57202;0;0;0;0;0;0;0;0;0;0;0;0,156731;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,27363;0;0;0;0;0;0;0;0;0;0;0;0;-2,5522;0,043607;0,283996;-0,07;0;0,14;-0,07;0;0,14;0,522199;-1,25626;1,57202;0;0;0;0;0;0;0;0;0;0;0;0,166519;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,312354;0;0;0;0;0;0;0;0;0;0;0;0;-2,53497;0,0460417;0,33823;0;0,07;0,21;0;0,07;0,21;0,522199;0,431567;1,59733;0;0;0;0;0;0;0;0;0;0;0;0,156731;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,342716;0;0;0;0;0;0;0;0;0;0;0;0;-2,53497;0,0460417;0,33823;0,07;0,14;0,28;0,07;0,14;0,28;0,288739;0,165516;1,59733;0;0;0;0;0;0;0;0;0;0;0;0,151345;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,377338;0;0;0;0;0;0;0;0;0;0;0;0;-2,54693;0,0460417;0,356942;0,14;0,165516;0,35;0,14;0,165516;0,35;0,288739;0,165516;1,59733;0;0;0;0;0;0;0;0;0;0;0;0,150828;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,407814;0;0;0;0;0;0;0;0;0;0;0;0;-2,54693;0,0445732;0,356942;0,21;0,0955159;0,42;0,21;0,0955159;0,42;0,587422;-0,187548;2,32434;0;0;0;0;0;0;0;0;0;0;0;0,150828;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,443945;0;0;0;0;0;0;0;0;0;0;0;0;-2,54584;0,00651886;0,356942;0,28;0,0255159;0,49;0,28;0,0255159;0,49;0,587422;-1,24854;2,32434;0;0;0;0;0;0;0;0;0;0;0;0,162385;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,474076;0;0;0;0;0;0;0;0;0;0;0;0;-2,54239;-0,186063;-0,447462;0,21;-0,0444841;0,42;0,21;-0,0444841;0,42;0,114342;-1,24854;-0,518847;0;0;0;0;0;0;0;0;0;0;0;0,240826;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,506386;0;0;0;0;0;0;0;0;0;0;0;0;-2,54239;-0,195579;-0,463116;0,14;-0,114484;0,35;0,14;-0,114484;0,35;0,114342;-0,765779;-0,797189;0;0;0;0;0;0;0;0;0;0;0;0,245442;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,540199;0;0;0;0;0;0;0;0;0;0;0;0;-2,54239;-0,186063;-0,470537;0,114342;-0,0444841;0,28;0,114342;-0,0444841;0,28;0,114342;0,315405;-0,518847;0;0;0;0;0;0;0;0;0;0;0;0,240826;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,576966;0;0;0;0;0;0;0;0;0;0;0;0;-2,53839;-0,181666;-0,470537;0,134693;-0,114484;0,21;0,134693;-0,114484;0,21;0,134693;-0,765779;0,00654205;0;0;0;0;0;0;0;0;0;0;0;0,237116;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,605599;0;0;0;0;0;0;0;0;0;0;0;0;-2,54335;-0,173475;-0,470297;0,0646931;-0,0444841;0,28;0,0646931;-0,0444841;0,28;-0,226815;0,286158;0,541645;0;0;0;0;0;0;0;0;0;0;0;0,233888;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,637566;0;0;0;0;0;0;0;0;0;0;0;0;-2,54426;-0,173475;-0,460543;0,0195061;0,0255159;0,21;0,0195061;0,0255159;0,21;0,0195061;0,286158;0,00654205;0;0;0;0;0;0;0;0;0;0;0;0,233888;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
0,673473;0;0;0;0;0;0;0;0;0;0;0;0;-2,54426;-0,167289;-0,452871;0,0195061;0,0955159;0,213687;0,0195061;0,0955159;0,213687;0,0195061;0,286158;0,213687;0;0;0;0;0;0;0;0;0;0;0;0,233623;0;0;-1000;1000;-500;1700;-10;10;-10;-0;0;-0;250;1;0,2;177;-1;-1;2560;0,07
