time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	var	ampli
8.20334	-0.297467	-0.0950883	-0.297467	31	118	1950	-42	0.13808	0.118462	0.0218179	0.0106838	0.0144126	0.00172408	-3.57955	-0.012152	0.11886	0.0127866	0.0131316	0	0.0130586	0.0128611	-0.00877712	0.0130586	0.0205451	-0.00877712	-3.57993	-0.0127616	0.119379	0.0124613	0.0203133	-0.017284	0.284677	0.273506	1.94951	0.150867	0.131593	0.0218179	0.0684301	0.0861944	-0.0366285	0.16103	-0.0248109	-0	1.18658	0.16294	3.70748	0	0	0	0	0	0	-0.121475	0.0267035	-0.0209318	-0.0542401	-0.0333022	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.21163	-0.287568	-0.104431	-0.287568	42	168	2000	-50	0.127507	0.192125	0.0214616	0.0117411	0.0160057	0.00190204	-3.57898	-0.0191111	0.130539	0.0195885	-0.0567413	0	0.0183966	-0.0571389	0.0612229	0.0183966	-0.103401	0.119656	-3.57993	-0.0127616	0.125166	0.0157003	-0.105861	0.0878509	0.292928	0.369063	1.44236	0.147095	0.135383	0.0214616	0.0669123	0.083995	-0.0345061	0.162879	-0.0273403	-0	1.18656	0.162937	3.70759	0	0	0	0	0	0	-0.121475	0.0267035	-0.0209318	-0.0522625	-0.0313256	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.21333	-0.287568	-0.104431	-0.287568	42	192	2050	-50	0.127501	0.192175	0.0215586	0.0119583	0.0163332	0.00193878	-3.57898	-0.0191111	0.130539	0.0195885	-0.0567413	0	0.0183966	-0.0571389	0.0612229	0.0183966	-0.103401	0.119656	-3.57993	-0.0127616	0.125166	0.0157003	-0.105861	0.0878509	0.292928	0.369063	1.44236	0.147089	0.135433	0.0215586	0.0669123	0.083995	-0.0345061	0.162879	-0.0273403	-0	1.18874	0.165079	3.70712	0	0	0	0	0	0	-0.121824	0.0270526	-0.0209318	-0.0522625	-0.0313256	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.22333	-0.287568	-0.104431	-0.287568	42	192	2100	-50	0.127497	0.192225	0.02163	0.0132327	0.0182544	0.00215497	-3.57898	-0.0191111	0.130539	0.0195885	-0.0567413	0	0.0183966	-0.0571389	0.0612229	0.0183966	-0.103401	0.119656	-3.57993	-0.0127616	0.125166	0.0157003	-0.105861	0.0878509	0.292928	0.369063	1.44236	0.147086	0.135483	0.02163	0.0669123	0.083995	-0.0345061	0.162879	-0.0273403	-0	1.18976	0.167205	3.70725	0	0	0	0	0	0	-0.121999	0.0274017	-0.0209318	-0.0522625	-0.0313256	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.23329	-0.287568	-0.104431	-0.287568	42	192	2150	-50	0.127491	0.1924	0.0218413	0.0145029	0.0201713	0.00237257	-3.57898	-0.0191111	0.130539	0.0195885	-0.0567413	0	0.0183966	-0.0571389	0.0612229	0.0183966	-0.103401	0.119656	-3.57993	-0.0127616	0.125166	0.0157003	-0.105861	0.0878509	0.292928	0.369063	1.44236	0.14708	0.135658	0.0218413	0.0669123	0.083995	-0.0345061	0.162879	-0.0273403	-0	1.19183	0.174655	3.70735	0	0	0	0	0	0	-0.122348	0.0286234	-0.0209318	-0.0522625	-0.0313256	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.2433	-0.287568	-0.104431	-0.287568	42	192	2200	-50	0.127485	0.192574	0.0220526	0.0157784	0.022098	0.00259321	-3.57898	-0.0191111	0.130539	0.0195885	-0.0567413	0	0.0183966	-0.0571389	0.0612229	0.0183966	-0.103401	0.119656	-3.57993	-0.0127616	0.125166	0.0157003	-0.105861	0.0878509	0.292928	0.369063	1.44236	0.147073	0.135833	0.0220526	0.0669123	0.083995	-0.0345061	0.162879	-0.0273403	-0	1.19386	0.182099	3.70763	0	0	0	0	0	0	-0.122697	0.0298451	-0.0209318	-0.0522625	-0.0313256	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.25303	-0.258366	-0.108098	-0.258366	58	242	2250	-48	0.111612	0.246686	0.020974	0.0168648	0.0244993	0.00279737	-3.57773	-0.0424164	0.135123	0.023841	-0.0993511	0	0.0223097	-0.0997061	0.131223	0.0223097	-0.0997061	0.153131	-3.5792	-0.0329237	0.126553	0.0157003	-0.105861	0.0878509	0.289216	0.60292	0.819657	0.135453	0.147335	0.020974	0.0625066	0.0761615	-0.0281108	0.169351	-0.0286752	-0	1.1938	0.18209	3.70792	0	0	0	0	0	0	-0.122697	0.0298451	-0.0153852	-0.0455007	-0.030111	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.25332	-0.258366	-0.108098	-0.258366	58	247	2300	-48	0.111609	0.246915	0.0212468	0.016897	0.0245706	0.00280351	-3.57773	-0.0424164	0.135123	0.023841	-0.0993511	0	0.0223097	-0.0997061	0.131223	0.0223097	-0.0997061	0.153131	-3.5792	-0.0329237	0.126553	0.0157003	-0.105861	0.0878509	0.289216	0.60292	0.819657	0.13545	0.147564	0.0212468	0.0625066	0.0761615	-0.0281108	0.169351	-0.0286752	-0	1.19513	0.19278	3.7065	0	0	0	0	0	0	-0.122871	0.0315905	-0.0153852	-0.0455007	-0.030111	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.26339	-0.258366	-0.108098	-0.258366	58	247	2350	-48	0.111609	0.246983	0.0213215	0.0180206	0.027057	0.00301815	-3.57773	-0.0424164	0.135123	0.023841	-0.0993511	0	0.0223097	-0.0997061	0.131223	0.0223097	-0.0997061	0.153131	-3.5792	-0.0329237	0.126553	0.0157003	-0.105861	0.0878509	0.289216	0.60292	0.819657	0.13545	0.147632	0.0213215	0.0625066	0.0761615	-0.0281108	0.169351	-0.0286752	-0	1.19505	0.195963	3.70686	0	0	0	0	0	0	-0.122871	0.0321141	-0.0153852	-0.0455007	-0.030111	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.27329	-0.258366	-0.108098	-0.258366	58	247	2400	-48	0.111612	0.247143	0.0214723	0.019126	0.0295047	0.00323081	-3.57773	-0.0424164	0.135123	0.023841	-0.0993511	0	0.0223097	-0.0997061	0.131223	0.0223097	-0.0997061	0.153131	-3.5792	-0.0329237	0.126553	0.0157003	-0.105861	0.0878509	0.289216	0.60292	0.819657	0.135453	0.147792	0.0214723	0.0625066	0.0761615	-0.0281108	0.169351	-0.0286752	-0	1.19399	0.203412	3.70696	0	0	0	0	0	0	-0.122697	0.0333358	-0.0153852	-0.0455007	-0.030111	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
