time ;e1;;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,73262;0,0618553;;-0,109095;240;-195;1950;131;-0,0527835;-0,162663;-0,00718816;-0,00367895;-0,012909;-0,000350233;-1,69391;-0,121509;0,109095;-0,00950519;-0,0268195;-0,00752592;-0,00982487;-0,0265698;-0,00798688;-0,00982487;-0,0265698;-0,00798688;-1,68843;-0,113624;0,109095;-0,0166254;-0,0238913;-0,00798688;-0,126947;-0,392505;5,19353;-0,0622887;-0,189482;-0,0147141;0,00952993;-0,0733933;-0,00378314;-0,184882;-0,0180839;0;-0,103941;0,143583;3,67013;0,0169297;0,0233874;-0,00666855;0,07161;0,0781986;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,74076;0,0646745;;-0,108968;231;-217;2000;125;-0,0455868;-0,180899;-0,00661874;-0,00404993;-0,0143811;-0,000404096;-1,69422;-0,112274;0,108968;-0,0112864;-0,0102901;-0,00794065;-0,0114921;-0,0100232;-0,00798688;-0,0114921;-0,0100232;-0,00798688;-1,68886;-0,113502;0,108968;-0,0169322;0,00399073;-0,00798688;-0,120906;-0,48518;4,68059;-0,0568732;-0,19119;-0,0145594;0,0100626;-0,068554;-0,00369475;-0,186706;-0,0180609;0;-0,103942;0,143583;3,6701;0,0169297;0,0233874;-0,0068426;0,0661717;0,0729494;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,74263;0,0646745;;-0,108968;231;-217;2050;125;-0,0455868;-0,180899;-0,00661874;-0,00413536;-0,0147201;-0,0004165;-1,69422;-0,112274;0,108968;-0,0112864;-0,0102901;-0,00794065;-0,0114921;-0,0100232;-0,00798688;-0,0114921;-0,0100232;-0,00798688;-1,68886;-0,113502;0,108968;-0,0169322;0,00399073;-0,00798688;-0,120906;-0,48518;4,68059;-0,0568732;-0,19119;-0,0145594;0,0100626;-0,068554;-0,00369475;-0,186706;-0,0180609;0;-0,10393;0,143567;3,67078;0,0169297;0,0233874;-0,0068426;0,0661717;0,0729494;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,75272;0,0646745;;-0,108968;231;-217;2100;125;-0,0455835;-0,180892;-0,00672877;-0,00459539;-0,0165457;-0,000484407;-1,69422;-0,112274;0,108968;-0,0112864;-0,0102901;-0,00794065;-0,0114921;-0,0100232;-0,00798688;-0,0114921;-0,0100232;-0,00798688;-1,68886;-0,113502;0,108968;-0,0169322;0,00399073;-0,00798688;-0,120906;-0,48518;4,68059;-0,0568699;-0,191182;-0,0146694;0,0100626;-0,068554;-0,00369475;-0,186706;-0,0180609;0;-0,105001;0,140354;3,67078;0,0171042;0,0228638;-0,0068426;0,0661717;0,0729494;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,76272;0,0646745;;-0,108968;231;-217;2150;125;-0,0455802;-0,180887;-0,00680542;-0,00505124;-0,0183547;-0,000552468;-1,69422;-0,112274;0,108968;-0,0112864;-0,0102901;-0,00794065;-0,0114921;-0,0100232;-0,00798688;-0,0114921;-0,0100232;-0,00798688;-1,68886;-0,113502;0,108968;-0,0169322;0,00399073;-0,00798688;-0,120906;-0,48518;4,68059;-0,0568666;-0,191177;-0,0147461;0,0100626;-0,068554;-0,00369475;-0,186706;-0,0180609;0;-0,106075;0,138214;3,67065;0,0172788;0,0225147;-0,0068426;0,0661717;0,0729494;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,77264;0,0646745;;-0,108968;231;-217;2200;125;-0,0455602;-0,180875;-0,00703178;-0,00550292;-0,0201479;-0,000622181;-1,69422;-0,112274;0,108968;-0,0112864;-0,0102901;-0,00794065;-0,0114921;-0,0100232;-0,00798688;-0,0114921;-0,0100232;-0,00798688;-1,68886;-0,113502;0,108968;-0,0169322;0,00399073;-0,00798688;-0,120906;-0,48518;4,68059;-0,0568466;-0,191166;-0,0149724;0,0100626;-0,068554;-0,00369475;-0,186706;-0,0180609;0;-0,112505;0,13286;3,67056;0,018326;0,0216421;-0,0068426;0,0661717;0,0729494;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,77627;0,063793;;-0,108433;230;-186;2250;128;-0,0441779;-0,155722;-0,00617778;-0,00566333;-0,0207134;-0,000644612;-1,69465;-0,116633;0,108433;-0,015272;-0,0346514;-0,00877225;-0,015681;-0,0343461;-0,00923861;-0,015681;-0,0343461;-0,00923861;-1,68947;-0,113646;0,108433;-0,0169322;-0,00738277;-0,00923861;-0,1335;-0,468038;4,03941;-0,0594499;-0,190374;-0,01495;0,00987813;-0,0709759;-0,00377314;-0,185816;-0,0179737;0;-0,11251;0,132866;3,67028;0,018326;0,0216421;-0,00689384;0,0687154;0,0755373;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,78261;0,063793;;-0,108433;229;-186;2300;128;-0,0441613;-0,155713;-0,00636255;-0,00594354;-0,0217014;-0,000684983;-1,69465;-0,116633;0,108433;-0,015272;-0,0346514;-0,00877225;-0,015681;-0,0343461;-0,00923861;-0,015681;-0,0343461;-0,00923861;-1,68947;-0,113646;0,108433;-0,0169322;-0,00738277;-0,00923861;-0,1335;-0,468038;4,03941;-0,0594333;-0,190364;-0,0151348;0,00987813;-0,0709759;-0,00377314;-0,185816;-0,0179737;0;-0,117847;0,128559;3,67131;0,0191986;0,020944;-0,00689384;0,0687154;0,0755373;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,79272;0,063793;;-0,108433;229;-186;2350;128;-0,0441345;-0,155701;-0,00661161;-0,00638952;-0,0232747;-0,000751793;-1,69465;-0,116633;0,108433;-0,015272;-0,0346514;-0,00877225;-0,015681;-0,0343461;-0,00923861;-0,015681;-0,0343461;-0,00923861;-1,68947;-0,113646;0,108433;-0,0169322;-0,00738277;-0,00923861;-0,1335;-0,468038;4,03941;-0,0594065;-0,190353;-0,0153839;0,00987813;-0,0709759;-0,00377314;-0,185816;-0,0179737;0;-0,126421;0,123208;3,67108;0,0205949;0,0200713;-0,00689384;0,0687154;0,0755373;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,80264;0,063793;;-0,108433;229;-186;2400;128;-0,0441211;-0,155694;-0,00675274;-0,00682733;-0,0248197;-0,0008188;-1,69465;-0,116633;0,108433;-0,015272;-0,0346514;-0,00877225;-0,015681;-0,0343461;-0,00923861;-0,015681;-0,0343461;-0,00923861;-1,68947;-0,113646;0,108433;-0,0169322;-0,00738277;-0,00923861;-0,1335;-0,468038;4,03941;-0,0593931;-0,190346;-0,015525;0,00987813;-0,0709759;-0,00377314;-0,185816;-0,0179737;0;-0,130713;0,12;3,67078;0,021293;0,0195477;-0,00689384;0,0687154;0,0755373;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
