time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x_pred;y_pred;z_pred;dx_pred;dy_pred;dz_pred;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel;gps_accuracy;height_accuracy;gps_sat_num;gps_status
13,7783;-5,424;-0;263;-198;1950;0;-0,079681;-0,183439;-0,00101569;-0,00796826;-0,0183451;-0,000107267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079681;-0,183439;-0,00101569;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550193;-0,0674321;3,67722;-0,0125664;-0,0109956;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7883;-5,424;-0;263;-198;2000;0;-0,0796811;-0,183439;-0,00102959;-0,00876531;-0,0201801;-0,000117566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00102959;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549121;-0,0674314;3,67729;-0,0123918;-0,0109956;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,7984;-5,424;-0;263;-198;2050;0;-0,0796811;-0,183439;-0,00102959;-0,00956515;-0,0220214;-0,000127901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796811;-0,183439;-0,00102959;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549122;-0,0674316;3,67726;-0,0123918;-0,0109956;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8082;-5,424;-0;263;-198;2100;0;-0,0796813;-0,183439;-0,0010435;-0,0103511;-0,0238309;-0,000138194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796813;-0,183439;-0,0010435;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548056;-0,0674316;3,67726;-0,0122173;-0,0109956;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8182;-5,424;-0;263;-198;2150;0;-0,0796813;-0,183439;-0,00107551;-0,0111485;-0,0256665;-0,000148957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796813;-0,183439;-0,00107551;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548058;-0,0685021;3,67724;-0,0122173;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8283;-5,424;-0;263;-198;2200;0;-0,0796813;-0,183439;-0,00107551;-0,0119483;-0,0275079;-0,000159753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796813;-0,183439;-0,00107551;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548062;-0,0685026;3,6772;-0,0122173;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8384;-5,424;-0;263;-198;2250;0;-0,0796815;-0,183439;-0,00102539;-0,0127521;-0,0293582;-0,000170096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796815;-0,183439;-0,00102539;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,546996;-0,066362;3,6772;-0,0120428;-0,010821;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8482;-5,424;-0;263;-198;2300;0;-0,0796815;-0,183439;-0,00102539;-0,0135378;-0,0311671;-0,000180207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796815;-0,183439;-0,00102539;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,54699;-0,0663612;3,67727;-0,0120428;-0,010821;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8583;-5,424;-0;263;-198;2350;0;-0,0796813;-0,183439;-0,0010435;-0,0143413;-0,0330167;-0,000190729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796813;-0,183439;-0,0010435;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548056;-0,0674315;3,67727;-0,0122173;-0,0109956;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8683;-5,424;-0;263;-198;2400;0;-0,0796491;-0,183453;-0,00106216;-0,0151355;-0,0348461;-0,000201321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796491;-0,183453;-0,00106216;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549124;-0,0685021;3,67724;-0,0123918;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8782;-5,424;-0;263;-198;2450;0;-0,0796491;-0,183453;-0,00106216;-0,0159245;-0,0366634;-0,000211842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796491;-0,183453;-0,00106216;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549127;-0,0685024;3,67722;-0,0123918;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8883;-5,424;-0;263;-198;2500;0;-0,079649;-0,183453;-0,00104826;-0,0167318;-0,0385227;-0,000222466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079649;-0,183453;-0,00104826;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550193;-0,0685024;3,67722;-0,0125664;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,8984;-5,424;-0;263;-198;2550;0;-0,079649;-0,183453;-0,00104826;-0,0175316;-0,0403649;-0,000232993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079649;-0,183453;-0,00104826;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550191;-0,0685022;3,67724;-0,0125664;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9083;-5,424;-0;263;-198;2555;0;-0,079649;-0,183453;-0,00104826;-0,0183254;-0,0421932;-0,00024344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079649;-0,183453;-0,00104826;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550191;-0,0685022;3,67724;-0,0125664;-0,0111701;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9182;-5,424;-0;263;-198;2555;0;-0,0796168;-0,183467;-0,00106694;-0,0191134;-0,0440092;-0,000254001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0796168;-0,183467;-0,00106694;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,551257;-0,0695725;3,67723;-0,0127409;-0,0113446;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9283;-5,424;-0;263;-198;2555;0;-0,0795527;-0,183494;-0,0011001;-0,0199136;-0,0458548;-0,000265065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795527;-0,183494;-0,0011001;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,55126;-0,0706431;3,67721;-0,0127409;-0,0115192;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9382;-5,424;-0;263;-198;2555;0;-0,0795527;-0,183494;-0,0011001;-0,0207047;-0,0476796;-0,000276006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795527;-0,183494;-0,0011001;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,551264;-0,0706437;3,67716;-0,0127409;-0,0115192;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9483;-5,424;-0;263;-198;2555;0;-0,0795207;-0,183508;-0,0011327;-0,021506;-0,0495288;-0,00028742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795207;-0,183508;-0,0011327;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,551264;-0,071714;3,67716;-0,0127409;-0,0116937;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9583;-5,424;-0;263;-198;2555;0;-0,0795209;-0,183508;-0,0011786;-0,0223006;-0,0513624;-0,000299197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795209;-0,183508;-0,0011786;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550202;-0,0727849;3,67711;-0,0125664;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9683;-5,424;-0;263;-198;2555;0;-0,0795209;-0,183508;-0,0011786;-0,023099;-0,0532049;-0,00031103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795209;-0,183508;-0,0011786;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,550208;-0,0727857;3,67705;-0,0125664;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9784;-5,424;-0;263;-198;2555;0;-0,079521;-0,183507;-0,00119248;-0,0238993;-0,0550517;-0,000323031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079521;-0,183507;-0,00119248;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549142;-0,0727857;3,67705;-0,0123918;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9883;-5,424;-0;263;-198;2555;0;-0,079521;-0,183507;-0,00119248;-0,0246864;-0,056868;-0,000334834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079521;-0,183507;-0,00119248;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,549144;-0,0727859;3,67703;-0,0123918;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
13,9983;-5,424;-0;263;-198;2555;0;-0,0795212;-0,183507;-0,00120636;-0,0254835;-0,0587075;-0,000346927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795212;-0,183507;-0,00120636;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,548078;-0,0727859;3,67703;-0,0122173;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0083;-5,424;-0;263;-198;2555;0;-0,0795212;-0,183507;-0,00120636;-0,0262784;-0,0605418;-0,000358985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795212;-0,183507;-0,00120636;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,54808;-0,0727861;3,677;-0,0122173;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0182;-5,424;-0;263;-198;2555;0;-0,0795212;-0,183507;-0,00120636;-0,0270677;-0,0623632;-0,000370959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795212;-0,183507;-0,00120636;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,54808;-0,0727861;3,677;-0,0122173;-0,0118682;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0282;-5,424;-0;263;-198;2555;0;-0,0795214;-0,183507;-0,00118821;-0,0278623;-0,0641968;-0,000382831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795214;-0,183507;-0,00118821;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,547014;-0,0717158;3,677;-0,0120428;-0,0116937;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0383;-5,424;-0;263;-198;2555;0;-0,0795216;-0,183507;-0,00117006;-0,0286588;-0,066035;-0,000394552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795216;-0,183507;-0,00117006;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,545945;-0,0706452;3,67703;-0,0118682;-0,0115192;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0482;-5,424;-0;263;-198;2555;0;-0,0795216;-0,183507;-0,00117006;-0,029451;-0,0678631;-0,000406208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795216;-0,183507;-0,00117006;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,545943;-0,0706449;3,67706;-0,0118682;-0,0115192;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
14,0583;-5,424;-0;263;-198;2555;0;-0,0795217;-0,183507;-0,00118394;-0,0302537;-0,0697154;-0,000418158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0795217;-0,183507;-0,00118394;-0,194476;0,00391142;-0,0176796;-0,0430257;-0;0;0,544877;-0,0706449;3,67706;-0,0116937;-0,0115192;0;0;0;-1080;1080;-600;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07;4294967295;3750000128;0;16384;
