time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.98362	0.977106	-0.0804294	-0.814255	50	50	1450	49	-0.0875804	0.224963	-0.039917	-0.000630053	0.00161838	-0.000287163	-1.81087	-0.0888471	0.0804294	0.0935773	-0.0256752	0.0241531	0.0932917	-0.0245212	0.0263565	0.0932917	-0.0245212	0.0263565	-1.85846	-0.0728018	0.0666841	0.0932917	-0.0245212	0.0263565	0.205665	0.0810057	2.82845	0.00599685	0.199288	-0.0157639	0.098792	-0.0962676	0.0783864	0.121328	-0.0103808	-0	0	0	9.81	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.031765	0.0260054	0.0190571	0.049024	0.0299624	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.98634	0.977106	-0.0804294	-0.814255	100	100	1500	49	-0.0875804	0.224963	-0.039917	-0.000868009	0.00222961	-0.000395618	-1.81087	-0.0888471	0.0804294	0.0935773	-0.0256752	0.0241531	0.0932917	-0.0245212	0.0263565	0.0932917	-0.0245212	0.0263565	-1.85846	-0.0728018	0.0666841	0.0932917	-0.0245212	0.0263565	0.205665	0.0810057	2.82845	0.00599685	0.199288	-0.0157639	0.098792	-0.0962676	0.0783864	0.121328	-0.0103808	-0	0.673438	0.160922	3.62127	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.031765	0.0260054	0.0190571	0.049024	0.0299624	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.99637	0.977106	-0.0804294	-0.814255	150	150	1550	49	-0.0875823	0.224965	-0.0398833	-0.00174637	0.00448578	-0.000795607	-1.81087	-0.0888471	0.0804294	0.0935773	-0.0256752	0.0241531	0.0932917	-0.0245212	0.0263565	0.0932917	-0.0245212	0.0263565	-1.85846	-0.0728018	0.0666841	0.0932917	-0.0245212	0.0263565	0.205665	0.0810057	2.82845	0.00599501	0.19929	-0.0157301	0.098792	-0.0962676	0.0783864	0.121328	-0.0103808	-0	0.674512	0.159843	3.62127	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0319395	0.0258309	0.0190571	0.049024	0.0299624	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
7.99808	1.00728	-0.0672355	-0.839402	200	200	1600	36	-0.102918	0.242387	0.00874867	-0.00192226	0.00490002	-0.000780656	-1.85401	-0.0786687	0.0672355	0.0917817	-0.0431458	-0.0221228	0.0932917	-0.0407427	-0.020287	0.0932917	-0.0407427	-0.020287	-1.85496	-0.0748847	0.0666692	0.0932917	-0.0407427	-0.020287	-0.04112	0.357117	2.4445	-0.011136	0.199241	-0.0133741	0.0920225	-0.106791	0.0896409	0.109629	-0.00857506	-0	0.674508	0.159842	3.62131	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0319395	0.0258309	0.0195646	0.0424061	0.0228396	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.00637	1.00728	-0.0672355	-0.839402	250	250	1650	36	-0.102919	0.242387	0.00875062	-0.00277556	0.00690966	-0.000708104	-1.85401	-0.0786687	0.0672355	0.0917817	-0.0431458	-0.0221228	0.0932917	-0.0407427	-0.020287	0.0932917	-0.0407427	-0.020287	-1.85496	-0.0748847	0.0666692	0.0932917	-0.0407427	-0.020287	-0.04112	0.357117	2.4445	-0.0111375	0.199241	-0.0133722	0.0920225	-0.106791	0.0896409	0.109629	-0.00857506	-0	0.667938	0.158033	3.69133	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0321141	0.0258309	0.0195646	0.0424061	0.0228396	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.01645	1.00728	-0.0672355	-0.839402	288	261	1700	36	-0.102921	0.24239	0.00878734	-0.00381331	0.00935367	-0.000619501	-1.85401	-0.0786687	0.0672355	0.0917817	-0.0431458	-0.0221228	0.0932917	-0.0407427	-0.020287	0.0932917	-0.0407427	-0.020287	-1.85496	-0.0748847	0.0666692	0.0932917	-0.0407427	-0.020287	-0.04112	0.357117	2.4445	-0.0111389	0.199244	-0.0133354	0.0920225	-0.106791	0.0896409	0.109629	-0.00857506	-0	0.668999	0.156965	3.69133	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0322886	0.0256563	0.0195646	0.0424061	0.0228396	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.02633	1.00728	-0.0672355	-0.839402	288	261	1750	36	-0.102921	0.24239	0.00878734	-0.00482986	0.0117478	-0.000532709	-1.85401	-0.0786687	0.0672355	0.0917817	-0.0431458	-0.0221228	0.0932917	-0.0407427	-0.020287	0.0932917	-0.0407427	-0.020287	-1.85496	-0.0748847	0.0666692	0.0932917	-0.0407427	-0.020287	-0.04112	0.357117	2.4445	-0.0111389	0.199244	-0.0133354	0.0920225	-0.106791	0.0896409	0.109629	-0.00857506	-0	0.668993	0.156964	3.69139	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0322886	0.0256563	0.0195646	0.0424061	0.0228396	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.03128	1.00355	-0.0704586	-0.836288	271	259	1800	37	-0.0874585	0.240382	-0.0621049	-0.00526278	0.0129376	-0.000840128	-1.84799	-0.0802987	0.0704586	0.0790096	-0.0410414	0.0482557	0.0782572	-0.0407427	0.049713	0.0788057	-0.0405266	0.0649103	-1.85207	-0.0748847	0.0675973	0.0782572	-0.0407427	0.0573666	-0.189013	0.519827	1.93256	-0.00844891	0.199341	-0.0138492	0.0931777	-0.105244	0.0880145	0.111418	-0.00899907	-0	0.668993	0.156964	3.69139	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0322886	0.0256563	0.0195646	0.0434246	0.0238577	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.03641	1.00355	-0.0704586	-0.836288	271	259	1850	37	-0.0874585	0.240387	-0.0620354	-0.00571118	0.0141701	-0.00115818	-1.84799	-0.0802987	0.0704586	0.0790096	-0.0410414	0.0482557	0.0782572	-0.0407427	0.049713	0.0788057	-0.0405266	0.0649103	-1.85207	-0.0748847	0.0675973	0.0782572	-0.0407427	0.0573666	-0.189013	0.519827	1.93256	-0.00844891	0.199346	-0.0137796	0.0931777	-0.105244	0.0880145	0.111418	-0.00899907	-0	0.680154	0.157412	3.58931	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0322886	0.0253073	0.0195646	0.0434246	0.0238577	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
8.04639	1.00355	-0.0704586	-0.836288	271	259	1900	37	-0.0874601	0.240392	-0.0619643	-0.00658438	0.0165702	-0.00177684	-1.84799	-0.0802987	0.0704586	0.0790096	-0.0410414	0.0482557	0.0782572	-0.0407427	0.049713	0.0788057	-0.0405266	0.0649103	-1.85207	-0.0748847	0.0675973	0.0782572	-0.0407427	0.0573666	-0.189013	0.519827	1.93256	-0.00845043	0.199351	-0.0137086	0.0931777	-0.105244	0.0880145	0.111418	-0.00899907	-0	0.681223	0.155239	3.5894	0.00189892	-0.00756804	0.00113267	0.0333273	-0.063079	-0.0248292	-0.0324631	0.0249582	0.0195646	0.0434246	0.0238577	-1080	1080	-600	1700	-10	10	-10	-0	0	-0	250	-1.2	0.2	177	-1.2	-1	2555	0.07
