time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,61397;0,651238;-0,00376914;-2;58;1950;170;0,166147;0,0540483;-0,0664336;0,0148651;0,00121458;-0,00159195;-1,833;-0,159207;0,00376914;0,0315201;-0,0255759;0,0556096;0,0283351;-0,0271993;0,0565455;0,0283351;-0,0321973;0,0565455;-1,83854;-0,148158;0,0224299;0,0168027;-0,0334805;0,149888;0,369654;0,0682155;1,80458;0,197667;0,0284724;-0,010824;0,0344833;0,163896;0,088946;-0,0635404;-0,000552122;0;0,781363;0,131157;3,59899;-0,0488692;0,0211185;-0,0165981;0,086639;0,103054;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,62392;0,651238;-0,00376914;-2;58;2000;170;0,166143;0,054045;-0,0665076;0,0165191;0,0017526;-0,00225403;-1,833;-0,159207;0,00376914;0,0315201;-0,0255759;0,0556096;0,0283351;-0,0271993;0,0565455;0,0283351;-0,0321973;0,0565455;-1,83854;-0,148158;0,0224299;0,0168027;-0,0334805;0,149888;0,369654;0,0682155;1,80458;0,197663;0,0284691;-0,0108979;0,0344833;0,163896;0,088946;-0,0635404;-0,000552122;0;0,783512;0,132241;3,599;-0,0492183;0,021293;-0,0165981;0,086639;0,103054;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,63391;0,651238;-0,00376914;-2;58;2050;170;0,166141;0,0540423;-0,066547;0,0181787;0,00229243;-0,00291877;-1,833;-0,159207;0,00376914;0,0315201;-0,0255759;0,0556096;0,0283351;-0,0271993;0,0565455;0,0283351;-0,0321973;0,0565455;-1,83854;-0,148158;0,0224299;0,0168027;-0,0334805;0,149888;0,369654;0,0682155;1,80458;0,197661;0,0284664;-0,0109374;0,0344833;0,163896;0,088946;-0,0635404;-0,000552122;0;0,7846;0,133327;3,5989;-0,0493928;0,0214675;-0,0165981;0,086639;0,103054;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,63473;0,635459;-0,00567355;-15;35;2100;163;0,178086;0,0324201;-0,0669659;0,0183245;0,00231898;-0,00297362;-1,84021;-0,149629;0,00567355;0,0193987;-0,00286528;0,05573;0,0165575;-0,00433632;0,0565455;0,0165575;-0,00433632;0,0565455;-1,83797;-0,148158;0,0274173;-0,00791886;-0,00458524;0,226354;0,450012;0,0821264;1,16466;0,197485;0,0295548;-0,011236;0,0324541;0,16578;0,0877889;-0,0612862;-0,000835648;0;0,784608;0,133328;3,59883;-0,0493928;0,0214675;-0,0165981;0,0811328;0,0975754;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,6439;0,635459;-0,00567355;-15;35;2150;163;0,178086;0,0324181;-0,0669711;0,0199569;0,00261612;-0,00358747;-1,84021;-0,149629;0,00567355;0,0193987;-0,00286528;0,05573;0,0165575;-0,00433632;0,0565455;0,0165575;-0,00433632;0,0565455;-1,83797;-0,148158;0,0274173;-0,00791886;-0,00458524;0,226354;0,450012;0,0821264;1,16466;0,197485;0,0295528;-0,0112411;0,0324541;0,16578;0,0877889;-0,0612862;-0,000835648;0;0,784672;0,134423;3,59833;-0,0493928;0,0216421;-0,0165981;0,0811328;0,0975754;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,65399;0,635459;-0,00567355;-15;35;2200;163;0,178084;0,0324154;-0,0670107;0,0217539;0,00294323;-0,00426368;-1,84021;-0,149629;0,00567355;0,0193987;-0,00286528;0,05573;0,0165575;-0,00433632;0,0565455;0,0165575;-0,00433632;0,0565455;-1,83797;-0,148158;0,0274173;-0,00791886;-0,00458524;0,226354;0,450012;0,0821264;1,16466;0,197483;0,0295501;-0,0112807;0,0324541;0,16578;0,0877889;-0,0612862;-0,000835648;0;0,78575;0,135507;3,59831;-0,0495674;0,0218166;-0,0165981;0,0811328;0,0975754;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,66391;0,635459;-0,00567355;-15;35;2250;163;0,178081;0,0324119;-0,0670848;0,0235215;0,00326495;-0,00492956;-1,84021;-0,149629;0,00567355;0,0193987;-0,00286528;0,05573;0,0165575;-0,00433632;0,0565455;0,0165575;-0,00433632;0,0565455;-1,83797;-0,148158;0,0274173;-0,00791886;-0,00458524;0,226354;0,450012;0,0821264;1,16466;0,197479;0,0295466;-0,0113548;0,0324541;0,16578;0,0877889;-0,0612862;-0,000835648;0;0,787909;0,136593;3,59824;-0,0499164;0,0219911;-0,0165981;0,0811328;0,0975754;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,66871;0,643233;-0,00567355;23;54;2300;168;0,14201;0,0502383;0,00443866;0,0242026;0,00350589;-0,00490827;-1,83007;-0,15683;0,00567355;0,0557927;-0,0229253;-0,0157582;0,056158;-0,0234942;-0,0134545;0,056158;-0,0234942;-0,0227461;-1,83769;-0,148303;0,00684989;0,0194884;-0,0259941;0,206577;0,395488;0,138769;0,65272;0,197803;0,027313;-0,0113196;0,0341836;0,164331;0,088086;-0,0637721;-0,000833404;0;0,787922;0,136595;3,59814;-0,0499164;0,0219911;-0,0163452;0,0854874;0,101657;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,67396;0,643233;-0,00567355;23;54;2350;168;0,142006;0,0502328;0,0043601;0,0249474;0,00376936;-0,00488541;-1,83007;-0,15683;0,00567355;0,0557927;-0,0229253;-0,0157582;0,056158;-0,0234942;-0,0134545;0,056158;-0,0234942;-0,0227461;-1,83769;-0,148303;0,00684989;0,0194884;-0,0259941;0,206577;0,395488;0,138769;0,65272;0,197799;0,0273075;-0,0113981;0,0341836;0,164331;0,088086;-0,0637721;-0,000833404;0;0,779158;0,136846;3,68396;-0,0502655;0,0223402;-0,0163452;0,0854874;0,101657;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,68408;0,643233;-0,00567355;23;54;2400;168;0,142006;0,0502288;0,00435057;0,0263848;0,00427778;-0,00484137;-1,83007;-0,15683;0,00567355;0,0557927;-0,0229253;-0,0157582;0,056158;-0,0234942;-0,0134545;0,056158;-0,0234942;-0,0227461;-1,83769;-0,148303;0,00684989;0,0194884;-0,0259941;0,206577;0,395488;0,138769;0,65272;0,197799;0,0273035;-0,0114077;0,0341836;0,164331;0,088086;-0,0637721;-0,000833404;0;0,77917;0,138986;3,68386;-0,0502655;0,0226893;-0,0163452;0,0854874;0,101657;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
