time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
0.785205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.37134	-0.419328	-0.665155	0	0	0	0	0	0	-0.0376417	-0.281625	-0.98	0	0	0	0	0	-0.0378269	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.814213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.35799	-0.419328	-0.136251	0	0	0	0	0	0	0.0349555	-0.348928	-1.05	0	0	0	0	0	-0.0378269	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.853923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.34791	-0.395639	-0.0792024	0	0	0	0	0	0	0.106106	-0.416601	-0.98	0	0	0	0	0	-0.0343538	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.883433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.34666	-0.395639	-0.0737033	0	0	0	0	0	0	0.178469	-0.484156	-0.91	0	0	0	0	0	-0.0343538	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.915291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32546	-0.479169	-0.0737033	0	0	0	0	0	0	0.241427	-0.55589	-0.84	0	0	0	0	0	-0.0173703	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.94841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32511	-0.555168	-0.0737887	0	0	0	0	0	0	0.161794	-0.629985	-0.77	0	0	0	0	0	-9.35114e-05	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
0.986626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32055	-0.555168	-0.0737887	0	0	0	0	0	0	0.0975821	-0.559991	-0.7	0	0	0	0	0	-9.35114e-05	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.01608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32055	-0.538403	-0.0200163	0	0	0	0	0	0	0.100488	-0.489402	-0.63	0	0	0	0	0	-0.00604055	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.05348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32282	-0.515787	-0.0200163	0	0	0	0	0	0	0.0319702	-0.419685	-0.56	0	0	0	0	0	-0.0105765	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.08203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.32282	-0.515787	-0.0343994	0	0	0	0	0	0	-0.0387662	-0.35043	-0.49	0	0	0	0	0	-0.0105765	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.11911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.31238	-0.557734	-0.0393158	0	0	0	0	0	0	0.027578	-0.279995	-0.42	0	0	0	0	0	-0.00017266	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.14763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.31093	-0.557734	-0.0411288	0	0	0	0	0	0	0.0975659	-0.209983	-0.35	0	0	0	0	0	-0.00017266	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.18193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.30751	-0.548716	-0.0420882	0	0	0	0	0	0	0.0939359	-0.140182	-0.28	0	0	0	0	0	0.00193718	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.21204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.30428	-0.548716	-0.0420882	0	0	0	0	0	0	0.119942	-0.127781	-0.21	0	0	0	0	0	0.00193718	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.24804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29189	-0.611189	-0.00549795	0	0	0	0	0	0	0.18657	-0.200971	-0.14	0	0	0	0	0	0.0181655	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.28362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.2906	-0.611189	-0.00549795	0	0	0	0	0	0	0.254182	-0.273262	-0.07	0	0	0	0	0	0.0222135	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.30934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.2906	-0.611285	0.0022527	0	0	0	0	0	0	0.185577	-0.201887	0	0	0	0	0	0	0.0230917	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
